serial_timesteps,policy_entropy,fps,total_timesteps,time_elapsed,explained_variance,approxkl,policy_loss,value_loss,clipfrac,n_updates,ep_len_mean,ep_reward_mean
391168,5.0736313,466,391168,832.117217540741,0.70156529545784,0.0039440957,-0.0028739113,22.351917,0.042041015,191,1535.0,1012.3757766
393216,5.089246,449,393216,836.5092513561249,0.6452272236347198,0.004753483,-0.00077366724,9.571295,0.051074218,192,1535.0,1011.1205228899998
395264,5.098998,439,395264,841.0702095031738,0.690496951341629,0.007361381,-0.0070801512,9.66833,0.08891602,193,1535.0,1009.96489464
397312,5.0945215,442,397312,845.7301766872406,0.7181758880615234,0.0051237904,-0.003942729,10.41988,0.059814453,194,1535.0,1007.9878410999997
399360,5.094888,476,399360,850.3552675247192,0.9220055788755417,0.0036522523,-0.00498546,5.4688177,0.038769532,195,1524.66,1000.0131253299998
401408,5.104936,470,401408,854.6544728279114,0.9071084260940552,0.0018660234,-0.0027907542,7.053708,0.021289062,196,1519.05,994.8264290399998
403456,5.1125956,468,403456,859.0074653625488,0.7487122416496277,0.003649336,-0.004104839,12.1078205,0.04082031,197,1519.05,994.9515973900001
405504,5.1216364,465,405504,863.3828902244568,0.7570923417806625,0.0029916011,-0.007259802,28.484415,0.03569336,198,1501.22,977.97563146
407552,5.1289086,480,407552,867.7832562923431,0.793195828795433,0.0013645756,-0.0020782638,12.022306,0.01118164,199,1501.22,977.1845719500002
409600,5.122531,451,409600,872.047349691391,0.8994445949792862,0.0024315964,-0.0018431011,8.1500635,0.022509765,200,1503.5,979.65955652
411648,5.1119833,460,411648,876.5823075771332,0.7710763067007065,0.0026238004,-0.003244883,22.294891,0.027197266,201,1463.6,949.0358015200001
413696,5.101627,463,413696,881.0349178314209,0.9030497968196869,0.0034040161,-0.0037735119,8.640856,0.040625,202,1458.38,945.82261429
415744,5.094423,476,415744,885.4547100067139,0.8407717794179916,0.0021899487,-0.0025941697,12.7195425,0.020703126,203,1444.34,934.0395271900001
417792,5.1045637,458,417792,889.7502796649933,0.6377518177032471,0.0034381603,-0.0010235183,11.420097,0.03642578,204,1444.34,933.05694438
419840,5.110915,487,419840,894.2142882347107,0.8591533601284027,0.002546761,-0.003197133,14.602484,0.028222656,205,1426.34,921.7415235600002
421888,5.1134596,483,421888,898.4120726585388,0.8566990047693253,0.0024365615,-0.0018786779,10.590033,0.025732422,206,1441.96,933.7066981200002
423936,5.1023264,462,423936,902.6503851413727,0.8964570239186287,0.0022613779,-0.0023099254,8.78609,0.02055664,207,1441.96,934.3095753000001
425984,5.09158,472,425984,907.080703496933,0.885890930891037,0.0025842434,-0.0047147865,8.620039,0.028076172,208,1437.52,931.3852636300002
428032,5.0861826,458,428032,911.4174048900604,0.6957402527332306,0.0058351764,-0.004123898,13.643166,0.06567383,209,1437.52,931.1764837699999
430080,5.0969086,471,430080,915.8861753940582,0.7366743087768555,0.0042494903,-0.00046573632,11.466814,0.04423828,210,1437.52,929.7502945
432128,5.1057205,476,432128,920.233794927597,0.8365923464298248,0.0035251523,-0.0025401637,10.062855,0.038134765,211,1443.17,934.02529853
434176,5.104945,451,434176,924.5330488681793,0.666749507188797,0.0020158645,-0.0048638457,14.942142,0.016210938,212,1443.17,933.42294839
436224,5.0942564,432,436224,929.0680675506592,0.8428709805011749,0.0021407204,-0.00351588,12.459607,0.020898437,213,1443.17,933.3763606300001
438272,5.088378,437,438272,933.8069417476654,0.8967163115739822,0.0037046908,-0.0023795997,9.764842,0.04135742,214,1455.56,943.9428319500003
440320,5.088302,474,440320,938.4924695491791,0.8739808052778244,0.002455795,-0.0014320624,10.512847,0.025,215,1463.82,951.31167267
442368,5.085977,468,442368,942.80872797966,0.9167721047997475,0.0028457684,-0.0012182407,7.6093574,0.03100586,216,1456.69,947.2715796499999
444416,5.0874257,467,444416,947.1831228733063,0.8003579080104828,0.0023265644,-0.0031105804,16.168346,0.02470703,217,1445.01,937.93216981
446464,5.083807,464,446464,951.5664005279541,0.9103997200727463,0.002840593,-0.0031466144,6.95981,0.027783204,218,1436.68,931.2634529799999
448512,5.08021,463,448512,955.977700471878,0.8592302799224854,0.003173411,-0.0021766843,13.403768,0.031445313,219,1419.64,920.7932314999999
450560,5.0821676,450,450560,960.3997960090637,0.8998181819915771,0.0021291194,-0.001701927,13.988884,0.022021484,220,1434.31,932.2645695199999
452608,5.0881715,474,452608,964.9430241584778,0.8202222138643265,0.0024270262,-0.002535746,14.545245,0.026464844,221,1434.31,933.1640804300001
454656,5.0851784,463,454656,969.2601230144501,0.9478212520480156,0.0035938073,-0.010225726,5.698861,0.038769532,222,1433.72,932.4969407400002
456704,5.0915804,474,456704,973.6819562911987,0.8887559473514557,0.0044071297,-0.0032870073,13.346094,0.052246094,223,1427.55,928.7908692400003
458752,5.095954,482,458752,978.00013256073,0.7867184728384018,0.0033969046,-0.0042803744,13.964212,0.0359375,224,1446.39,942.2369938300002
460800,5.0836124,461,460800,982.244220495224,0.805221438407898,0.003988809,-0.0051231156,13.545323,0.047021486,225,1464.05,955.6703429600001
462848,5.082086,457,462848,986.68794298172,0.8206550180912018,0.003496001,-0.0035016579,13.386393,0.038867187,226,1469.73,960.92276658
464896,5.1009536,461,464896,991.1685256958008,0.809180811047554,0.0066268467,-0.0053895665,9.504931,0.08554687,227,1487.25,972.20238366
466944,5.106496,471,466944,995.6022500991821,0.754319503903389,0.0027888587,-0.0018757081,18.391344,0.029052734,228,1492.37,975.6683976700001
