policy_entropy,fps,approxkl,explained_variance,n_updates,serial_timesteps,total_timesteps,policy_loss,value_loss,time_elapsed,clipfrac,ep_reward_mean,ep_len_mean
7.638807,415,0.003060876,0.012175381183624268,505,1034240,1034240,-0.0016568501,20.037159,2547.0829424858093,0.037890624,1741.38741238,1762.68
7.636743,425,0.002475941,-0.015094399452209473,506,1036288,1036288,-0.0020624497,20.430202,2552.014752149582,0.030126953,1741.2973603100002,1762.68
7.6242,425,0.0044420576,-0.022237300872802734,507,1038336,1038336,-0.0016381454,20.4165,2556.8233692646027,0.053271484,1760.2418217500003,1781.65
7.6228814,436,0.0011161315,0.8671019524335861,508,1040384,1040384,-0.00051479106,38.10787,2561.632886648178,0.009667968,1741.9927097699997,1765.15
7.6157646,406,0.00059592805,0.8065490871667862,509,1042432,1042432,-0.0007486473,8.577066,2566.3237121105194,0.004199219,1736.1957074899997,1759.35
7.6149397,334,0.00059183856,0.8417619317770004,510,1044480,1044480,-0.0014792052,27.339634,2571.3590517044067,0.0051757814,1698.1129636500004,1720.96
7.627556,422,0.0012977273,0.004819035530090332,511,1046528,1046528,-0.0005521692,20.06669,2577.475051879883,0.011914062,1698.1947107400001,1720.96
7.6263185,405,0.0021718661,-0.008837699890136719,512,1048576,1048576,-0.00051399803,20.207691,2582.325514793396,0.021777343,1698.16094631,1720.96
7.627881,389,0.00031931052,0.8558104038238525,513,1050624,1050624,-0.0005045902,48.39998,2587.3741583824158,0.0023925782,1683.8268875200001,1709.38
7.616979,396,0.0037207399,0.9821182414889336,514,1052672,1052672,-0.002988169,0.8372334,2592.6280484199524,0.0362793,1664.7709629900003,1690.16
7.5996985,419,0.0024381718,0.6116827130317688,515,1054720,1054720,-0.0015377195,33.47449,2597.789336204529,0.025488282,1659.8189867699996,1685.34
7.5985756,409,0.0040341183,0.00195467472076416,516,1056768,1056768,-0.0022309949,20.068233,2602.6739168167114,0.05078125,1659.8772425699997,1685.34
7.603418,402,0.0019337835,0.011615872383117676,517,1058816,1058816,0.00018953093,19.938414,2607.6751441955566,0.020166015,1660.3005075199999,1685.34
7.598771,415,0.0018880812,0.03611290454864502,518,1060864,1060864,-0.0014966641,19.610233,2612.766201019287,0.0171875,1660.3038210299999,1685.34
7.5940094,422,0.0009438265,0.01256263256072998,519,1062912,1062912,-0.0008476408,19.828564,2617.696184873581,0.006884766,1660.2255222899996,1685.34
7.593875,428,0.000650449,0.027994811534881592,520,1064960,1064960,-0.00073161034,19.748516,2622.541247367859,0.003515625,1678.89999626,1704.13
7.599588,416,0.004901329,-0.005889415740966797,521,1067008,1067008,-0.001847614,20.196266,2627.3223638534546,0.06318359,1678.84060754,1704.13
7.6005034,391,0.0025454415,0.0037578940391540527,522,1069056,1069056,-0.000115335315,20.074215,2632.2354085445404,0.026367188,1678.89405759,1704.13
7.6014633,422,0.0053050006,0.0037806034088134766,523,1071104,1071104,-0.0006488756,20.042381,2637.470747947693,0.07011719,1678.8689509200003,1704.13
7.6023307,431,0.003301677,0.000693202018737793,524,1073152,1073152,-0.0014259855,20.181465,2642.3226776123047,0.039355468,1679.0495425399997,1704.13
7.597593,416,0.0031618483,0.004791200160980225,525,1075200,1075200,-0.0027912236,20.02179,2647.0682895183563,0.03955078,1697.7893320699995,1722.92
7.5935936,430,0.0014230086,-0.00026226043701171875,526,1077248,1077248,-0.00073802785,20.145752,2651.982324361801,0.0145019535,1716.6898679199999,1741.96
7.5826807,427,0.0021929184,-0.011241674423217773,527,1079296,1079296,-0.0013839632,20.046371,2656.7378129959106,0.024121094,1716.6996514000002,1741.96
7.5742216,423,0.0025230567,0.007478773593902588,528,1081344,1081344,-8.760051e-05,19.952175,2661.5321567058563,0.023632813,1726.4602867900003,1746.98
7.5732374,375,0.00082347105,0.9156108647584915,529,1083392,1083392,-0.00053647184,20.744017,2666.365686893463,0.006298828,1700.5712960500002,1722.34
7.5639052,437,0.0024012611,0.20706331729888916,530,1085440,1085440,-0.0025620668,17.844105,2671.8222303390503,0.025048828,1719.63866076,1741.45
7.5568533,397,0.0011055135,0.7154703438282013,531,1087488,1087488,-0.0007094005,32.357296,2676.5063166618347,0.010449219,1728.3070437100002,1750.47
7.550786,350,0.0015627965,0.7764081060886383,532,1089536,1089536,-0.002930925,22.564342,2681.6580057144165,0.015185547,1709.6124719199997,1731.66
7.5465813,433,0.0017663874,0.006431460380554199,533,1091584,1091584,0.00015633306,20.102192,2687.507649898529,0.019091796,1709.86327463,1731.66
7.5539117,393,0.0016408615,0.12278449535369873,534,1093632,1093632,-0.002112683,21.435404,2692.236029624939,0.017138671,1709.99894092,1731.66
7.55924,339,0.00080236874,0.9669515788555145,535,1095680,1095680,-0.0026608706,5.322797,2697.436134338379,0.0076171877,1672.6036220600006,1694.16
7.5527945,421,0.0036390617,0.015364110469818115,536,1097728,1097728,-0.0017467171,19.976925,2703.470451593399,0.04082031,1672.6361086200004,1694.16
7.5520225,426,0.0016424989,0.015597939491271973,537,1099776,1099776,-0.0007292839,20.190855,2708.3286159038544,0.017333984,1691.6576778900003,1713.16
7.5564413,363,0.002173374,0.7885236144065857,538,1101824,1101824,-0.0024029096,22.480377,2713.1298961639404,0.024072265,1672.9845048100003,1694.49
7.557358,408,0.0017225692,0.0021125078201293945,539,1103872,1103872,-0.00034392634,20.0894,2718.763603448868,0.017626952,1691.9836074200002,1713.49
7.553134,357,0.0008502122,0.7956623733043671,540,1105920,1105920,-0.0005943533,22.057146,2723.781588792801,0.0068359375,1682.52833105,1703.91
7.556755,422,0.0008224505,-0.007104992866516113,541,1107968,1107968,-2.5633151e-05,20.207977,2729.5056216716766,0.005761719,1682.5457740099998,1703.91
7.5686326,420,0.0015306178,0.0018287301063537598,542,1110016,1110016,-0.00026957836,20.119,2734.3529167175293,0.014208985,1682.57858559,1703.91
7.5628233,432,0.005191747,0.00382387638092041,543,1112064,1112064,9.530216e-05,20.111633,2739.221996307373,0.057177734,1682.75639596,1703.91
