fps,serial_timesteps,policy_entropy,clipfrac,explained_variance,approxkl,n_updates,policy_loss,total_timesteps,value_loss,time_elapsed,ep_len_mean,ep_reward_mean
582,247808,3.4431553,0.024023438,0.9100968465209007,0.002275401,121,-0.0030353197,247808,6.2744203,840.481094121933,1395.09,681.5720007599999
586,249856,3.4459488,0.026220703,0.8292038291692734,0.0026331039,122,-0.0038199532,249856,13.818739,843.994871377945,1373.93,666.58999748
605,251904,3.4546247,0.032910157,0.9043798446655273,0.0031223667,123,-0.006331738,251904,11.437471,847.4861233234406,1370.5,664.75138651
585,253952,3.463019,0.011962891,0.848718449473381,0.0014503207,124,-0.005025118,253952,10.1215,850.8717148303986,1369.81,671.26424297
328,256000,3.4688916,0.046679687,0.9340542480349541,0.0050643315,125,-0.0052967216,256000,14.353661,854.3717775344849,1383.04,680.7357502
247,258048,3.4705002,0.06591797,0.980185579508543,0.0055209887,126,-0.0031268834,258048,2.515422,860.6072943210602,1383.04,672.66790593
574,260096,3.4613266,0.021435548,0.8577979356050491,0.0021684445,127,-0.003864587,260096,12.796758,868.8734517097473,1385.62,674.0932631399999
582,262144,3.4703832,0.025341798,0.8206450492143631,0.0023305395,128,-0.0026078578,262144,9.651196,872.4373075962067,1385.62,674.08139083
567,264192,3.471561,0.066259764,0.7655218988656998,0.005163447,129,-0.003983557,264192,9.725716,875.9563472270966,1385.62,672.8238594399998
398,266240,3.481442,0.06064453,0.911753460764885,0.0049258503,130,-0.0053849327,266240,12.651066,879.5673353672028,1395.26,679.1324175999999
213,268288,3.488839,0.08798828,0.9635407738387585,0.0070423568,131,-0.006827675,268288,2.9745088,884.7114174365997,1395.26,670.21983307
596,270336,3.4743793,0.027050782,0.9071386530995369,0.0025105756,132,-0.006174103,270336,6.709676,894.3209564685822,1381.38,660.52974653
588,272384,3.4720254,0.03857422,0.824865847826004,0.0034192658,133,-0.0028588984,272384,8.690386,897.7523827552795,1381.38,660.6792315300002
202,274432,3.471558,0.023974609,0.9071014076471329,0.002515075,134,-0.003322517,274432,10.778743,901.2346520423889,1399.3,672.4742045700001
423,276480,3.47214,0.017871093,0.9829000271856785,0.0018603491,135,-0.0032510604,276480,2.1803365,911.3524341583252,1417.34,675.6138961900001
576,278528,3.4749103,0.01586914,0.8615858852863312,0.0015952373,136,-0.0025707262,278528,9.099321,916.1831810474396,1434.44,686.7617129000001
204,280576,3.4707742,0.11396484,0.9265634343028069,0.008480278,137,-0.0069520287,280576,9.728239,919.73770403862,1434.44,696.38529794
443,282624,3.4688163,0.034814455,0.9809796828776598,0.003098417,138,-0.004771325,282624,2.529836,929.7323286533356,1450.08,698.2007197
369,284672,3.4712777,0.017285157,0.8999470323324203,0.0019202608,139,-0.0044646263,284672,18.766022,934.3530676364899,1475.46,715.56738754
