approxkl,value_loss,policy_entropy,clipfrac,ep_reward_mean,time_elapsed,n_updates,total_timesteps,explained_variance,serial_timesteps,policy_loss,ep_len_mean,fps
0.0032381576,12.820524,3.8161888,0.035791017,1093.91965831,2890.970093011856,854,1748992,0.8275652974843979,1748992,-0.0016040882,1457.03,581
0.0030902948,19.410492,3.8173404,0.029736329,1095.53753354,2894.4949655532837,855,1751040,0.82414710521698,1751040,-0.0013407392,1457.03,586
0.0029552316,13.844522,3.8098514,0.028222656,1106.7178698799999,2897.9903383255005,856,1753088,0.7413661777973175,1753088,-0.0016374892,1473.83,585
0.0055942195,19.018812,3.8123927,0.062451173,1122.999043,2901.487764120102,857,1755136,0.812018483877182,1755136,-0.005814798,1490.63,552
0.004516132,15.789764,3.8196971,0.054345705,1139.73234911,2905.1967923641205,858,1757184,0.8360112756490707,1757184,-0.0017143572,1507.55,559
0.0058970023,18.617332,3.8238025,0.07397461,1149.99554788,2908.8578927516937,859,1759232,0.8140965849161148,1759232,-0.0044892053,1515.95,569
0.006526228,19.384348,3.8190646,0.069726564,1150.00805285,2912.455615758896,860,1761280,0.839455246925354,1761280,-0.0037111673,1515.95,556
0.005931738,4.914767,3.8186126,0.06557617,1165.3013567100002,2916.139016151428,861,1763328,0.9571313299238682,1763328,-0.004891839,1531.99,560
0.0052803857,11.089516,3.813076,0.06757812,1165.65560657,2919.7932550907135,862,1765376,0.8739410042762756,1765376,-0.006680233,1531.99,558
0.0033552262,15.626927,3.8188846,0.034765624,1154.79061512,2923.463869571686,863,1767424,0.9078491255640984,1767424,-0.0043508,1521.98,582
0.0045782654,20.500566,3.829496,0.064453125,1167.1581099799998,2926.9806973934174,864,1769472,0.8325455486774445,1769472,-0.005240455,1534.67,569
0.0030130711,42.02568,3.8318202,0.03237305,1171.10129133,2930.579419851303,865,1771520,0.8366172462701797,1771520,-0.0047231778,1538.85,581
0.0033415046,9.864055,3.8399696,0.03754883,1155.4388997099998,2934.1014382839203,866,1773568,0.9537463672459126,1773568,-0.0033808344,1522.58,580
0.0031870126,28.565327,3.848259,0.03515625,1171.3181585700002,2937.6275091171265,867,1775616,0.889473982155323,1775616,-0.0036614253,1538.25,571
0.003408116,20.36931,3.8563504,0.038867187,1180.75207429,2941.213919878006,868,1777664,0.8056575059890747,1777664,-0.00079889706,1545.34,566
0.0029091223,22.968803,3.8638554,0.03173828,1178.26476718,2944.829348564148,869,1779712,0.8986070528626442,1779712,-2.021778e-05,1541.25,565
0.0064796084,19.75643,3.874049,0.086083986,1183.62953713,2948.4532108306885,870,1781760,0.8449421226978302,1781760,-0.0045534307,1541.25,549
0.004818711,19.166933,3.8800168,0.061914064,1193.51275881,2952.1814494132996,871,1783808,0.8428602367639542,1783808,-0.0030644967,1551.15,569
0.0035660989,11.094561,3.884988,0.039892577,1185.73880197,2955.778925180435,872,1785856,0.9268362671136856,1785856,-0.0052837604,1536.85,593
0.0057373666,4.144978,3.8918176,0.07138672,1187.85008979,2959.2331092357635,873,1787904,0.9680529795587063,1787904,-0.0048274286,1534.28,555
0.0042200154,20.14182,3.8968067,0.050195314,1192.0033553,2962.918118953705,874,1789952,0.8122642189264297,1789952,-0.0011491801,1536.21,553
0.0049213143,20.089357,3.8946624,0.062353514,1194.8777472,2966.6158542633057,875,1792000,0.8204560428857803,1792000,-0.0027709363,1536.21,555
0.005975797,19.789387,3.8912444,0.07304688,1201.00389076,2970.3051064014435,876,1794048,0.8324062824249268,1794048,-0.002603931,1536.21,545
