approxkl,serial_timesteps,explained_variance,policy_entropy,n_updates,value_loss,fps,clipfrac,total_timesteps,policy_loss,time_elapsed,ep_reward_mean,ep_len_mean
0.0030528489,507904,0.817570298910141,4.294481,248,20.040852,440,0.035449218,507904,-0.0023287612,1115.5632863044739,1076.022785,1293.78
0.0029529098,509952,0.8529194891452789,4.30253,249,25.165686,428,0.030517578,509952,-0.0059758234,1120.21146774292,1090.00791828,1305.97
0.0030410874,512000,0.877701960504055,4.3166866,250,24.226475,444,0.03203125,512000,-0.002540486,1124.9906413555145,1089.2659164000002,1304.85
0.006659674,514048,0.7797338217496872,4.3191752,251,20.153824,434,0.08901367,514048,-0.0039596483,1129.6042380332947,1105.9097421600002,1320.81
0.0015599192,516096,0.7777547091245651,4.3117857,252,20.124428,433,0.012597656,516096,-0.00082761375,1134.3138718605042,1123.1247555900002,1337.55
0.0031784785,518144,0.8866266161203384,4.2985573,253,22.11092,442,0.034082033,518144,-0.00155101,1139.0381746292114,1122.17903501,1334.97
0.003764211,520192,0.9829424247145653,4.295654,254,2.9562917,453,0.037841797,520192,-0.007612081,1143.6676564216614,1120.17043112,1331.04
0.0023967451,522240,0.8133229315280914,4.29137,255,20.86741,451,0.029150391,522240,-0.002309654,1148.1799025535583,1137.48565364,1347.86
0.0025796588,524288,0.8331720978021622,4.289256,256,21.903831,424,0.024414062,524288,-0.0037177769,1152.71626663208,1152.69877534,1362.77
0.004736793,526336,0.8204041719436646,4.2918973,257,24.145649,432,0.057763673,526336,-0.0041205883,1157.5404086112976,1168.88963702,1378.75
0.0035061836,528384,0.7680456340312958,4.2918944,258,20.412277,444,0.037353516,528384,-0.0014066559,1162.2773697376251,1184.0186108599999,1393.26
0.0017362984,530432,0.8779833689332008,4.288612,259,31.857952,468,0.017822266,530432,-0.0015837923,1166.885796546936,1167.5068642699998,1373.0
0.0022103074,532480,0.881940096616745,4.2893643,260,37.824757,462,0.022460938,532480,-0.0038323202,1171.2569553852081,1124.6911170600001,1327.83
0.0026579867,534528,0.8481781333684921,4.2842546,261,22.887646,451,0.028466797,534528,-0.0025444822,1175.6875038146973,1125.12724006,1327.83
0.003916227,536576,0.5454399585723877,4.2793894,262,27.57079,484,0.044970702,536576,-0.0036439497,1180.2197940349579,1082.4804127599998,1288.78
0.0039892616,538624,0.9344983324408531,4.279705,263,6.808432,484,0.048046876,538624,-0.0057537938,1184.449464559555,1077.28392313,1281.7
0.0045923097,540672,0.18608331680297852,4.2818937,264,21.339323,484,0.054248046,540672,-0.0032355941,1188.676146030426,1072.6205243199997,1281.7
0.004305759,542720,0.7658693194389343,4.2887187,265,20.010159,439,0.052490234,542720,-0.0014517806,1192.903410434723,1073.07891065,1281.7
0.0028953587,544768,0.8275281637907028,4.289886,266,20.37178,449,0.029736329,544768,-0.0016476937,1197.5618093013763,1072.3314041899998,1281.7
0.0037650268,546816,0.9820302594453096,4.2960625,267,2.6188555,453,0.039746094,546816,-0.007210139,1202.122682094574,1055.65211032,1264.25
0.0031431578,548864,0.8084173053503036,4.302421,268,20.608088,438,0.034375,548864,-0.0039712777,1206.63898062706,1055.8915846999998,1264.25
0.0012516293,550912,0.8826285600662231,4.2968707,269,20.58749,422,0.010205078,550912,-0.0009191878,1211.3082551956177,1072.11713517,1279.71
0.0021939976,552960,0.8940636217594147,4.311448,270,25.723186,441,0.020996094,552960,-0.00210027,1216.1544477939606,1085.37681487,1293.09
0.0035217342,555008,0.7574193924665451,4.31678,271,22.200226,427,0.038085938,555008,-0.0042753657,1220.7919521331787,1086.47994798,1293.09
0.0031878203,557056,0.6659200489521027,4.3115873,272,30.69935,500,0.03339844,557056,-0.0035956602,1225.5803751945496,1059.0601526300002,1269.54
0.0020475094,559104,0.7362491488456726,4.3204017,273,25.133183,529,0.025146484,559104,-0.004060328,1229.6707990169525,990.8312466800002,1203.59
0.0034571637,561152,0.9427309669554234,4.3192835,274,12.21564,484,0.037744142,561152,-0.0032206115,1233.5362441539764,974.9384688900001,1189.42
