fps,n_updates,explained_variance,value_loss,ep_reward_mean,policy_loss,ep_len_mean,time_elapsed,policy_entropy,total_timesteps,approxkl,clipfrac,serial_timesteps
285,789,0.9076065346598625,7.171768,868.4943021900002,-0.005478372,1387.37,5321.462589263916,3.2384343,1615872,0.0035115026,0.03618164,1615872
284,790,0.7927638441324234,11.705198,870.5446491200001,-0.0059438227,1389.7,5328.630211353302,3.2438495,1617920,0.006306193,0.08735351,1617920
296,791,0.8700136095285416,12.686965,844.66755921,-0.0030732965,1353.43,5335.834233999252,3.2518394,1619968,0.0035523432,0.0375,1619968
285,792,0.9024494960904121,3.0279713,841.93701932,-0.0049533937,1348.5,5342.733568191528,3.2600398,1622016,0.0057288585,0.068603516,1622016
298,793,0.6900323331356049,22.682583,840.58587152,-0.0056691417,1343.68,5349.902850627899,3.2721286,1624064,0.004307277,0.051171876,1624064
298,794,0.8686929792165756,11.803556,826.8768714700001,-0.0062231543,1324.88,5356.755890130997,3.2814865,1626112,0.003478273,0.03652344,1626112
287,795,0.7808690220117569,12.197961,827.50534643,-0.004244237,1324.88,5363.628472328186,3.284565,1628160,0.003659126,0.042529296,1628160
293,796,0.9001825377345085,9.414813,804.8940843300002,-0.0029483796,1286.92,5370.753857135773,3.2851386,1630208,0.0026334964,0.02368164,1630208
281,797,0.9349416419863701,3.6695008,803.4539392099999,-0.0037300482,1284.76,5377.730320453644,3.2847888,1632256,0.0038378066,0.042675782,1632256
287,798,0.7841662019491196,17.964703,791.5981546900002,-0.001877884,1264.8,5385.011065721512,3.2860827,1634304,0.0031807174,0.033251952,1634304
287,799,0.8420598953962326,11.07876,791.29684435,-0.0059236856,1264.8,5392.145057439804,3.291182,1636352,0.0047898027,0.05703125,1636352
280,800,0.6374135613441467,9.183209,800.4989477200002,-0.0026797834,1277.64,5399.262482881546,3.2951012,1638400,0.005451235,0.066259764,1638400
275,801,0.5991228818893433,8.795153,804.86312864,-0.0039321617,1277.64,5406.579494714737,3.2867782,1640448,0.0045874817,0.054345705,1640448
