n_updates,serial_timesteps,fps,approxkl,explained_variance,policy_entropy,time_elapsed,value_loss,policy_loss,total_timesteps,ep_reward_mean,clipfrac,ep_len_mean
135,276480,170,0.0045708423,0.9611016884446144,3.7036872,1917.559309720993,2.8473067,-0.004784898,276480,1262.17587308,0.047460936,1445.95
136,278528,145,0.0031272557,0.9424170069396496,3.69943,1929.5703043937683,9.362097,-0.0036211784,278528,1252.80438675,0.033154298,1436.26
137,280576,171,0.0035533558,0.9713076893240213,3.6884732,1943.6238059997559,2.5855594,-0.005787667,280576,1266.01232621,0.034521483,1449.15
138,282624,180,0.0045521674,0.9594484865665436,3.6510658,1955.5564460754395,2.406295,-0.004297671,282624,1282.55656449,0.04433594,1465.65
139,284672,170,0.0059608216,0.9712689463049173,3.613448,1966.9017384052277,2.5736666,-0.0087321075,284672,1298.4446484700002,0.060498048,1481.16
140,286720,173,0.004177458,0.9617434330284595,3.5759792,1978.9376595020294,2.4005504,-0.0032998696,286720,1311.6976055,0.04423828,1495.04
141,288768,165,0.0036506797,0.9637729041278362,3.5410085,1990.7464544773102,2.717815,-0.0011401614,288768,1311.7173691700002,0.03803711,1495.04
142,290816,170,0.005296898,0.9717427510768175,3.5121446,2003.0863921642303,2.4616733,-0.0055072503,290816,1328.30147073,0.057275392,1511.59
143,292864,166,0.0058167973,0.9656756818294525,3.484269,2015.0984280109406,2.5522037,-0.003088022,292864,1331.6870215100002,0.06704102,1515.52
144,294912,179,0.00545867,0.9582120925188065,3.4610035,2027.377682209015,2.4326444,-0.0037830924,294912,1331.6270703400003,0.06333008,1515.52
145,296960,170,0.0066242022,0.9659327082335949,3.4469357,2038.8126113414764,2.496821,-0.0045903283,296960,1331.7356367400002,0.080029294,1515.52
146,299008,178,0.0078492,0.9501596763730049,3.4355297,2050.798743247986,3.0339837,-0.009262076,299008,1331.59313478,0.073876955,1515.52
147,301056,173,0.005948046,0.9607493840157986,3.4227784,2062.2947659492493,2.383981,-0.006418474,301056,1331.2205215000001,0.06289063,1515.51
148,303104,170,0.004283327,0.9695309419184923,3.3988948,2074.1260328292847,2.674149,-0.0035621617,303104,1348.8096875200001,0.044921875,1533.4
149,305152,170,0.0037312831,0.9705670196563005,3.3695323,2086.112653017044,2.4154005,-0.0060544326,305152,1350.9063535400003,0.03984375,1536.0
150,307200,168,0.009124389,0.9458020031452179,3.3606129,2098.1345524787903,9.120731,-0.010164589,307200,1350.7104629100004,0.07836914,1536.44
151,309248,198,0.0059211557,0.9564216248691082,3.3774166,2110.2649569511414,2.7662885,-0.009292227,309248,1349.88280862,0.06289063,1536.0
152,311296,170,0.005067522,0.9626599438488483,3.369615,2120.586140871048,2.68124,-0.0038894855,311296,1351.1380859700002,0.05834961,1536.0
153,313344,166,0.004015781,0.9700149018317461,3.3513997,2132.599552154541,2.5235875,-0.003960679,313344,1366.1512031600003,0.041894533,1547.51
154,315392,142,0.005795149,0.947618905454874,3.3567204,2144.9268114566803,8.7918415,-0.0052010235,315392,1377.65040433,0.05859375,1555.06
155,317440,165,0.0074254535,0.9657629616558552,3.362332,2159.3083741664886,2.4705567,-0.005214649,317440,1379.2326484699997,0.051757812,1556.48
156,319488,165,0.0048598554,0.9654498994350433,3.3313339,2171.677589893341,2.4412332,-0.0059373104,319488,1396.23027542,0.052734375,1572.45
157,321536,144,0.006029909,0.9411976784467697,3.3245633,2184.078144788742,9.77025,-0.005719352,321536,1405.62594729,0.06298828,1580.22
158,323584,181,0.005031013,0.9597019366919994,3.3155086,2198.2868716716766,2.3901777,-0.0073142126,323584,1418.6272051,0.05258789,1592.9
159,325632,152,0.004601173,0.9557089246809483,3.3122787,2209.5934524536133,7.494723,-0.005462073,325632,1428.1013105600002,0.047753908,1595.9
160,327680,165,0.007121414,0.9652202874422073,3.3148956,2223.002227783203,2.4123063,-0.0083988765,327680,1431.6570761799999,0.08115234,1597.44
161,329728,199,0.005346111,0.9577469676733017,3.2872875,2235.3611805438995,2.4550996,-0.0064944155,329728,1448.87789454,0.04423828,1614.19
162,331776,165,0.0056118905,0.9678945429623127,3.2728848,2245.6215710639954,2.4880197,-0.0039658267,331776,1453.00947072,0.05288086,1617.92
163,333824,199,0.0055604936,0.9573587700724602,3.272604,2258.0230617523193,2.4001648,-0.008394134,333824,1468.39466017,0.053759765,1632.43
164,335872,119,0.0044175233,0.8705141842365265,3.2836144,2268.3149750232697,17.43785,-0.00097168086,335872,1457.0538379000002,0.038964845,1620.51
165,337920,165,0.004146066,0.9645862504839897,3.2888103,2285.4793815612793,2.4127378,-0.003052121,337920,1471.60790236,0.04448242,1634.54
166,339968,181,0.0072413236,0.9573166407644749,3.2671769,2297.853314638138,2.3731637,-0.002805906,339968,1475.21899221,0.0675293,1638.4
167,342016,180,0.006417637,0.9589360356330872,3.245063,2309.1604211330414,2.349881,-0.010176429,342016,1475.5477324500002,0.065136716,1638.4
168,344064,133,0.0056700357,0.9227471873164177,3.2358696,2320.49387717247,13.1015215,-8.308578e-05,344064,1458.6687480800001,0.061914064,1621.78
169,346112,199,0.0061944276,0.9575318582355976,3.2427864,2335.8540654182434,2.3931673,-0.0020217525,346112,1450.90296488,0.06665039,1617.92
170,348160,99,0.006332597,0.927718959748745,3.2411437,2346.1150286197662,16.04708,-0.008185189,348160,1419.5987265899998,0.06782226,1589.84
171,350208,118,0.009316413,0.8522268235683441,3.2470112,2366.6701426506042,19.297663,-0.0058835945,350208,1389.71945901,0.05288086,1559.19
172,352256,170,0.0073010074,0.9638972133398056,3.2335992,2383.888802051544,2.4048095,-0.010325715,352256,1386.9894726799998,0.07993164,1556.48
173,354304,181,0.011441885,0.9579038470983505,3.1974807,2395.876238822937,2.3601353,-0.009139504,354304,1387.71505081,0.08359375,1556.48
174,356352,199,0.005590518,0.9579504877328873,3.1731758,2407.1638674736023,2.354228,-0.0038160724,356352,1387.6908164299998,0.06064453,1556.47
175,358400,165,0.0064973137,0.9658331088721752,3.1594653,2417.4255270957947,2.7046545,-0.0059116436,358400,1404.3413066599999,0.05883789,1572.65
176,360448,165,0.004473323,0.9639933072030544,3.153726,2429.83749127388,2.4260888,-0.0018650258,360448,1408.1813886999998,0.04799805,1576.96
177,362496,165,0.0060436367,0.9642591588199139,3.1318407,2442.198930978775,2.3760765,-0.0039976807,362496,1411.7639121299999,0.06318359,1576.96
178,364544,116,0.0064086514,0.8854887932538986,3.1293015,2454.5544068813324,15.331411,0.003958229,364544,1393.8950039200001,0.046044923,1558.98
179,366592,174,0.0068372427,0.963536761701107,3.124857,2472.1296939849854,2.3880367,-0.0013621014,366592,1391.3919843800002,0.07651367,1556.48
180,368640,177,0.0069429325,0.9581757858395576,3.107456,2483.884512424469,2.357629,-0.004231677,368640,1391.21128516,0.07075195,1556.48
181,370688,199,0.0091289105,0.9573348350822926,3.082191,2495.4092350006104,2.3658245,-0.008641719,370688,1391.3525703200003,0.09067383,1556.48
182,372736,199,0.0049097124,0.9572933465242386,3.0509028,2505.6816844940186,2.3643596,-0.005706447,372736,1391.3742011800005,0.05253906,1556.48
183,374784,198,0.0077323476,0.957059595733881,3.0300574,2515.947934150696,2.3582418,-0.00925049,374784,1408.4750000000006,0.087890625,1573.02
184,376832,198,0.009851936,0.9572884812951088,3.0025241,2526.27792429924,2.3653886,-0.0056039803,376832,1413.02424219,0.07851563,1576.96
185,378880,164,0.0060516517,0.9618021436035633,2.9807255,2536.571526288986,2.4429886,-0.001622645,378880,1413.0174140699999,0.046728514,1576.96
186,380928,198,0.008362448,0.9554649591445923,2.9655356,2549.0040469169617,2.3611047,-0.0067844875,380928,1412.8592871199999,0.07705078,1576.96
187,382976,198,0.009598171,0.9566216059029102,2.9581642,2559.328179359436,2.3568177,-0.0066259042,382976,1412.8733945400004,0.07133789,1576.96
188,385024,202,0.0139704915,0.9574108645319939,2.9547715,2569.649583339691,2.364126,-0.009269845,385024,1413.31288478,0.11396484,1576.95
