n_updates,fps,clipfrac,explained_variance,total_timesteps,value_loss,time_elapsed,policy_loss,approxkl,serial_timesteps,policy_entropy,ep_reward_mean,ep_len_mean
296,573,0.020214844,0.7954785227775574,606208,38.999554,1109.6589000225067,-0.0016723825,0.0020354711,606208,4.9256673,951.01850131,1278.62
297,552,0.07421875,0.8629171550273895,608256,19.46981,1113.2306740283966,-0.0065447493,0.005878771,608256,4.9086866,966.2160237100002,1293.99
298,561,0.0359375,0.9247645884752274,610304,12.122037,1116.9356291294098,-0.0063905483,0.0033321916,610304,4.9012094,937.7334531200001,1263.84
299,524,0.015380859,0.9131797924637794,612352,29.689701,1120.5843784809113,-0.0020020506,0.0018688228,612352,4.9020596,904.8265416,1225.53
300,562,0.033691406,0.9155084937810898,614400,17.23223,1124.4909002780914,-0.00573991,0.0029113211,614400,4.905817,856.7744130500001,1174.92
301,514,0.03388672,0.8785232156515121,616448,18.82584,1128.1361153125763,-0.0008108597,0.002957953,616448,4.9152117,855.55274575,1174.92
302,549,0.035058595,0.9083492085337639,618496,25.213797,1132.118686914444,-0.00277607,0.003214969,618496,4.9259753,844.3629779899999,1159.03
303,550,0.023583984,0.8861546218395233,620544,19.156588,1135.8435652256012,-0.002853004,0.0025181326,620544,4.9305906,843.6274238,1159.03
304,543,0.046289064,0.9020996391773224,622592,23.857536,1139.5616919994354,-0.0055904286,0.004369692,622592,4.9273987,826.9271231199999,1141.24
305,562,0.022998046,0.857616126537323,624640,21.041012,1143.3327572345734,-0.00286089,0.0022488239,624640,4.929099,829.8541616599999,1141.24
306,567,0.034521483,0.7053261697292328,626688,10.955223,1146.9761054515839,-0.00035146074,0.0031863214,626688,4.935284,840.3816326500001,1157.52
307,575,0.037109375,0.6558184027671814,628736,20.231342,1150.5838956832886,-0.003215668,0.0031305752,628736,4.9392457,840.84653373,1157.52
308,549,0.056103516,0.9233253225684166,630784,10.832449,1154.145982503891,-0.0043650675,0.004594021,630784,4.942876,824.56205854,1141.18
309,561,0.044921875,0.7362230718135834,632832,29.179388,1157.8731672763824,-0.004308858,0.003398519,632832,4.9640274,825.0518435399999,1139.09
310,573,0.019726563,0.818987712264061,634880,30.127087,1161.5234696865082,-0.0019202409,0.0020468114,634880,4.977684,805.7772147000001,1121.72
311,544,0.056396484,0.8632207661867142,636928,19.010208,1165.0948905944824,-0.001934032,0.0047593615,636928,4.9788857,806.21616468,1121.72
312,544,0.026464844,0.888946607708931,638976,19.221836,1168.855896472931,-0.0010278703,0.0026669786,638976,4.9790874,806.15976479,1121.72
313,575,0.042382814,0.7507434338331223,641024,10.712258,1172.6148891448975,-0.0034031842,0.003681353,641024,4.9764943,805.8361623599999,1121.72
314,573,0.016308594,0.7425375878810883,643072,23.36587,1176.1735656261444,-0.0021355278,0.001889142,643072,4.969408,783.4791362699999,1104.01
315,553,0.03666992,0.9310717657208443,645120,15.996031,1179.7467374801636,-0.0021250236,0.0034419186,645120,4.968608,778.4674427599998,1097.09
316,556,0.045410156,0.8828665316104889,647168,19.03208,1183.4490010738373,-0.0030897656,0.0038267125,647168,4.9703894,778.34432891,1097.09
317,556,0.013671875,0.8943870365619659,649216,24.540565,1187.12655377388,-0.0018544808,0.0016035971,649216,4.970107,777.0896796100001,1096.89
318,558,0.04160156,0.9005967304110527,651264,30.417423,1190.805133342743,-0.0029366123,0.0035685736,651264,4.9697237,770.1858243600001,1087.82
319,588,0.03046875,0.8155120313167572,653312,19.74588,1194.4740822315216,-0.0044495882,0.0027855462,653312,4.966221,768.91129404,1086.45
320,562,0.04296875,0.9579601921141148,655360,7.4528794,1197.953958272934,-0.004984705,0.003920464,655360,4.9750533,772.21744509,1091.44
321,563,0.028710937,0.8962723612785339,657408,32.604828,1201.5972826480865,-0.002778791,0.0025459635,657408,4.9943857,774.1082591900001,1095.3
322,594,0.0052734376,0.8995229974389076,659456,7.6271887,1205.230450630188,-0.0015956771,0.0008465969,659456,5.0065203,761.8931909900001,1084.78
323,579,0.012890625,0.8480381965637207,661504,31.74859,1208.6738629341125,-0.0016903158,0.0012604797,661504,5.0048833,745.4763062,1071.02
324,578,0.028076172,0.9443504922091961,663552,12.032895,1212.2100100517273,-0.0029129402,0.0029139556,663552,5.001858,712.6456611899999,1037.39
