serial_timesteps,policy_entropy,fps,total_timesteps,ep_reward_mean,explained_variance,ep_len_mean,time_elapsed,policy_loss,approxkl,value_loss,clipfrac,n_updates
634880,1.922589,507,634880,952.41109161,0.6298846900463104,1463.36,1351.8052740097046,-0.0058675604,0.003656398,25.668503,0.038867187,310
636928,1.9327999,492,636928,964.14291276,0.690199613571167,1479.19,1355.8399617671967,-0.0007751292,0.0075741922,11.423492,0.08671875,311
638976,1.9361486,482,638976,971.09794241,0.7983884811401367,1487.99,1359.9959201812744,-0.003188889,0.006110432,8.227018,0.071582034,312
641024,1.948502,495,641024,972.5835298499999,0.8694881796836853,1489.03,1364.2423613071442,-0.0023325123,0.005051478,6.707331,0.057714842,313
643072,1.951671,480,643072,979.69191283,0.7784007340669632,1498.26,1368.3742661476135,-0.00345029,0.006346804,9.439686,0.08334961,314
645120,1.9553028,474,645120,970.2083861100001,0.775831788778305,1484.93,1372.6395394802094,-0.003307409,0.0053665405,14.061798,0.058496095,315
647168,1.9844668,473,647168,970.0066690900001,0.5972638428211212,1484.93,1376.9603838920593,-0.0022842467,0.008348663,11.931231,0.094335936,316
649216,1.989234,484,649216,962.0180108999999,0.7488363087177277,1472.2,1381.2829031944275,-0.0010845232,0.006438193,13.015696,0.06850586,317
651264,1.9844621,498,651264,940.7834011100001,0.6731237769126892,1439.84,1385.5080378055573,-0.0038752314,0.0044635255,21.74144,0.057666015,318
653312,1.9986145,483,653312,940.68844717,0.7490223050117493,1439.84,1389.6130785942078,1.1048198e-05,0.006778409,9.657488,0.07998047,319
655360,2.0045428,481,655360,941.84444852,0.6361066102981567,1439.84,1393.8516042232513,-0.0016589209,0.004123085,11.220436,0.048339844,320
657408,2.0037467,482,657408,924.34738261,0.7628052234649658,1414.69,1398.1024277210236,-0.0018289301,0.004303728,18.531893,0.049072266,321
659456,2.0051465,488,659456,913.7910892100001,0.8538072258234024,1399.9,1402.3451218605042,-0.004119123,0.004855303,6.316699,0.06035156,322
661504,2.008471,483,661504,913.7774015099999,0.6529502272605896,1399.9,1406.5423908233643,-0.00047330762,0.0049520237,11.965636,0.049609374,323
663552,2.0117025,481,663552,914.2101384299999,0.5231935679912567,1399.9,1410.7814626693726,-0.0007934577,0.0052736304,13.51341,0.06098633,324
665600,2.0133266,477,665600,914.6710506100001,0.6234245002269745,1400.01,1415.036646604538,-0.002708363,0.006713337,19.076618,0.08071289,325
