n_updates,explained_variance,fps,ep_reward_mean,serial_timesteps,time_elapsed,approxkl,policy_loss,clipfrac,total_timesteps,ep_len_mean,policy_entropy,value_loss
131,0.6679864823818207,552,626.10758055,268288,485.1312942504883,0.005299441,-0.003731648,0.058447264,268288,1960.94,1.7688396,3.8283782
132,0.6819161772727966,558,630.7966728700001,270336,488.84087014198303,0.0027808608,-0.0014019642,0.024121094,270336,1960.94,1.7643249,3.9995995
133,0.7141981422901154,549,633.86596268,272384,492.5063807964325,0.002941896,-0.0015926197,0.026806641,272384,1947.85,1.7561413,5.0815053
134,0.6224918961524963,568,638.70520351,274432,496.23168754577637,0.0027374434,-0.0015246954,0.030908203,274432,1947.85,1.7576456,5.187382
135,0.7091274559497833,554,638.9295397400001,276480,499.8336911201477,0.006503044,-0.0039166985,0.0828125,276480,1939.15,1.7691009,3.2831109
136,0.6398971676826477,562,643.34825992,278528,503.5289032459259,0.0023374492,-0.0019521893,0.02451172,278528,1939.15,1.7782307,4.6505613
137,0.6527878046035767,562,647.81461103,280576,507.16928362846375,0.0051256344,-0.0010901933,0.05986328,280576,1939.15,1.7693231,4.262067
138,0.6188348531723022,559,652.2541575,282624,510.8132266998291,0.0021954176,-0.001626963,0.019140625,282624,1939.15,1.7681501,5.007592
139,0.6755523383617401,567,656.74509791,284672,514.4758393764496,0.0043898085,-0.003055191,0.053955078,284672,1939.15,1.775103,4.4007635
140,0.7168618142604828,535,657.56380917,286720,518.087376832962,0.0032197114,-0.00046921638,0.033447266,286720,1932.42,1.7826796,3.6964889
141,0.6346993446350098,540,661.13543647,288768,521.9142243862152,0.005525358,-0.0056779073,0.06782226,288768,1922.67,1.7920606,6.9898844
142,0.6625679433345795,552,660.5750331000002,290816,525.7060344219208,0.0030486495,-0.0007004165,0.032470703,290816,1903.83,1.8025129,6.781591
143,0.6896965205669403,557,658.8280099799999,292864,529.4122791290283,0.0026001832,-0.0010866871,0.02866211,292864,1881.94,1.802201,6.2159367
144,0.7328753769397736,554,655.6793144700001,294912,533.0892672538757,0.0033581518,-0.004298995,0.03769531,294912,1847.28,1.8018763,7.19767
145,0.7635948956012726,552,654.84567602,296960,536.7868094444275,0.00369289,-0.0017691206,0.04160156,296960,1835.71,1.8058684,3.326625
146,0.6696697771549225,535,660.1650607,299008,540.4957365989685,0.003955776,-0.0019907646,0.046240233,299008,1835.71,1.8109518,4.559449
147,0.620716005563736,534,664.12811009,301056,544.3220286369324,0.003362773,-0.0021526185,0.035058595,301056,1823.36,1.8151495,8.051195
148,0.661891758441925,572,663.69710865,303104,548.1542699337006,0.0025004486,-0.0009591299,0.023828125,303104,1802.34,1.8149726,8.044218
149,0.5966877341270447,545,655.45657769,305152,551.7313027381897,0.0032098338,-0.0038842033,0.03334961,305152,1746.22,1.8149374,13.210539
150,0.7292239665985107,576,647.89552575,307200,555.4885628223419,0.003191406,0.0011275518,0.034765624,307200,1702.13,1.8157995,7.8321395
151,0.7176661491394043,584,640.71181211,309248,559.0402257442474,0.0032496105,-0.0037411686,0.031884767,309248,1658.91,1.80452,9.769565
152,0.7628945559263229,588,628.7681168599999,311296,562.543981552124,0.0023532505,-0.0022146765,0.023925781,311296,1598.09,1.805912,8.619438
153,0.6242519915103912,584,615.1954765,313344,566.0249800682068,0.004009264,-0.0021937646,0.047021486,313344,1535.68,1.8045286,12.590375
154,0.7934508472681046,581,603.8762456899999,315392,569.530935049057,0.0030574102,-0.001688062,0.031640626,315392,1477.92,1.797294,8.167719
155,0.8120647966861725,583,595.8662584799999,317440,573.0561141967773,0.00290126,-0.0021259205,0.02861328,317440,1436.69,1.7961448,7.244545
156,0.8287131488323212,580,585.5283363399999,319488,576.5669906139374,0.0031247449,-0.0014079283,0.030322265,319488,1393.06,1.7937492,5.59466
157,0.6849436163902283,571,576.28048305,321536,580.0939500331879,0.0037656066,-0.0019751247,0.041748047,321536,1352.62,1.7875658,9.916099
158,0.7394779920578003,578,560.27503157,323584,583.6771092414856,0.0040245056,-0.0019900287,0.043017577,323584,1294.03,1.7773796,9.690447
159,0.8243330866098404,583,546.7239605999999,325632,587.2164189815521,0.004088682,-0.0008656446,0.043847658,325632,1249.1,1.7647717,7.0334945
160,0.7603549659252167,589,524.61418296,327680,590.7275671958923,0.0041119,-0.0019047151,0.043945312,327680,1189.66,1.7625576,9.999783
161,0.7263962924480438,584,499.38681875000003,329728,594.1995213031769,0.0035147734,-0.0026671402,0.04135742,329728,1127.35,1.7648607,10.178242
162,0.6309392154216766,579,475.29368614,331776,597.7064373493195,0.0056000436,-0.0035749834,0.072265625,331776,1066.27,1.7743946,11.667701
163,0.6521769464015961,593,451.7863043499999,333824,601.2413387298584,0.0030019572,-0.0026922254,0.029638672,333824,1007.58,1.7819859,13.321022
164,0.6512021720409393,596,447.00479697000003,335872,604.6937155723572,0.0055638794,-0.00057382823,0.06196289,335872,994.12,1.7830477,8.593496
165,0.7061919569969177,570,443.39710993,337920,608.1250510215759,0.011641561,-0.010139161,0.13681641,337920,984.66,1.7900919,7.341723
166,0.7806959003210068,584,438.9678264699999,339968,611.717042684555,0.0055466588,-0.004827136,0.06948242,339968,972.2,1.7930157,7.4696984
167,0.8256116360425949,584,422.71207383,342016,615.2223689556122,0.004709997,0.00039411703,0.052001953,342016,935.91,1.7879566,8.465086
168,0.7877297401428223,591,407.7965710700001,344064,618.7278201580048,0.0031427022,-0.002512718,0.028076172,344064,903.35,1.7885958,7.355624
169,0.5805649757385254,594,401.8327733500001,346112,622.1912491321564,0.0074874302,-0.0017856082,0.079638675,346112,889.75,1.7856516,9.302853
170,0.6367808282375336,592,402.06267057,348160,625.637039899826,0.0075895027,-0.0020666192,0.089941405,348160,888.91,1.7796891,5.9547176
171,0.6047334372997284,583,394.1866951400001,350208,629.091495513916,0.010679517,-0.0037141163,0.121679686,350208,869.7,1.7712338,9.463421
172,0.6837531328201294,582,384.86921181,352256,632.6025664806366,0.0046117012,-0.00038090866,0.048583984,352256,847.52,1.7718445,7.7773695
173,0.826339527964592,591,380.92060513,354304,636.1176257133484,0.0069863023,-0.0034418697,0.07856445,354304,838.04,1.761039,3.1439638
174,0.6068261563777924,582,384.34026113,356352,639.5805821418762,0.0042183367,-0.0040133684,0.050976563,356352,842.51,1.7509295,8.988374
175,0.8576112687587738,589,380.2821992000001,358400,643.0978829860687,0.006040834,-0.0031180368,0.06821289,358400,833.49,1.7488664,3.0529847
176,0.7548482120037079,589,378.2538156600001,360448,646.5730695724487,0.00391487,-0.0021804087,0.043359376,360448,826.06,1.7487913,6.846274
177,0.6130106449127197,593,369.7244289100001,362496,650.0503122806549,0.008078689,-0.0014524334,0.090185545,362496,805.92,1.7456834,9.890894
178,0.6114703416824341,584,351.22234448999995,364544,653.5026316642761,0.0051440266,-0.003661235,0.05722656,364544,765.18,1.743293,15.349561
