policy_loss,fps,total_timesteps,clipfrac,n_updates,approxkl,time_elapsed,policy_entropy,serial_timesteps,value_loss,explained_variance,ep_reward_mean,ep_len_mean
-0.0056928033,165,321536,0.047460936,157,0.0057718367,2049.3013200759888,3.937194,321536,2.502365,0.9658829681575298,1528.7051171499998,1774.19
-0.0050484105,175,323584,0.062841795,158,0.00586783,2061.644999742508,3.9000938,323584,2.4812894,0.963959414511919,1536.4353358999997,1781.76
-0.00846005,181,325632,0.06723633,159,0.0059163673,2073.3395755290985,3.8854282,325632,2.9124765,0.9652409218251705,1553.8926913699997,1799.19
-0.005618508,197,327680,0.063769534,160,0.0063538686,2084.62607216835,3.8839672,327680,2.4714963,0.9653571844100952,1570.0000448799997,1816.69
-0.0033696573,201,329728,0.070166014,161,0.006820158,2094.9919757843018,3.8606834,329728,2.4463592,0.9663201309740543,1576.1835194899998,1822.72
-0.003905672,181,331776,0.043164063,162,0.0042856773,2105.1685779094696,3.8429177,331776,2.4880672,0.9648023843765259,1593.62984371,1840.2
-0.010147811,165,333824,0.067675784,163,0.0063671144,2116.4695978164673,3.8570285,333824,2.7337346,0.9657283574342728,1597.1673534700003,1843.2
-0.0055958484,189,335872,0.049951173,164,0.005548218,2128.818192958832,3.8597596,335872,2.436983,0.962977759540081,1596.9239315999998,1843.2
-0.008179104,165,337920,0.053027343,165,0.005561067,2139.6033430099487,3.8540406,337920,2.5224416,0.9692260287702084,1612.28709761,1857.39
-0.0072383843,165,339968,0.059326172,166,0.0056198677,2151.989356279373,3.8412366,339968,2.4513009,0.9651256278157234,1623.7928691000002,1866.39
-0.007592053,176,342016,0.059423827,167,0.0075124158,2164.3435769081116,3.8201556,342016,2.75438,0.9599705301225185,1641.43171871,1884.15
-0.005129939,177,344064,0.048193358,168,0.005988496,2175.972200870514,3.806044,344064,2.4277244,0.9626394733786583,1641.09957027,1884.16
-0.009892811,186,346112,0.06611328,169,0.006220085,2187.495659351349,3.775268,346112,2.3880992,0.9646105840802193,1641.09465035,1884.16
-0.0052799694,186,348160,0.053759765,170,0.009055541,2198.464564561844,3.763337,348160,2.4498017,0.9664943069219589,1656.0460448800002,1897.61
-0.006290498,175,350208,0.09770508,171,0.008237826,2209.4208936691284,3.7641666,350208,6.279399,0.8443031907081604,1662.6553652000002,1904.64
-0.0022177184,201,352256,0.03691406,172,0.0036010263,2221.1175997257233,3.7637582,352256,1.9489021,0.9700113404542208,1662.12348043,1904.63
-0.00289322,165,354304,0.050341796,173,0.0045581334,2231.284712076187,3.7532792,354304,6.067384,0.8435366302728653,1662.2869843400001,1904.64
-0.0017246812,207,356352,0.065136716,174,0.0057042716,2243.6664769649506,3.7567546,356352,4.8244953,0.8319253176450729,1667.77406051,1912.63
-0.0045643453,203,358400,0.09506836,175,0.0075760125,2253.5337097644806,3.767313,358400,4.5215683,0.8590113520622253,1674.2941581700004,1925.12
-0.0043662325,176,360448,0.07211914,176,0.0060870275,2263.579018831253,3.7736802,360448,4.0947013,0.887676551938057,1668.28723044,1925.12
-0.002265572,210,362496,0.057177734,177,0.005548314,2275.1531369686127,3.778307,362496,1.5907371,0.9748265221714973,1664.2484902100002,1925.12
-0.0055539617,177,364544,0.066552736,178,0.0062885,2284.870992422104,3.7702076,364544,2.4145362,0.9624161720275879,1664.31257224,1925.12
-0.0038805034,180,366592,0.09975586,179,0.008415567,2296.3987832069397,3.7676787,366592,4.508429,0.846376821398735,1673.41561912,1931.29
-0.008919312,170,368640,0.06665039,180,0.005848354,2307.7699370384216,3.7726657,368640,1.9232929,0.9760165903717279,1682.05692576,1945.6
-0.008278922,170,370688,0.064257815,181,0.0060193026,2319.7583961486816,3.7794628,370688,2.4011543,0.9612224064767361,1682.97452537,1945.6
-0.002623636,166,372736,0.06254883,182,0.005233314,2331.7846965789795,3.7779942,372736,2.4582098,0.9661585278809071,1682.9302616900002,1945.6
-0.0051423437,175,374784,0.05986328,183,0.007610649,2344.1188566684723,3.7744179,374784,2.4344575,0.9655472375452518,1682.5579394200001,1945.6
-0.005486951,180,376832,0.052734375,184,0.0076970877,2355.8051319122314,3.766128,376832,2.4182131,0.9639886170625687,1684.9935702700002,1945.6
-0.0034898822,166,378880,0.058642577,185,0.005659965,2367.1712284088135,3.746392,378880,2.5033543,0.96318069845438,1698.0496562100002,1958.24
-0.0049157585,175,380928,0.0546875,186,0.0052888263,2379.501265525818,3.7175536,380928,2.4200947,0.9628144539892673,1707.9968456600004,1966.08
-0.005809321,164,382976,0.05214844,187,0.004578609,2391.170524120331,3.7218285,382976,2.408753,0.9675292707979679,1708.2825468300005,1966.08
-0.004868603,166,385024,0.043798827,188,0.0044328403,2403.5897307395935,3.7372143,385024,2.4690504,0.9648040421307087,1709.0064823800005,1966.08
-0.006051448,171,387072,0.05996094,189,0.008263113,2415.9248702526093,3.7329135,387072,2.411786,0.9631729610264301,1709.1132733999998,1966.08
-0.009165012,176,389120,0.061914064,190,0.0065006674,2427.836894273758,3.731004,389120,2.4570808,0.9620333351194859,1726.6697577799998,1983.49
-0.0030229501,177,391168,0.08154297,191,0.0070202895,2439.411260843277,3.7290168,391168,2.4187346,0.9615292921662331,1730.7174765300003,1986.56
-0.0077655865,165,393216,0.05756836,192,0.0057896203,2450.963170528412,3.7262688,393216,2.4802566,0.9674039520323277,1732.0886913800005,1986.56
-0.0043651545,175,395264,0.04482422,193,0.00426244,2463.331870317459,3.7374196,395264,2.388341,0.967857364565134,1731.6877597400003,1986.56
-0.007988968,177,397312,0.08881836,194,0.009708066,2475.0336952209473,3.7237926,397312,2.4328883,0.9603523649275303,1731.4286738,1986.56
-0.0064578303,165,399360,0.04711914,195,0.004971097,2486.5575058460236,3.7159069,399360,2.9177349,0.9680576361715794,1733.09390817,1986.56
-0.007437793,166,401408,0.060791016,196,0.005677783,2498.929213285446,3.7185295,401408,2.4028244,0.9598697163164616,1738.0579530899997,1986.56
-0.010963643,187,403456,0.07773437,197,0.013843303,2511.2482459545135,3.7051594,403456,2.7069151,0.9638087451457977,1738.1733300399999,1986.56
-0.0068701305,175,405504,0.067919925,198,0.005946472,2522.173587322235,3.691426,405504,2.4256492,0.966109462082386,1755.40591402,2004.14
