total_timesteps,serial_timesteps,fps,approxkl,n_updates,ep_reward_mean,time_elapsed,explained_variance,policy_entropy,clipfrac,ep_len_mean,value_loss,policy_loss
231424,231424,549,0.0024229577,113,1086.55470156,424.45084595680237,-0.00041806697845458984,2.4252625,0.019238282,1122.91,16.554167,-0.00057748717
233472,233472,559,0.0030339865,114,1099.5768687999998,428.1800434589386,0.01050800085067749,2.4278312,0.034179688,1136.08,16.051592,-0.0003635878
235520,235520,541,0.0018089537,115,1115.0741017399998,431.84107398986816,0.007894337177276611,2.4373353,0.01171875,1151.83,16.232327,-0.0005311218
237568,237568,532,0.002992031,116,1122.37932527,435.6230125427246,0.34215331077575684,2.4355652,0.0296875,1159.53,13.039307,0.0005413702
239616,239616,543,0.0011057408,117,1136.22725751,439.46909952163696,-0.00145721435546875,2.4362245,0.003125,1173.5,16.239506,-0.00023357761
241664,241664,527,0.002137697,118,1148.5601148599999,443.2412669658661,0.003047466278076172,2.4295397,0.018798828,1185.93,16.058987,0.00026013027
243712,243712,534,0.00063510594,119,1158.70575243,447.1253809928894,0.02656257152557373,2.4290009,0.0012695312,1196.29,15.857814,-0.000117058145
245760,245760,546,0.0023515176,120,1174.9719657800001,450.95434308052063,-0.006482124328613281,2.4275422,0.022607422,1212.91,16.03571,-0.0022964082
247808,247808,569,0.0045938776,121,1189.5003631900001,454.7048041820526,0.04778873920440674,2.4311976,0.051953126,1227.83,15.449617,-0.0009714756
249856,249856,528,0.0028213675,122,1205.76319935,458.3017671108246,-0.0019500255584716797,2.4375272,0.02758789,1244.45,16.101656,-0.0011807086
251904,251904,552,0.0065758848,123,1220.15116391,462.1809391975403,0.23547500371932983,2.438647,0.0809082,1259.31,13.843664,-0.003205927
253952,253952,549,0.0049912115,124,1234.2870955399999,465.8875720500946,0.0057790279388427734,2.437082,0.059912108,1273.68,16.27744,-0.0025791144
256000,256000,532,0.0017043924,125,1249.91580835,469.6185748577118,0.0010411739349365234,2.441504,0.0140625,1289.37,16.573153,-0.000264009
258048,258048,534,0.0014064767,126,1264.68333825,473.4673013687134,0.0066100358963012695,2.4435415,0.006201172,1304.35,16.321795,-0.0004047731
260096,260096,556,0.0029839906,127,1276.28494409,477.3014585971832,0.011722445487976074,2.4483747,0.033154298,1316.37,15.897349,-0.0016658353
262144,262144,572,0.0031068972,128,1278.7330195800002,480.9814283847809,0.16281509399414062,2.4471078,0.030273438,1318.93,15.095255,-0.0024389117
264192,264192,553,0.0019868943,129,1287.5795617800002,484.55888509750366,0.129378080368042,2.4455335,0.016796876,1328.08,15.446681,-2.9355788e-05
266240,266240,551,0.0018996246,130,1302.1008923000002,488.25940585136414,-0.0018947124481201172,2.4511056,0.014257813,1342.7,16.827208,-0.00025527188
268288,268288,550,0.004439186,131,1316.7458958900002,491.97127962112427,-0.004111766815185547,2.4506338,0.052001953,1357.4,16.491297,-0.00044530554
270336,270336,555,0.004997565,132,1332.01288363,495.6946303844452,-0.0033257007598876953,2.4482462,0.06391601,1373.01,16.31403,-0.0024740486
272384,272384,520,0.002884354,133,1348.1080114200001,499.3835940361023,0.0319594144821167,2.4543288,0.030078124,1389.82,16.033894,-0.00038052534
