policy_entropy,approxkl,ep_len_mean,ep_reward_mean,total_timesteps,n_updates,explained_variance,clipfrac,value_loss,policy_loss,serial_timesteps,time_elapsed,fps
1.7241341,0.004561649,1389.77,957.3475167599998,604160,295,0.7530381232500076,0.055615235,8.930651,-0.00065318035,604160,1211.2857682704926,499
1.7394091,0.0067241387,1406.08,969.3723553399999,606208,296,0.5920601189136505,0.08388672,10.468933,-0.0035673224,606208,1215.3876769542694,517
1.7482021,0.0044341288,1421.31,980.1068675000001,608256,297,0.6932234466075897,0.047851562,11.801581,-0.00060910324,608256,1219.34570145607,525
1.746294,0.0068083815,1421.31,986.0161578399999,610304,298,0.5863423049449921,0.08227539,9.23243,-0.0015373457,610304,1223.2420575618744,517
1.7428509,0.0066568977,1427.37,990.2154292,612352,299,0.6089237630367279,0.07949219,9.190532,-0.0047779214,612352,1227.197081565857,528
1.7370056,0.004551812,1442.47,1000.7779908699999,614400,300,0.5853891372680664,0.051220704,10.768178,-0.0011810737,614400,1231.0697305202484,553
1.723974,0.0057299216,1437.93,1001.16119782,616448,301,0.8255716115236282,0.061669923,13.806971,-0.0036791228,616448,1234.7743916511536,521
1.7160349,0.005418596,1440.76,1003.9641490099998,618496,302,0.6720292866230011,0.067919925,9.0809145,-0.003196393,618496,1238.7027835845947,511
1.7128931,0.0054064174,1454.78,1014.16510883,620544,303,0.6872909963130951,0.061621092,10.29564,-0.0032705069,620544,1242.708621263504,522
1.712896,0.005762059,1460.6,1018.55017036,622592,304,0.658208042383194,0.06665039,9.549376,-0.001748583,622592,1246.625557899475,538
1.7033917,0.003637101,1476.28,1029.86638283,624640,305,0.6282512545585632,0.03515625,12.836705,-0.0028768913,624640,1250.4311165809631,544
1.7142128,0.006637022,1475.13,1031.99535541,626688,306,0.7544385194778442,0.07783203,16.076483,-0.006996355,626688,1254.1937222480774,529
1.7247095,0.0033076766,1475.13,1032.8089891,628736,307,0.6154941022396088,0.032666016,9.799127,-0.0009622184,628736,1258.059537410736,553
1.7031534,0.0060709114,1491.88,1044.9135202999998,630784,308,0.563775360584259,0.07421875,11.23628,-0.0048944177,630784,1261.7615706920624,529
1.6884073,0.0051836977,1491.88,1047.7351035299998,632832,309,0.7092200815677643,0.0574707,8.957593,-0.00421236,632832,1265.6301100254059,532
1.6987827,0.00953544,1491.88,1047.72719891,634880,310,0.3692190647125244,0.10678711,12.220129,-0.0056195804,634880,1269.474348783493,508
1.7108778,0.004171691,1505.16,1057.17511234,636928,311,0.5627326965332031,0.049609374,9.236902,-0.001160183,636928,1273.5043921470642,517
