serial_timesteps,ep_reward_mean,approxkl,clipfrac,time_elapsed,policy_entropy,fps,value_loss,ep_len_mean,policy_loss,explained_variance,n_updates,total_timesteps
247808,598.56416739,0.003351245,0.036474608,402.48361015319824,1.5463684,615,6.076505,1540.08,-0.003594045,0.7460747361183167,121,247808
249856,602.53290438,0.0052767536,0.06386719,405.8101725578308,1.5622149,622,4.7881565,1543.25,-0.0006339915,0.720519632101059,122,249856
251904,613.23821217,0.005507419,0.06865235,409.10025429725647,1.5747962,601,7.3286834,1558.39,-0.000997565,0.5844623148441315,123,251904
253952,611.9821858700001,0.0030169303,0.03227539,412.5077750682831,1.5739266,626,5.7005434,1536.15,-0.001884637,0.7188957333564758,124,253952
256000,613.6315514099999,0.005180658,0.055859376,415.7753429412842,1.5669163,623,9.056108,1520.22,-0.006641398,0.4986702799797058,125,256000
258048,606.42366116,0.0048318137,0.058740236,419.06221175193787,1.5801985,626,6.742434,1482.19,-0.0037798465,0.7303815484046936,126,258048
260096,595.44071698,0.0036298917,0.042871095,422.33306646347046,1.593831,621,10.461998,1438.41,-0.006170268,0.5712187886238098,127,260096
262144,599.28364823,0.0049897516,0.060595702,425.6279499530792,1.5988424,626,5.947065,1438.41,-0.0036892234,0.5080457925796509,128,262144
264192,603.27077177,0.006157645,0.07670899,428.89622950553894,1.6120011,637,5.9108896,1438.41,-0.0030274955,0.4564223289489746,129,264192
266240,600.5806337999999,0.003840685,0.0453125,432.11024141311646,1.6299311,629,3.1675634,1425.81,-0.0038582725,0.84415003657341,130,266240
268288,596.31076263,0.0032005305,0.03652344,435.36326456069946,1.6297693,622,11.753568,1397.15,-0.004289449,0.5630122721195221,131,268288
270336,592.8496606499999,0.00590318,0.07128906,438.6516079902649,1.6339182,618,5.1638975,1383.88,-0.00273395,0.6146819889545441,132,270336
272384,589.3230145599999,0.004567785,0.055078126,441.96613097190857,1.6410805,626,11.40903,1355.58,-0.0023156314,0.5277777016162872,133,272384
274432,591.2864255799999,0.006653915,0.08637695,445.2383863925934,1.6521139,636,4.2892656,1351.33,-0.0024739401,0.7545075416564941,134,274432
276480,586.60024766,0.0018466363,0.017431641,448.45791697502136,1.6599052,624,7.283126,1329.41,-0.001688794,0.6953446865081787,135,276480
278528,583.80091463,0.0024693445,0.02319336,451.7383427619934,1.6626498,635,8.621242,1310.79,-0.0013568185,0.6140789985656738,136,278528
280576,587.62405407,0.0036651962,0.038623046,454.9627299308777,1.6674255,623,5.4927673,1310.79,-0.00086958485,0.6303143203258514,137,280576
282624,584.6070282100001,0.0034494102,0.03803711,458.2458510398865,1.6761221,612,7.674703,1291.98,-0.0013540345,0.6696111559867859,138,282624
284672,570.6150889300001,0.0030802917,0.031591795,461.5901155471802,1.6873547,627,8.867188,1249.4,-0.003422362,0.7361059188842773,139,284672
