approxkl,time_elapsed,clipfrac,policy_entropy,total_timesteps,serial_timesteps,fps,ep_reward_mean,value_loss,policy_loss,n_updates,ep_len_mean,explained_variance
0.0013604538,1202.935226202011,0.013232422,4.6829495,575488,575488,476,883.0015505599999,17.43072,-0.002783627,281,1353.9,0.8929888680577278
0.00094471563,1207.2323153018951,0.0056640627,4.6798544,577536,577536,481,890.8500336000001,8.886473,-0.0023954425,282,1364.34,0.908384770154953
0.0033955756,1211.4839656352997,0.040527344,4.685393,579584,579584,463,897.73385249,11.066636,-0.003847753,283,1373.39,0.9043809399008751
0.0029292882,1215.899714231491,0.031103516,4.6957254,581632,581632,462,903.6591884299997,3.4726093,-0.0025391798,284,1380.86,0.9263029918074608
0.0042860243,1220.3262014389038,0.049365234,4.7043858,583680,583680,463,922.6600794999998,28.037685,-0.007131146,285,1407.98,0.8317357748746872
0.0016687848,1224.7455372810364,0.018701172,4.705561,585728,585728,490,919.83982262,16.737038,-0.0035181441,286,1407.98,0.7074064910411835
0.0029475156,1228.92014670372,0.03125,4.7050056,587776,587776,484,909.14483899,6.528655,-0.00416098,287,1393.92,0.9383800104260445
0.0025565762,1233.1519083976746,0.026660156,4.6976786,589824,589824,470,910.3228709,5.900162,-0.001965684,288,1391.69,0.9396918341517448
0.0049611265,1237.5067718029022,0.050048828,4.6971254,591872,591872,452,900.7707791500001,29.43024,-0.009284435,289,1376.91,0.8457153737545013
0.0025284644,1242.0331363677979,0.027490234,4.703672,593920,593920,454,892.72807502,4.659479,-0.0045091854,290,1364.56,0.9395674765110016
0.0030359887,1246.5426666736603,0.027929688,4.7107553,595968,595968,471,842.7267905900001,22.81823,-0.0061595477,291,1297.12,0.8217004090547562
0.0028077378,1250.885766506195,0.029394532,4.712601,598016,598016,471,821.821473,17.002657,-0.0028471309,292,1270.75,0.8856130987405777
0.0020037782,1255.228632926941,0.019677734,4.7144547,600064,600064,462,822.8784344700001,15.158844,-0.0027710136,293,1270.39,0.8903015851974487
0.0028084444,1259.6603121757507,0.029492188,4.718873,602112,602112,459,789.8407047800001,12.686641,-0.005282149,294,1224.0,0.9004054442048073
0.0032146978,1264.1154584884644,0.0362793,4.7258506,604160,604160,461,775.3751606,9.05767,-0.0064399755,295,1201.47,0.932567335665226
0.0028662847,1268.5555765628815,0.024951171,4.7255573,606208,606208,454,763.5121945399999,7.4084044,-0.0068309954,296,1184.79,0.9444475211203098
0.0041715023,1273.0579886436462,0.043847658,4.7269487,608256,608256,497,771.0521216699999,5.761385,-0.002706782,297,1195.13,0.9279797300696373
0.0016499438,1277.1743078231812,0.015429688,4.727397,610304,610304,462,767.0899042899998,22.646397,-0.002511723,298,1190.84,0.7989498227834702
0.003377311,1281.6017332077026,0.0340332,4.7195454,612352,612352,478,773.4583700999999,6.386842,-0.0031318846,299,1199.36,0.9022751748561859
0.003525973,1285.8791897296906,0.03413086,4.7124724,614400,614400,479,733.2631273999999,28.19772,-0.00605964,300,1138.44,0.614242434501648
0.001234019,1290.1560955047607,0.011035156,4.7251043,616448,616448,468,732.72095627,13.5814,-0.0008838549,301,1138.44,0.7595829367637634
0.003955151,1294.5305771827698,0.04501953,4.7193155,618496,618496,467,716.4626493400001,13.258326,-0.007718891,302,1117.37,0.9157219231128693
0.0041934624,1298.9100415706635,0.047607422,4.707738,620544,620544,469,720.5283705900001,5.686739,-0.004758111,303,1122.1,0.9545309096574783
0.0058826427,1303.2764520645142,0.059423827,4.71406,622592,622592,452,727.4886727700001,5.3206344,-0.009303586,304,1130.6,0.969002628698945
0.0022628445,1307.8030099868774,0.023583984,4.7243304,624640,624640,452,732.02102566,12.749052,-0.0028636395,305,1130.6,0.8354824334383011
0.0023769492,1312.3262734413147,0.024414062,4.7289476,626688,626688,489,677.7040403500001,32.73199,-0.0039853323,306,1056.78,0.6154897212982178
0.0023519134,1316.5069072246552,0.022314453,4.7373796,628736,628736,474,655.5366242599999,24.132448,-0.004198138,307,1028.41,0.7451590895652771
0.0039747725,1320.8276188373566,0.045654297,4.7446213,630784,630784,465,660.1462397,11.4103775,-0.0033927548,308,1036.72,0.7769223302602768
0.0015768921,1325.2248301506042,0.015234375,4.739829,632832,632832,458,592.9975635300001,26.25451,-0.004038146,309,943.6,0.5807760655879974
0.0019622077,1329.6896238327026,0.01826172,4.7321873,634880,634880,461,570.49836972,12.63773,-0.0040139784,310,913.31,0.9211254939436913
0.0023216114,1334.1290452480316,0.024658203,4.7216034,636928,636928,483,545.1556450200001,14.158778,-0.0043025785,311,879.65,0.9231443181633949
0.002755797,1338.3692634105682,0.031347655,4.711795,638976,638976,448,541.85426786,11.8346,-0.0018886272,312,876.48,0.8433729410171509
0.005460267,1342.933086156845,0.06914063,4.720374,641024,641024,483,540.99803446,10.966775,-0.003729665,313,878.54,0.7234484851360321
