policy_entropy,approxkl,total_timesteps,n_updates,explained_variance,clipfrac,value_loss,policy_loss,serial_timesteps,time_elapsed,fps,ep_len_mean,ep_reward_mean
5.7190886,0.0038997673,249856,122,0.03998005390167236,0.046533205,19.546932,-0.0016140917,249856,606.0330095291138,453,1806.77,1796.7267322700002
5.732002,0.0036324766,251904,123,0.7210051119327545,0.039208986,21.75877,-0.00089294405,251904,610.5451273918152,433,1786.63,1776.9012596500004
5.7457438,0.0052983435,253952,124,0.003555774688720703,0.06992187,19.892132,-0.002537697,253952,615.2738590240479,417,1786.63,1777.0468292400003
5.751222,0.0040563447,256000,125,0.02166527509689331,0.04921875,19.72008,-0.0011057443,256000,620.1811866760254,434,1806.82,1797.1250042699999
5.767751,0.0028372076,258048,126,0.8103372156620026,0.032421876,24.28931,-0.0011375494,258048,624.8946323394775,404,1766.49,1757.3562930899998
5.7765093,0.005396764,260096,127,-0.004363536834716797,0.06352539,20.052786,-0.0015406801,260096,629.9606802463531,446,1766.49,1757.42925996
5.785969,0.0030714024,262144,128,-0.014140605926513672,0.035498045,20.140493,-0.00029514136,262144,634.5523653030396,427,1786.71,1777.57891414
5.8051715,0.0012426702,264192,129,-0.001508951187133789,0.00913086,20.077097,0.00026578532,264192,639.3458383083344,442,1786.71,1777.7152996800003
5.818269,0.0018485027,266240,130,0.0026528239250183105,0.017236328,20.097244,-0.0017069199,266240,643.9756178855896,442,1786.71,1777.85219916
5.8246975,0.0038126106,268288,131,-0.0002390146255493164,0.047802735,20.230036,-0.002753893,268288,648.6041419506073,436,1786.71,1777.96533066
5.8254423,0.0023830384,270336,132,-0.007408738136291504,0.026708985,20.494099,-0.0007047127,270336,653.2999753952026,418,1786.71,1778.0377189600001
5.827611,0.0028812003,272384,133,-0.0028508901596069336,0.032958984,20.314754,-0.0012432992,272384,658.1919128894806,444,1786.71,1778.0473802200004
5.8218627,0.0027292797,274432,134,0.09241777658462524,0.024560547,19.084457,-0.0026157124,274432,662.8014183044434,442,1786.71,1778.0335292700004
5.8180437,0.0024707308,276480,135,0.02808225154876709,0.023828125,19.814854,-0.00052155665,276480,667.4329922199249,436,1786.71,1777.9788502
5.830466,0.0015421235,278528,136,0.6792295277118683,0.014404297,22.519081,0.00014971376,278528,672.129355430603,389,1766.51,1757.7642812299996
5.8372006,0.0038489276,280576,137,-0.01671123504638672,0.051513672,20.29561,-0.0018089056,280576,677.3848605155945,440,1766.51,1757.68591362
5.8342505,0.0024112496,282624,138,0.006290733814239502,0.021289062,20.032948,-0.0003128766,282624,682.0329885482788,429,1766.51,1757.5519937400002
