serial_timesteps,ep_len_mean,policy_loss,policy_entropy,n_updates,ep_reward_mean,total_timesteps,approxkl,time_elapsed,value_loss,fps,explained_variance,clipfrac
342016,754.57,-0.0018122407,1.837527,167,415.14568499,342016,0.006321091,763.776437997818,9.592237,475,0.7080450057983398,0.078271486
344064,771.32,-0.0025275766,1.8450102,168,426.08761505999996,344064,0.0057569724,768.0854067802429,8.787146,477,0.7900366336107254,0.06845703
346112,788.25,-0.00012551677,1.8510367,169,437.17874693000005,346112,0.0050140372,772.3790545463562,7.971016,470,0.7641818672418594,0.05649414
348160,805.18,0.0019393796,1.8409227,170,448.84799765,348160,0.0058750105,776.734614610672,8.809537,464,0.7486091554164886,0.06669922
350208,821.81,-0.0014828591,1.829629,171,460.22673211000006,350208,0.004763698,781.1400096416473,7.671927,482,0.755322590470314,0.058300782
352256,841.45,-0.0013373077,1.8297354,172,472.67248694999995,352256,0.005386342,785.3864989280701,6.878272,475,0.7551217973232269,0.066308595
354304,858.29,-0.0029418254,1.8327053,173,484.28483984999997,354304,0.003789267,789.6963510513306,9.420346,478,0.674227237701416,0.044677734
356352,868.62,0.0015850071,1.8292888,174,491.40108854,356352,0.003947852,793.9743733406067,13.183508,455,0.6212844252586365,0.045947265
358400,884.05,-0.00049147976,1.8244622,175,501.36310733,358400,0.0028395506,798.4755916595459,14.760335,475,0.6681259870529175,0.029248048
360448,904.08,-0.002530469,1.8195076,176,514.34972706,360448,0.009462855,802.7890582084656,7.368448,460,0.7669331729412079,0.12216797
362496,919.89,-0.0009777148,1.8142242,177,524.84222425,362496,0.0051491703,807.2331323623657,10.604869,458,0.6715587973594666,0.060253907
364544,936.73,-0.0004192597,1.8104337,178,536.4841445200001,364544,0.005559859,811.6988604068756,9.804501,480,0.6815401911735535,0.06586914
366592,947.77,-0.00041879076,1.8072973,179,544.4694072699999,366592,0.0048795273,815.9616537094116,7.9839234,470,0.7254188656806946,0.05629883
368640,959.33,-0.0033282128,1.803446,180,552.60578236,368640,0.004325377,820.316383600235,14.054352,472,0.7207140028476715,0.050683595
370688,976.01,-0.0019889479,1.7878158,181,564.24201326,370688,0.009542791,824.6536252498627,8.546082,468,0.6180320978164673,0.10893555
372736,997.95,-0.0041268202,1.7834303,182,578.1605992999998,372736,0.006076644,829.0220668315887,14.591932,484,0.7596216350793839,0.07910156
374784,1014.57,-0.0016525264,1.7779917,183,589.6544310200001,374784,0.004834834,833.2475142478943,8.061044,466,0.7190868854522705,0.059423827
376832,1031.03,-0.0017014235,1.7686424,184,601.82200526,376832,0.005910273,837.6408162117004,14.624754,472,0.6734454333782196,0.06621094
378880,1045.88,-0.00061709277,1.7707466,185,612.5884645699999,378880,0.005326961,841.9787924289703,8.27182,469,0.7520209401845932,0.06523438
380928,1058.38,-0.0025214592,1.7701571,186,621.93101078,380928,0.004432599,846.3399441242218,9.999957,487,0.6334539651870728,0.049462892
382976,1072.68,-0.00038403645,1.7649946,187,632.0296834599999,382976,0.0046743997,850.5385456085205,7.906221,483,0.7371032536029816,0.057421874
385024,1070.59,-0.0014137148,1.765033,188,631.2360206899999,385024,0.005844367,854.7753465175629,8.913127,474,0.8521622866392136,0.06538086
387072,1083.54,-0.004480208,1.7645969,189,641.1161155,387072,0.008417832,859.0881407260895,8.177765,492,0.7571997046470642,0.10366211
389120,1095.73,0.0015052196,1.7644733,190,650.3080417699999,389120,0.0040524597,863.2429225444794,23.319105,476,0.6774346232414246,0.046142578
391168,1112.57,-0.0027143853,1.7646224,191,658.18772549,391168,0.006956504,867.5383908748627,5.777284,508,0.8301843851804733,0.08564453
393216,1122.38,-0.0034498833,1.7643297,192,663.17612948,393216,0.0046669827,871.5685832500458,19.572796,455,0.5295989811420441,0.053515624
395264,1133.26,-0.00016441793,1.7662544,193,667.1428447900001,395264,0.0055165673,876.0646336078644,6.02742,490,0.737795501947403,0.06918945
397312,1126.3,-0.0030328406,1.7634382,194,663.1323014700001,397312,0.004470465,880.2388257980347,15.003336,494,0.581972748041153,0.05
399360,1141.05,-0.0040271776,1.7646792,195,668.9937750799999,399360,0.004109753,884.3791522979736,9.623253,492,0.5496487021446228,0.046679687
401408,1156.69,-0.0032585114,1.7640085,196,675.94582813,401408,0.007904822,888.54234790802,8.894493,466,0.6123771965503693,0.0746582
403456,1153.51,-0.0011930688,1.7636551,197,672.89526554,403456,0.004608766,892.9301772117615,13.400986,456,0.7541405707597733,0.052490234
405504,1166.73,-0.00021666929,1.7637907,198,681.8432381599999,405504,0.0035969778,897.420512676239,17.339413,476,0.7366302609443665,0.038476564
407552,1179.17,-0.0045120404,1.7675749,199,691.44016561,407552,0.0042800293,901.7218534946442,10.15706,484,0.7181387841701508,0.05102539
409600,1194.85,-0.0037419852,1.7690818,200,702.53427301,409600,0.004027023,905.9492928981781,9.749846,464,0.7512568980455399,0.042333983
411648,1195.1,-0.0026695323,1.7763996,201,702.34269008,411648,0.006495769,910.3617188930511,8.087021,498,0.6471791863441467,0.07329102
413696,1211.11,-0.0017469919,1.7883087,202,709.61202932,413696,0.0060836105,914.474755525589,4.614457,483,0.9162829369306564,0.07578125
415744,1222.38,-0.0053662704,1.7886047,203,717.5967039299999,415744,0.004402357,918.7098784446716,21.52173,488,0.6199216246604919,0.04711914
