fps,explained_variance,total_timesteps,serial_timesteps,policy_loss,clipfrac,n_updates,time_elapsed,value_loss,approxkl,policy_entropy,ep_len_mean,ep_reward_mean
428,0.8878507167100906,337920,337920,-0.0014895538,0.03955078,165,804.9998443126678,20.070377,0.0033603949,5.181063,1514.1,1191.8893597299998
422,0.8516732454299927,339968,339968,-0.0011726944,0.02631836,166,809.7840356826782,20.58949,0.003125482,5.1790266,1532.19,1208.70676752
452,0.8506459891796112,342016,342016,-0.004468142,0.04169922,167,814.6361491680145,21.426966,0.0040279957,5.1669035,1550.0,1225.57566357
421,0.8770750090479851,344064,344064,-0.005322685,0.10078125,168,819.1635398864746,20.396778,0.007597352,5.171207,1550.0,1230.67289609
450,0.8373904526233673,346112,346112,-0.0012086185,0.032714844,169,824.0182082653046,20.269567,0.0032699977,5.183495,1550.0,1231.7142113500001
475,0.8084274977445602,348160,348160,-0.0009340743,0.03720703,170,828.5646517276764,20.02753,0.0036204394,5.1665673,1550.0,1232.1812574300002
466,0.8619282394647598,350208,350208,-0.003622864,0.0647461,171,832.8757247924805,20.395395,0.004951729,5.1661663,1550.0,1233.16893794
452,0.8535559475421906,352256,352256,-0.00226201,0.05234375,172,837.2624938488007,22.58051,0.0043145446,5.1664205,1550.0,1233.83437921
467,0.8772250264883041,354304,354304,-0.0035792545,0.087841794,173,841.7903127670288,20.13647,0.006894498,5.1636524,1550.0,1232.89415059
464,0.8777200356125832,356352,356352,-0.0024101294,0.023242187,174,846.1747949123383,26.486652,0.0024179989,5.1710877,1531.98,1215.84274431
452,0.7940564900636673,358400,358400,3.6568952e-05,0.030810546,175,850.5832588672638,20.62563,0.0029483961,5.1705875,1549.95,1233.52397998
471,0.8626822680234909,360448,360448,-0.0027870804,0.048339844,176,855.1162147521973,20.625164,0.004289451,5.1588035,1549.95,1234.5287432200003
480,0.8792903646826744,362496,362496,-0.005060836,0.07490234,177,859.463415145874,27.152674,0.0057213814,5.154928,1558.03,1243.9705702800002
462,0.8919656202197075,364544,364544,-0.004282702,0.07070313,178,863.7296068668365,20.003693,0.005348829,5.160822,1558.03,1245.48500394
469,0.8358255326747894,366592,366592,-0.0040823086,0.068798825,179,868.1627526283264,20.003973,0.005672613,5.1686845,1558.03,1245.6886292800002
474,0.8748472779989243,368640,368640,-0.005730086,0.04736328,180,872.5231156349182,27.163177,0.0041531944,5.181061,1548.66,1238.99258348
484,0.9503400586545467,370688,370688,-0.0030363114,0.02446289,181,876.8369591236115,8.454376,0.002366461,5.1811333,1530.94,1222.99734735
433,0.8879123851656914,372736,372736,-0.0047049103,0.0440918,182,881.0684654712677,25.287292,0.004308012,5.1881666,1523.93,1221.9401465199999
495,0.7839072942733765,374784,374784,-0.0037945416,0.045898438,183,885.7883970737457,21.610569,0.0039659394,5.196267,1538.89,1237.81422294
489,0.9237320497632027,376832,376832,-0.0043785926,0.03666992,184,889.9232602119446,11.751085,0.003319734,5.205144,1538.89,1237.39455812
472,0.8337664008140564,378880,378880,-0.003724752,0.08696289,185,894.1103136539459,19.906935,0.0067161196,5.213572,1538.89,1238.97454475
475,0.789219319820404,380928,380928,-0.002819221,0.06538086,186,898.4434382915497,20.6529,0.005068543,5.2090554,1550.72,1251.98135385
513,0.8835393339395523,382976,382976,-0.00466566,0.039990235,187,902.752596616745,28.058651,0.0035026923,5.205091,1548.86,1255.3785294200002
487,0.8671381622552872,385024,385024,-0.0019516938,0.023730468,188,906.7428331375122,20.973074,0.0025564004,5.2034764,1567.14,1271.45767171
498,0.8819332346320152,387072,387072,-0.0010793858,0.017675782,189,910.9456233978271,26.696426,0.0021258974,5.2021437,1567.33,1270.0716352800002
496,0.8867388218641281,389120,389120,-0.0041610347,0.050488282,190,915.0537626743317,25.896387,0.0042279772,5.1990614,1585.23,1286.9139328800002
488,0.8601516783237457,391168,391168,-0.004251059,0.037353516,191,919.1787202358246,29.745289,0.003968301,5.202499,1567.84,1275.88716157
