policy_entropy,n_updates,approxkl,value_loss,clipfrac,total_timesteps,serial_timesteps,explained_variance,ep_reward_mean,fps,time_elapsed,ep_len_mean,policy_loss
2.1904387,206,0.0030284093,13.901858,0.034423828,421888,421888,0.7192764282226562,275.15352285999995,288,1513.6106417179108,542.64,-0.0027883325
2.201592,207,0.0027421752,12.999329,0.031445313,423936,423936,0.8096190690994263,273.31951995000003,286,1520.7203130722046,538.97,-0.0028743374
2.2085562,208,0.0021632465,11.058178,0.019433593,425984,425984,0.882520280778408,271.4059076,277,1527.8730645179749,534.79,-0.0010282595
2.21097,209,0.002687154,9.704946,0.02841797,428032,428032,0.7999046891927719,270.0491488699999,279,1535.2484035491943,532.57,-0.002339838
2.2080655,210,0.0035899417,10.384279,0.032177735,430080,430080,0.7199064493179321,279.66032033999994,287,1542.5695254802704,550.45,-0.0023389524
2.201391,211,0.0010911386,11.783849,0.0060058595,432128,432128,0.8446353822946548,278.06623328000006,278,1549.6836519241333,547.23,-0.0006316978
2.2074351,212,0.0025214602,8.943735,0.026464844,434176,434176,0.8703401386737823,286.30895921,271,1557.0504624843597,561.29,-0.0039158757
2.2153826,213,0.0021662947,6.1255903,0.019384766,436224,436224,0.9067463129758835,287.78099461,281,1564.6053903102875,564.15,-0.0011122383
2.2125301,214,0.0040490637,10.5192175,0.04345703,438272,438272,0.8268597722053528,286.60965016,280,1571.8885638713837,561.17,-0.002217679
2.2095094,215,0.0057934998,9.716041,0.051611327,440320,440320,0.7875096201896667,302.91785053,280,1579.1996896266937,589.4,-0.0033956785
2.2064152,216,0.0039886152,5.237984,0.04633789,442368,442368,0.8700512796640396,302.08271463,283,1586.4954583644867,587.48,-0.0022555771
2.2104182,217,0.004440193,10.791307,0.04941406,444416,444416,0.6965120732784271,310.22820441,279,1593.7220478057861,603.89,-0.0030060704
2.2061555,218,0.0024296097,5.256787,0.026660156,446464,446464,0.9242622554302216,318.67934024000004,285,1601.063176870346,617.38,-0.0031852536
2.1999505,219,0.0022144506,9.568701,0.023632813,448512,448512,0.5533242225646973,327.41365992,297,1608.2369737625122,632.89,-0.0034953759
2.1964443,220,0.003650866,7.714461,0.039160155,450560,450560,0.8966080695390701,320.58186401,286,1615.1119520664215,619.24,-0.0073430697
2.211307,221,0.0029534549,5.97272,0.030859375,452608,452608,0.9033482894301414,326.930196,289,1622.256089925766,629.87,-0.0021533002
2.217082,222,0.0038476363,12.44984,0.04086914,454656,454656,0.8393256068229675,323.54879715999994,298,1629.323518037796,623.43,-0.0048998287
2.2088013,223,0.004375978,9.997009,0.04375,456704,456704,0.8460634648799896,325.79192801,301,1636.1742889881134,626.33,-0.005218168
2.199647,224,0.0032651965,5.181712,0.034228515,458752,458752,0.9352505654096603,319.78073489999997,289,1642.9702603816986,616.39,-0.00217893
2.1985285,225,0.0029401798,10.588784,0.03022461,460800,460800,0.8699562251567841,310.49286373999996,291,1650.0517694950104,597.5,-0.0008075934
2.2032433,226,0.0031865637,6.028333,0.034472656,462848,462848,0.9049993231892586,313.87773162,291,1657.0752139091492,603.58,-0.0021725916
2.2068355,227,0.0017436512,9.259929,0.015234375,464896,464896,0.8641620874404907,322.64608248,288,1664.1081748008728,619.53,-0.0012877112
2.2074952,228,0.001947027,14.462578,0.019677734,466944,466944,0.7588708847761154,330.41575191000004,283,1671.2171618938446,633.15,0.0001515424
2.2101042,229,0.0031575304,14.215532,0.031689454,468992,468992,0.785112276673317,334.12128097999994,297,1678.4508936405182,639.33,-0.0030864319
2.2102184,230,0.0020579486,11.283197,0.017626952,471040,471040,0.8270136713981628,341.5059926900001,289,1685.3456406593323,651.92,-0.0014928964
2.2000823,231,0.004565128,8.623909,0.047265626,473088,473088,0.8312665522098541,346.8911475,282,1692.4237916469574,660.98,-0.0033488707
2.1879697,232,0.0052114734,12.219683,0.062841795,475136,475136,0.7528509795665741,355.00383716000005,300,1699.6696939468384,675.65,-2.6509806e-06
2.1838372,233,0.004730615,7.0200715,0.057617188,477184,477184,0.8109885305166245,359.10859617,298,1706.4779789447784,682.72,-0.003223375
2.181133,234,0.0024982255,14.746582,0.022949219,479232,479232,0.7169731557369232,367.2542959,301,1713.337671995163,697.99,-0.0010547426
2.1718824,235,0.0052853674,9.82563,0.062402345,481280,481280,0.6403486430644989,376.38990458,296,1720.1254925727844,714.74,-0.0044645737
2.1682408,236,0.0022789245,14.155144,0.020117188,483328,483328,0.811644434928894,379.88606459000005,291,1727.035977602005,719.72,-0.0026816926
2.1646476,237,0.0049259816,11.433078,0.04975586,485376,485376,0.8085465878248215,384.7839656800001,291,1734.0681700706482,726.65,-0.0035130582
2.163386,238,0.0053590224,10.919235,0.05913086,487424,487424,0.8467637449502945,383.44255224000005,288,1741.1018986701965,724.18,-0.005411532
2.1627347,239,0.0029195736,10.768839,0.031982422,489472,489472,0.7275624573230743,388.48262647,291,1748.1941452026367,734.37,-0.0017896512
2.148164,240,0.004399718,8.676419,0.04472656,491520,491520,0.8385056555271149,390.79407422,291,1755.2283017635345,738.39,-0.0027213593
2.139811,241,0.0029897266,17.510147,0.029101562,493568,493568,0.6552631855010986,401.66126954,301,1762.2434763908386,755.54,3.5103363e-05
2.129996,242,0.009070248,8.37459,0.11376953,495616,495616,0.6521202623844147,410.42605517000004,279,1769.027000427246,771.73,-0.0056726323
2.1197343,243,0.0044232816,8.695909,0.043017577,497664,497664,0.8333407342433929,416.67673928999994,295,1776.3461327552795,781.45,-0.0025818783
2.1164174,244,0.004758015,7.501068,0.052490234,499712,499712,0.8544260859489441,417.48661219,292,1783.2889058589935,782.46,-0.0023788572
2.120998,245,0.002244478,10.536497,0.022021484,501760,501760,0.7737535387277603,427.11247069999996,293,1790.280711889267,797.76,-0.0019333989
2.117599,246,0.0033003618,5.3988523,0.034521483,503808,503808,0.872581958770752,432.93136342,291,1797.2571403980255,806.68,-0.0021882248
2.118269,247,0.0039106254,9.286867,0.046582032,505856,505856,0.7250233292579651,442.7566672300001,288,1804.273851633072,824.49,-0.0034162826
2.1129887,248,0.0069616744,10.513567,0.07993164,507904,507904,0.8050650805234909,454.2176958200001,290,1811.37996840477,841.92,0.00057976705
2.119974,249,0.0043666824,8.933924,0.054394532,509952,509952,0.6403293013572693,462.9946364800001,277,1818.4290127754211,858.23,-0.0018576151
2.1169958,250,0.004064657,7.8217454,0.044433594,512000,512000,0.665772557258606,473.60698451,286,1825.819333076477,874.98,0.00029416924
2.1095567,251,0.0061149583,7.9031477,0.07509766,514048,514048,0.7278871536254883,483.11839884000005,287,1832.968673467636,889.52,-0.0033370468
2.111114,252,0.0032248977,8.29579,0.034423828,516096,516096,0.7278564870357513,492.5655872,278,1840.0987329483032,904.78,-0.0027389748
2.1241136,253,0.0030749205,7.0541778,0.03388672,518144,518144,0.7179097533226013,494.12629564,288,1847.449927330017,908.53,-0.0015029195
2.1342206,254,0.0024458938,6.2703943,0.023291016,520192,520192,0.8186796307563782,503.1590248299999,287,1854.5537486076355,922.48,-0.0015064003
2.131998,255,0.0040978594,9.517301,0.04790039,522240,522240,0.7111192643642426,513.9376731699999,291,1861.6773948669434,938.94,-0.00037374967
