approxkl,serial_timesteps,explained_variance,ep_len_mean,policy_loss,time_elapsed,ep_reward_mean,total_timesteps,clipfrac,n_updates,value_loss,policy_entropy,fps
0.003057756,262144,0.9775800239294767,869.86,-0.0060241274,1842.3988127708435,670.93784764,262144,0.031201173,128,4.4687624,4.0257583,153
0.004868756,264192,0.9575553424656391,876.16,-0.0074477918,1855.7514503002167,677.87845896,264192,0.048828125,129,2.716572,4.021019,178
0.004157434,266240,0.963116642087698,880.64,-0.008468184,1867.2101092338562,682.43707224,266240,0.050390624,130,2.4138215,4.002698,173
0.003811463,268288,0.914436973631382,882.61,-0.0010629988,1879.0215051174164,684.9664550499999,268288,0.034765624,131,19.674458,4.000679,119
0.004868836,270336,0.9560979939997196,880.18,-0.0057406267,1896.2183637619019,682.9369452799999,270336,0.04975586,132,6.8491225,4.0044265,156
0.0028242269,272384,0.9402366131544113,892.3,-0.00085946487,1909.331358909607,696.09066598,272384,0.023388673,133,14.17246,4.015971,103
0.0026810276,274432,0.9725865200161934,884.44,-0.005861921,1929.0689096450806,689.1386366800002,274432,0.026123047,134,5.4605036,4.0340424,149
0.002576734,276480,0.9595239162445068,897.59,-0.0026846013,1942.7995808124542,702.6729101200002,276480,0.025244141,135,2.641955,4.03737,171
0.002302068,278528,0.9738718792796135,913.6,-0.0046802545,1954.7626214027405,719.5930507400002,278528,0.022998046,136,4.994893,4.035927,147
0.0029491556,280576,0.9621571861207485,925.52,-0.0072044833,1968.6933157444,732.1243437100001,280576,0.028515626,137,3.5860264,4.0460377,187
0.005407187,282624,0.9632329270243645,943.43,-0.0061282567,1979.6247181892395,748.7395234,282624,0.060253907,138,2.5103366,4.031418,178
0.0042779343,284672,0.965247854590416,962.56,-0.0004800843,1991.118810415268,767.23184957,284672,0.04584961,139,2.6004221,4.0107307,178
0.0043556024,286720,0.9615900963544846,979.26,-0.0047103534,2002.5983936786652,784.14073239,286720,0.049804688,140,2.541471,4.00501,173
0.002493693,288768,0.8248447328805923,1000.36,-0.0037750616,2014.3835287094116,804.7714609000001,288768,0.029199218,141,28.48692,3.9959016,85
0.0024085524,290816,0.6220259070396423,1016.63,-0.0046729213,2038.3170919418335,815.75904488,290816,0.023632813,142,15.674164,4.0001125,119
0.002598863,292864,0.8100966811180115,1003.52,-0.004399325,2055.514461040497,803.78028316,292864,0.029736329,143,5.5541334,4.005838,198
0.0019144596,294912,0.8735141754150391,1024.64,-0.0039312327,2065.853446960449,818.3610937099999,294912,0.01689453,144,13.024061,4.00622,120
0.0059037763,296960,0.97872693836689,1030.43,-0.006822061,2082.9129209518433,822.5556249599998,296960,0.058544923,145,1.3566253,3.978397,175
0.002157737,299008,0.902923010289669,1055.6,-0.003010536,2094.5520853996277,846.02297263,299008,0.020507812,146,13.637337,3.9502296,113
0.0059690243,301056,0.9828341938555241,1053.05,-0.007764415,2112.5561640262604,844.52243357,301056,0.053369142,147,1.0744942,3.9159603,154
0.004927616,303104,0.9579343907535076,1070.94,-0.0048989486,2125.8442811965942,862.3306366900001,303104,0.054003906,148,2.6096926,3.882576,176
0.0040227096,305152,0.956592246890068,1088.86,-0.009035915,2137.4376809597015,880.3213593400001,305152,0.043847658,149,2.4773557,3.8506413,187
0.0026411782,307200,0.8970258980989456,1109.16,-0.0019502605,2148.3370537757874,899.6470058199999,307200,0.025390625,150,19.571817,3.8347626,105
0.0034360918,309248,0.8792010918259621,1126.83,-0.006588146,2167.667395591736,917.7781249699998,309248,0.034863282,151,19.284573,3.8409588,117
0.0042952592,311296,0.9260427057743073,1126.59,-0.005764641,2185.092418909073,918.1890019299999,311296,0.05078125,152,6.6095643,3.8383415,180
0.0051955422,313344,0.959274660795927,1141.31,-0.0071960078,2196.412650823593,934.0863280999998,313344,0.06044922,153,2.446843,3.822221,185
0.00458846,315392,0.8999207839369774,1149.98,-0.003881047,2207.4724164009094,947.3972069999999,315392,0.038378906,154,13.37319,3.8196156,140
0.0041393135,317440,0.9338398352265358,1162.89,-0.0069656977,2222.075766324997,961.2518281,317440,0.03310547,155,9.551722,3.8348649,139
0.006689314,319488,0.9568309634923935,1176.4,-0.008149607,2236.805389404297,975.14208396,319488,0.08129883,156,2.5222032,3.832251,182
0.0039379867,321536,0.9560074508190155,1196.19,-0.0061239777,2248.0486919879913,994.7199804500001,321536,0.03725586,157,11.0678215,3.8232994,132
0.0047084703,323584,0.9599470943212509,1187.84,-0.004778964,2263.4673087596893,987.1262265400001,323584,0.05649414,158,2.4818964,3.8222804,188
0.0035806894,325632,0.9234515503048897,1193.29,-0.0085221175,2274.3113770484924,993.7921699100001,325632,0.03955078,159,19.557741,3.8174222,103
0.0028371955,327680,0.9291144907474518,1176.01,-0.0030955696,2294.0117983818054,977.9128808599999,327680,0.030908203,160,20.663094,3.8284652,103
0.0043809577,329728,0.9406944438815117,1176.74,-0.008293988,2313.8704257011414,980.2222031199999,329728,0.052001953,161,12.9817,3.8473296,106
0.004399405,331776,0.9628991484642029,1178.55,-0.007718718,2333.169848203659,983.2886113199999,331776,0.046240233,162,2.4411778,3.8460479,167
0.0038147303,333824,0.9226177781820297,1159.58,-0.006647489,2345.4160125255585,967.07928905,333824,0.043408204,163,22.790316,3.8341746,90
0.0058991825,335872,0.9514286778867245,1160.1,-0.007398578,2367.924789905548,967.6785956900002,335872,0.045214843,164,3.1919637,3.837117,174
0.0032246653,337920,0.9555697068572044,1155.4,-0.006835586,2379.639368057251,964.9833066200001,337920,0.036328126,165,11.1104965,3.842064,143
0.0040033045,339968,0.9551887586712837,1117.07,-0.0036965702,2393.93936920166,930.0040820099999,339968,0.043554686,166,12.832121,3.8504837,105
0.0052408027,342016,0.9620436578989029,1105.92,-0.004871945,2413.3153846263885,919.4373866999999,342016,0.05883789,167,2.5019765,3.8376012,175
0.008016417,344064,0.96201516315341,1105.92,-0.0076907254,2424.985757112503,919.61943552,344064,0.07856445,168,2.4000802,3.8053322,174
0.0037464171,346112,0.959593653678894,1105.92,-0.0064475485,2436.696114063263,919.6452480199998,346112,0.039453126,169,2.9336905,3.7880292,177
0.0024553745,348160,0.9659276008605957,1105.92,-0.0060650213,2448.238278388977,919.9219120799999,348160,0.025146484,170,2.602248,3.795877,175
0.0034274117,350208,0.9626375883817673,1105.92,-0.0031489138,2459.9182784557343,919.6735624699999,350208,0.035253905,171,2.4462464,3.7887337,178
0.0056983274,352256,0.9540764503180981,1105.92,-0.006308905,2471.399043560028,919.5487109100001,352256,0.06933594,172,2.7781477,3.7673645,179
0.0059122993,354304,0.964340340346098,1105.92,-0.008607484,2482.830908536911,925.0864491899999,354304,0.060839843,173,2.4700258,3.7316976,183
