policy_entropy,time_elapsed,value_loss,approxkl,clipfrac,explained_variance,serial_timesteps,policy_loss,fps,total_timesteps,n_updates,ep_reward_mean,ep_len_mean
4.8995857,1381.6222469806671,15.773031,0.002849569,0.031982422,0.8064778447151184,573440,-0.0032141183,465,573440,280,1044.8073171699998,1376.17
4.895862,1386.02681183815,4.9148817,0.0029328046,0.0328125,0.9179495796561241,575488,-0.0020375564,449,575488,281,1045.8383519499998,1377.33
4.8925934,1390.5882031917572,11.42519,0.005286871,0.046484374,0.9139906167984009,577536,-0.0035066183,367,577536,282,1041.83403628,1377.33
4.8984356,1396.1593959331512,43.579453,0.0019232312,0.020019531,0.7077687382698059,579584,-0.0043743546,519,579584,283,1008.7704454300001,1326.73
4.9003544,1400.1019043922424,11.688802,0.0043967953,0.047558594,0.9423903599381447,581632,-0.0044097365,397,581632,284,1004.10705241,1320.02
4.8916235,1405.2567465305328,20.47979,0.0040450688,0.045556642,0.8749762773513794,583680,-0.0046140905,436,583680,285,1020.9602192099999,1337.56
4.890355,1409.951901435852,19.622393,0.0058755367,0.07929687,0.8115280270576477,585728,-0.0061423304,385,585728,286,1037.62143123,1355.53
4.890979,1415.2679769992828,20.223356,0.0030531255,0.031591795,0.8303321748971939,587776,-0.0011388788,431,587776,287,1055.5090664699999,1373.67
4.8822427,1420.0166354179382,19.682377,0.0030522817,0.033691406,0.8353151828050613,589824,-0.0021193428,380,589824,288,1056.1233843199998,1373.67
4.8815913,1425.40136551857,28.269184,0.0028736906,0.032958984,0.876263216137886,591872,-0.0027452253,444,591872,289,1065.30628208,1380.4
4.8909082,1430.009535074234,12.0433655,0.002479999,0.026660156,0.9503428898751736,593920,-0.0016209576,417,593920,290,1047.64755804,1362.32
4.8980722,1434.9198837280273,25.165462,0.0066686072,0.06484375,0.8801946938037872,595968,-0.006763744,439,595968,291,1050.2385652700002,1364.88
4.9151325,1439.5810782909393,4.7754107,0.0033130788,0.037597656,0.9815707448869944,598016,-0.0073473915,470,598016,292,1045.55640505,1359.61
4.922185,1443.9378519058228,33.40026,0.0017013878,0.01430664,0.8478417545557022,600064,-0.0024678917,428,600064,293,1033.68727166,1347.44
4.9183187,1448.7194888591766,20.762775,0.0022992375,0.021533202,0.846092164516449,602112,-0.0023465462,405,602112,294,1046.31261005,1362.11
4.916177,1453.7650156021118,20.10311,0.0043407017,0.05317383,0.82317154109478,604160,-0.0023407002,390,604160,295,1062.20584659,1377.69
4.9154267,1459.0097370147705,15.680554,0.0015426714,0.014453125,0.838820293545723,606208,-0.003610177,422,606208,296,1027.97595029,1330.82
4.916095,1463.8588585853577,23.475437,0.0022035267,0.022558594,0.8668516278266907,608256,-0.0040725926,390,608256,297,1027.21090874,1334.47
4.9125857,1469.0992283821106,20.173557,0.0033463251,0.03251953,0.8485797196626663,610304,-0.00053361064,394,610304,298,1028.77455783,1334.47
4.9101934,1474.2910780906677,19.811064,0.0046794573,0.056640625,0.8448927700519562,612352,-0.0049659708,410,612352,299,1035.59066245,1340.43
4.913417,1479.2845859527588,19.780258,0.0035536538,0.043945312,0.834407389163971,614400,-0.002610955,403,614400,300,1043.7775207800003,1347.9
4.9171762,1484.3642082214355,19.527718,0.005784164,0.06875,0.8520474284887314,616448,-0.0034120448,418,616448,301,1045.0615857000003,1347.9
4.9252605,1489.2574458122253,19.823257,0.0033061397,0.035546876,0.8612308949232101,618496,-0.0023565367,453,618496,302,1045.3899849000002,1347.9
4.9305644,1493.778130531311,21.11847,0.0026643702,0.028271485,0.826778918504715,620544,-0.0025317085,473,620544,303,1040.9474683800001,1347.9
4.924165,1498.1034152507782,20.938038,0.0034290191,0.03666992,0.8544010519981384,622592,-0.002867056,454,622592,304,1055.44554919,1363.73
4.91098,1502.6093034744263,19.688631,0.0011248317,0.01118164,0.8429597467184067,624640,-0.0015417924,444,624640,305,1072.1006692600004,1380.72
4.909786,1507.2130239009857,19.972078,0.0020033442,0.019335937,0.8191767930984497,626688,-0.002747606,501,626688,306,1088.40694725,1397.98
4.9161205,1511.297578573227,20.071045,0.0027509998,0.031152343,0.830845981836319,628736,-0.0017765276,482,628736,307,1093.74016398,1397.98
4.9276547,1515.541791677475,9.08103,0.0032926705,0.038916014,0.956903949379921,630784,-0.0049041905,513,630784,308,1079.3253111600002,1383.94
4.9494443,1519.5337917804718,19.805296,0.006696053,0.0824707,0.8326006829738617,632832,-0.0053974837,444,632832,309,1095.9770567100002,1400.69
4.950181,1524.1381108760834,20.024118,0.0013920747,0.008447265,0.860604003071785,634880,-0.0016592422,473,634880,310,1112.20061645,1416.89
4.9405127,1528.4605774879456,20.261086,0.007709421,0.09863281,0.8116867989301682,636928,-0.004508002,448,636928,311,1125.8840045600002,1431.01
4.946846,1533.0293204784393,19.622498,0.0021226774,0.026123047,0.8526284694671631,638976,-0.0030054648,486,638976,312,1131.3551445800001,1431.01
4.954619,1537.2374057769775,18.47846,0.0039574644,0.041796874,0.7994059771299362,641024,-0.0015505431,457,641024,313,1146.74854315,1447.21
4.954625,1541.7140219211578,17.606522,0.0022394583,0.021484375,0.9048366397619247,643072,-0.0041298643,503,643072,314,1129.5684679899998,1429.78
4.959486,1545.7818415164948,7.930487,0.0068537206,0.08725586,0.9462971463799477,645120,-0.0051777516,474,645120,315,1130.00873215,1427.24
4.9636993,1550.0970196723938,19.874119,0.001994156,0.020996094,0.8043629080057144,647168,-0.0021732373,468,647168,316,1145.40213877,1441.83
4.96601,1554.46954703331,26.980936,0.0021511465,0.019873047,0.8733096271753311,649216,-0.0016752988,473,649216,317,1158.68383908,1453.22
4.969321,1558.7940678596497,19.703957,0.004504933,0.054736327,0.7949414104223251,651264,-0.0026792462,474,651264,318,1175.10085772,1469.82
4.981641,1563.1140809059143,20.658968,0.0037062087,0.044677734,0.8396474868059158,653312,-0.0026607295,491,653312,319,1190.20869541,1483.94
4.983172,1567.2810304164886,19.991943,0.0036018037,0.039501954,0.8155301064252853,655360,-0.00070937944,485,655360,320,1189.31672682,1483.94
4.9823647,1571.4983551502228,35.069374,0.00647785,0.06796875,0.8530474305152893,657408,-0.0073818574,516,657408,321,1178.3349722100002,1466.3
4.978766,1575.4623773097992,20.51759,0.0030571714,0.033740234,0.823117807507515,659456,-0.0018604159,467,659456,322,1192.1779452199999,1478.62
4.9799967,1579.8419761657715,20.494274,0.0026176686,0.026513672,0.8441686183214188,661504,-0.0022677449,443,661504,323,1191.8925041100001,1478.62
4.989647,1584.4558589458466,19.993198,0.00461475,0.05722656,0.8535324186086655,663552,-0.0020271374,435,663552,324,1195.50621839,1481.07
4.9901867,1589.1562387943268,20.644436,0.004300067,0.052001953,0.8622247725725174,665600,-0.004934998,490,665600,325,1193.76161066,1481.07
4.9937563,1593.3293833732605,19.912731,0.0029460427,0.032421876,0.8718707710504532,667648,-0.002048092,473,667648,326,1193.0591079099997,1481.07
4.9854107,1597.6544501781464,19.664715,0.0063450085,0.08295898,0.8381710797548294,669696,-0.003910999,436,669696,327,1193.9128717199999,1481.07
4.9711537,1602.3478202819824,21.410374,0.0028461495,0.02836914,0.8288702964782715,671744,-0.0029165663,494,671744,328,1207.32435728,1497.39
4.966721,1606.4928691387177,20.058306,0.002221441,0.021435548,0.8433694541454315,673792,-0.0015950222,501,673792,329,1210.68390797,1497.39
4.9697657,1610.575007200241,19.607224,0.0041976906,0.046826173,0.8160610646009445,675840,-0.00083631184,461,675840,330,1210.53655361,1497.39
4.967884,1615.0108091831207,22.96376,0.0023619025,0.025878906,0.8646200299263,677888,-0.003214818,527,677888,331,1166.48366515,1432.21
4.9747753,1618.8906271457672,27.614614,0.0026303097,0.024023438,0.8576754778623581,679936,-0.0015907504,472,679936,332,1165.5757101899999,1431.85
4.979602,1623.2262525558472,5.5586777,0.0029335853,0.030859375,0.9649053886532784,681984,-0.005056311,505,681984,333,1152.47447411,1419.62
4.993288,1627.2806222438812,20.398506,0.0025147246,0.028466797,0.8515484929084778,684032,-0.002588131,489,684032,334,1152.40942604,1419.62
4.991729,1631.4625413417816,28.962164,0.0027255344,0.024853516,0.8609609454870224,686080,-0.00029178552,512,686080,335,1141.7436575899999,1404.46
4.9934077,1635.4564461708069,19.92004,0.003733628,0.039892577,0.782722532749176,688128,-0.0011432731,487,688128,336,1159.4913046599997,1423.4
4.99973,1639.659597158432,19.54549,0.0024034,0.022314453,0.8464549481868744,690176,-0.00043032755,489,690176,337,1159.4795471399998,1423.4
4.9930487,1643.8418548107147,20.804752,0.0035463045,0.035449218,0.8456413298845291,692224,-0.0031823497,502,692224,338,1159.2093363,1423.4
5.004754,1647.9162871837616,21.703651,0.0033946491,0.037988283,0.8406892716884613,694272,-0.005178153,505,694272,339,1159.5456435399997,1423.4
5.0177584,1651.9689798355103,30.062216,0.0032205018,0.034423828,0.7979244887828827,696320,-0.005946371,537,696320,340,1144.3920018599997,1408.3
5.0268326,1655.7782995700836,21.07168,0.0038310238,0.043359376,0.8371371477842331,698368,-0.0040464504,497,698368,341,1154.8435793199997,1418.24
5.0499797,1659.895355939865,19.837864,0.0038916166,0.04506836,0.8463289886713028,700416,-0.0031723839,477,700416,342,1170.0649498699997,1433.47
5.070956,1664.1831851005554,21.204054,0.0025687509,0.027880859,0.8868098855018616,702464,-0.0038400888,498,702464,343,1151.4744814599999,1414.13
5.086835,1668.2882730960846,19.542715,0.0034795478,0.03691406,0.8602140545845032,704512,-0.0033061951,467,704512,344,1166.6174215099998,1428.15
5.0881944,1672.6736392974854,19.76406,0.0026338801,0.02861328,0.8471866995096207,706560,-0.0020951123,474,706560,345,1181.07322987,1443.22
5.0862894,1676.990385055542,28.59798,0.0028747485,0.027929688,0.8667561858892441,708608,-0.0020744032,493,708608,346,1178.21082925,1439.99
5.0879917,1681.138887643814,15.709981,0.0036223538,0.033496093,0.9346693009138107,710656,-0.006850051,497,710656,347,1155.0411212899999,1417.15
5.0944233,1685.2578115463257,25.829071,0.0047212066,0.06293945,0.8836020082235336,712704,-0.006196101,472,712704,348,1144.90960921,1401.94
5.1087694,1689.594358921051,16.798496,0.0037416513,0.045996092,0.838667705655098,714752,-0.004594743,501,714752,349,1154.7537902200002,1415.48
5.0997605,1693.6801710128784,7.751461,0.0020688106,0.0203125,0.9534753486514091,716800,-0.0009298112,477,716800,350,1153.5629663999998,1413.7
5.085938,1697.97030544281,26.728516,0.0026934722,0.027001953,0.8856057599186897,718848,-0.0026506935,475,718848,351,1141.87264412,1396.07
5.0855474,1702.2791628837585,27.808365,0.0024769483,0.026806641,0.8744625449180603,720896,-0.002253671,478,720896,352,1157.1824213199998,1411.09
5.0892534,1706.5591750144958,17.133968,0.002819987,0.027539063,0.8870481476187706,722944,-0.0056417054,527,722944,353,1171.70261345,1430.97
5.090153,1710.4458012580872,10.209906,0.0018271975,0.019921875,0.9416701607406139,724992,-0.0031820051,518,724992,354,1155.0908408399998,1414.35
5.0876064,1714.3978056907654,31.941227,0.0015975017,0.013867187,0.86765156686306,727040,-0.0021379408,506,727040,355,1122.4198148699998,1383.37
5.085882,1718.4388551712036,21.254803,0.002894143,0.032568358,0.7738222628831863,729088,-0.0024031226,491,729088,356,1118.25257586,1383.37
5.084485,1722.607360124588,20.046162,0.003364873,0.04140625,0.8483763337135315,731136,-0.0034917786,479,731136,357,1132.24672393,1397.85
5.0819826,1726.879909992218,10.089639,0.0022289902,0.018945312,0.932498149573803,733184,-0.002953687,505,733184,358,1131.1470920099998,1396.33
5.09829,1730.9296479225159,19.58155,0.0025265517,0.026757812,0.8620253503322601,735232,-0.002825512,436,735232,359,1145.14059418,1412.73
5.1190577,1735.6176948547363,23.96417,0.0025763893,0.028320312,0.8740184456110001,737280,-0.0042239525,470,737280,360,1171.3827942199998,1442.4
5.11847,1739.9670860767365,22.631516,0.0008606638,0.00703125,0.8336664289236069,739328,-0.0017117371,531,739328,361,1152.54482229,1422.76
5.1189203,1743.8238060474396,5.7325506,0.0031574361,0.035205077,0.9640308208763599,741376,-0.004300942,482,741376,362,1157.02303287,1428.66
5.1081047,1748.0678963661194,19.896921,0.0038378648,0.040771484,0.8465147763490677,743424,-0.002394051,480,743424,363,1156.50507937,1428.66
5.1073713,1752.3328833580017,20.33628,0.003842142,0.048046876,0.8731139302253723,745472,-0.0029102762,484,745472,364,1171.94108768,1443.97
5.1051483,1756.5632603168488,21.277319,0.0016775625,0.014013672,0.3595484495162964,747520,-0.0012189245,512,747520,365,1185.7907706300002,1458.71
5.1019187,1760.5625698566437,9.7687845,0.0020259651,0.02055664,0.9339994117617607,749568,-0.0046624606,486,749568,366,1182.8142849300002,1458.71
5.106051,1764.7714824676514,19.76817,0.005149573,0.06552734,0.814944714307785,751616,-0.0049387137,487,751616,367,1181.3918906200001,1458.71
5.1117373,1768.9737548828125,19.905241,0.0020102062,0.016503906,0.8252149224281311,753664,-0.00029886575,495,753664,368,1197.53101472,1474.65
5.1090055,1773.1087024211884,20.652365,0.0019760812,0.02236328,0.8692390024662018,755712,-0.003352549,514,755712,369,1213.07981142,1490.14
5.108483,1777.0878002643585,19.738937,0.0047845207,0.06357422,0.8364159613847733,757760,-0.0045649325,466,757760,370,1225.8246519,1505.58
5.1048484,1781.474987745285,20.156315,0.0026250493,0.025537109,0.8042240142822266,759808,-0.0008935405,448,759808,371,1228.7432186400001,1505.58
5.0975056,1786.0385608673096,20.0293,0.003559028,0.038916014,0.8700579106807709,761856,-0.0031688097,454,761856,372,1244.0793719,1519.7
5.09812,1790.5446739196777,35.177692,0.0012854247,0.013183594,0.6157527267932892,763904,-0.0026630026,525,763904,373,1212.31197469,1487.68
5.1066995,1794.441563129425,22.17535,0.0029381835,0.03173828,0.6401534676551819,765952,-0.0034987777,517,765952,374,1192.91440794,1475.24
5.1132755,1798.4026527404785,20.510983,0.0025593408,0.023779297,0.8335998207330704,768000,-0.0017478168,436,768000,375,1197.3416925600002,1475.24
5.111423,1803.0973703861237,19.760618,0.004057233,0.046044923,0.8342577517032623,770048,-0.0022053008,425,770048,376,1198.29162777,1475.24
5.1140003,1807.9111256599426,11.4660225,0.0045121564,0.048095703,0.5730798542499542,772096,-0.003243953,478,772096,377,1193.09145684,1475.24
5.119727,1812.1908814907074,19.870687,0.0013621119,0.009082031,0.8620392829179764,774144,-0.0011917602,429,774144,378,1193.40610317,1475.24
5.117561,1816.9576189517975,20.33228,0.0035851493,0.038476564,0.8638260364532471,776192,-0.0018196681,450,776192,379,1192.4708091700002,1475.24
5.1159477,1821.5019226074219,6.698973,0.0033953916,0.03339844,0.9601274356245995,778240,-0.0023727717,448,778240,380,1190.50032031,1472.7
5.1167507,1826.0676975250244,18.693808,0.002714917,0.02993164,0.8648095428943634,780288,-0.0035720381,442,780288,381,1203.2127475999998,1485.1
5.115941,1830.6991212368011,23.759552,0.0018647846,0.016796876,0.8728620409965515,782336,-0.0021800215,428,782336,382,1184.5675588699999,1465.25
5.127203,1835.4773197174072,20.069586,0.003525999,0.039111327,0.8277103006839752,784384,-0.002459679,438,784384,383,1185.0336430599998,1465.25
5.13455,1840.1487324237823,20.424837,0.0035491283,0.038867187,0.7796017378568649,786432,-0.0019492919,438,786432,384,1185.5299493300001,1465.25
5.12917,1844.824628353119,27.85264,0.0029002351,0.031298827,0.8756768852472305,788480,-0.003632977,492,788480,385,1173.2987688099997,1451.17
5.1129026,1848.9813492298126,20.334375,0.0019855304,0.014990235,0.8344782590866089,790528,-0.0012905833,475,790528,386,1188.03496106,1466.58
5.103271,1853.2890524864197,23.050545,0.00356215,0.030908203,0.902050293982029,792576,-0.0036563366,483,792576,387,1180.4764817999996,1458.19
5.1230555,1857.5257050991058,33.25495,0.0027675896,0.029785156,0.8765375018119812,794624,-0.003993943,488,794624,388,1163.5205405699999,1441.8
5.142766,1861.7198913097382,20.63007,0.0030567525,0.03237305,0.843914583325386,796672,-0.0018303717,475,796672,389,1162.34912644,1441.8
5.15272,1866.0320057868958,20.147152,0.0026610277,0.029052734,0.8471011966466904,798720,-0.0029397772,483,798720,390,1161.50932232,1441.8
