n_updates,explained_variance,fps,serial_timesteps,time_elapsed,approxkl,policy_loss,clipfrac,total_timesteps,policy_entropy,value_loss,ep_len_mean,ep_reward_mean
173,0.9058195725083351,546,354304,606.7337551116943,0.0062537566,-0.0025825235,0.07900391,354304,6.5640755,19.257582,1822.37,1403.49549398
174,0.9107437804341316,546,356352,610.4785301685333,0.004307697,-0.0030036152,0.047167968,356352,6.5686593,19.731695,1822.37,1403.8949356099997
175,0.9059222415089607,536,358400,614.2274255752563,0.0033414252,-0.0019933886,0.031103516,358400,6.552512,19.514355,1822.37,1403.33541251
176,0.9041749835014343,542,360448,618.0444905757904,0.0045170374,-0.0031063494,0.055126954,360448,6.539836,19.707722,1822.37,1403.9335468399995
177,0.908677376806736,552,362496,621.822881937027,0.004653509,-0.0012392624,0.056005858,362496,6.5472617,19.516531,1822.37,1404.3807942699998
178,0.9595260545611382,564,364544,625.5288228988647,0.0036610153,-0.0007342479,0.03793945,364544,6.5444884,8.621419,1811.0,1392.54786587
179,0.8784268200397491,582,366592,629.1541957855225,0.0034954678,-0.003996669,0.042236328,366592,6.5486107,30.353992,1801.56,1383.2670752999998
180,0.9116027057170868,558,368640,632.6677465438843,0.003367877,-0.0019070333,0.039746094,368640,6.5641174,20.073063,1801.56,1382.48223221
181,0.9181980788707733,544,370688,636.332414150238,0.0052722883,-0.0010104055,0.05654297,370688,6.5685525,19.852282,1801.56,1382.3240916299997
182,0.910521574318409,652,372736,640.0925090312958,0.003147167,-0.002842256,0.033935547,372736,6.574079,7.2751603,1802.87,1382.90109994
183,0.9334522560238838,607,374784,643.2319941520691,0.0035696863,-0.002292591,0.041259766,374784,6.5775347,10.423398,1802.87,1381.20135688
184,0.8982449248433113,581,376832,646.6035537719727,0.0029621779,-0.0012344834,0.03251953,376832,6.582531,28.167164,1788.4,1369.14153554
185,0.9118489101529121,540,378880,650.1267127990723,0.0044751815,-0.0025017373,0.05703125,378880,6.5920997,19.686855,1788.4,1368.8992207200001
186,0.8944933116436005,540,380928,653.9134955406189,0.0033693984,-0.0013011845,0.035009764,380928,6.5817733,19.80756,1788.4,1368.3620873900002
187,0.9036652594804764,532,382976,657.7034456729889,0.006098775,-0.0038413287,0.08022461,382976,6.5766068,20.129898,1788.4,1369.1121790099999
