fps,ep_reward_mean,approxkl,serial_timesteps,policy_loss,value_loss,clipfrac,total_timesteps,n_updates,time_elapsed,policy_entropy,ep_len_mean,explained_variance
453,1708.2065625614034,0.0012317308,100352,-0.00034107277,20.039007,0.008984375,100352,49,246.9667809009552,6.5355554,1740.5964912280701,-0.00622713565826416
436,1713.6214566896551,0.001399463,102400,-0.00047691196,19.98338,0.012109375,102400,50,251.4832227230072,6.5343046,1745.9137931034484,-0.002454519271850586
442,1718.945592559322,0.0023670227,104448,-0.0018800789,19.95471,0.023828125,104448,51,256.179185628891,6.528886,1751.050847457627,0.0024987459182739258
451,1724.0785846666668,0.0025402587,106496,-0.0021293885,19.993471,0.022558594,106496,52,260.8077073097229,6.5322905,1756.0166666666667,-0.006433248519897461
464,1729.026321213115,0.0012798212,108544,-0.0014563914,20.049402,0.009277344,108544,53,265.3420920372009,6.5304747,1760.8196721311476,-0.016125082969665527
462,1733.9291588225808,0.0027783462,110592,-0.0022551708,19.93352,0.031396486,110592,54,269.74889945983887,6.5228515,1765.467741935484,-0.0008299350738525391
445,1738.54985684127,0.0016414747,112640,-5.7538884e-05,19.81007,0.013134765,112640,55,274.181193113327,6.522193,1769.968253968254,0.0013823509216308594
454,1743.13694421875,0.0011190057,114688,0.0001951844,19.603771,0.0087890625,114688,56,278.7766659259796,6.529409,1774.328125,0.01870018243789673
432,1747.6787090615383,0.001251776,116736,-0.0005533859,19.82851,0.008203125,116736,57,283.2841064929962,6.535947,1778.553846153846,0.0030865073204040527
440,1751.9704685757572,0.004021434,118784,-0.0030767631,19.79974,0.04526367,118784,58,288.0235643386841,6.5341973,1782.6515151515152,0.010068178176879883
450,1756.22165780597,0.0016113619,120832,-0.0011768342,19.69572,0.014404297,120832,59,292.67258477211,6.5370774,1786.6268656716418,0.01783353090286255
439,1760.4413382499997,0.002788481,122880,-0.0010855664,19.765789,0.02758789,122880,60,297.2179796695709,6.5372343,1790.485294117647,0.04510623216629028
433,1764.5186836521736,0.0017927673,124928,-0.0016091183,20.002436,0.015380859,124928,61,301.8752098083496,6.5390167,1794.231884057971,0.02530205249786377
441,1768.348996342857,0.001197082,126976,-0.0003692552,19.99194,0.012792969,126976,62,306.59806299209595,6.5418806,1797.8714285714286,0.004618406295776367
462,1771.9807877887322,0.004368998,129024,-0.0022643188,20.206617,0.04824219,129024,63,311.24210023880005,6.5459404,1801.4084507042253,0.00934058427810669
436,1775.6170091666665,0.0019519345,131072,-0.0006035086,20.404549,0.019042969,131072,64,315.67100739479065,6.5611258,1804.8472222222222,-0.018411993980407715
423,1779.1642928219176,0.0022347749,133120,-0.0015151915,20.16622,0.023974609,133120,65,320.359783411026,6.5747805,1808.1917808219177,-0.009243249893188477
230,1782.6435384189185,0.005810426,135168,-0.00518665,20.438343,0.077539064,135168,66,325.1907477378845,6.5724196,1811.445945945946,-0.018334031105041504
256,1786.0765021999996,0.0010946223,137216,-0.0006708358,20.296204,0.009570313,137216,67,334.08440351486206,6.5713415,1814.6133333333332,-0.013197660446166992
424,1789.4289177499993,0.0045992136,139264,-0.0020993084,19.8726,0.05517578,139264,68,342.06959342956543,6.574134,1817.6973684210527,0.019257545471191406
427,1792.6993186753239,0.004181248,141312,-0.002103473,20.056616,0.053710938,141312,69,346.89574551582336,6.5710945,1820.7012987012988,0.013775825500488281
429,1795.7950498333328,0.0037266552,143360,-0.003069299,19.825464,0.046728514,143360,70,351.69213223457336,6.5738997,1823.628205128205,0.03283315896987915
349,1778.8225164249998,0.0013039837,145408,-0.00073526456,30.180426,0.013574218,145408,71,356.45974612236023,6.583,1806.275,0.4315165877342224
447,1781.8858918148146,0.0009285901,147456,-7.707228e-05,20.222496,0.0056152344,147456,72,362.3208315372467,6.5852175,1809.2716049382716,-0.011710047721862793
424,1784.900753134146,0.0030741016,149504,-0.0013583207,20.020472,0.034814455,149504,73,366.9007225036621,6.5897493,1812.1951219512196,0.0056934356689453125
409,1787.8485143132527,0.0010528474,151552,-0.0005283547,20.13235,0.008837891,151552,74,371.7289505004883,6.58919,1815.0481927710844,-0.005972623825073242
413,1790.7373774761904,0.0014530027,153600,0.00026814983,20.067606,0.013476563,153600,75,376.72781443595886,6.589448,1817.8333333333333,-0.0007969141006469727
427,1793.572475035294,0.0008787901,155648,-0.00048929034,20.025333,0.006298828,155648,76,381.68299555778503,6.5944443,1820.5529411764705,0.0024562478065490723
429,1785.0212034942526,0.0015461618,157696,-0.0019291055,24.416485,0.013378906,157696,77,386.4706766605377,6.6095595,1811.7011494252874,0.7752505093812943
419,1787.851441465909,0.0030376338,159744,-0.0021345378,20.124979,0.03793945,159744,78,391.24485206604004,6.617261,1814.3977272727273,-0.01209712028503418
375,1790.6172321573033,0.0014098474,161792,-0.0006744714,20.057934,0.009960937,161792,79,396.1257436275482,6.6117287,1817.0337078651685,0.0002924799919128418
409,1793.3768119666668,0.0021775598,163840,-0.0020553241,20.121853,0.021386718,163840,80,401.5773870944977,6.6056647,1819.611111111111,-0.0010164976119995117
403,1796.0649819120881,0.00093311013,165888,-0.0004263373,19.867897,0.006591797,165888,81,406.57607531547546,6.605933,1822.131868131868,0.021553337574005127
436,1798.6529536847827,0.0019840088,167936,-0.0012082984,20.091904,0.019873047,167936,82,411.6544725894928,6.6038694,1824.5978260869565,0.0022469162940979004
422,1801.1871626881723,0.00096236635,169984,-0.0005989775,20.197458,0.009521484,169984,83,416.3494861125946,6.599164,1827.010752688172,-0.009283900260925293
412,1803.720633744681,0.0020147506,172032,-0.0010245496,20.075726,0.018066406,172032,84,421.1932682991028,6.5981073,1829.372340425532,0.0008139610290527344
426,1806.1445348315792,0.0012115379,174080,-8.1874525e-05,20.20635,0.011621093,174080,85,426.1586124897003,6.602666,1831.6842105263158,-0.010493040084838867
437,1808.4393269687498,0.0030738697,176128,-0.0022233536,19.863821,0.03339844,176128,86,430.96138072013855,6.6089883,1833.9479166666667,0.01596146821975708
419,1810.8450755154638,0.004526027,178176,-0.0020339547,20.126062,0.054589845,178176,87,435.6405727863312,6.6145124,1836.1649484536083,-0.0017641782760620117
414,1813.1612165816323,0.0019223898,180224,-0.0008997192,20.10925,0.012353515,180224,88,440.52033853530884,6.616894,1838.3367346938776,0.0006476044654846191
436,1815.415835181818,0.0038540396,182272,-0.0020514703,20.124039,0.04350586,182272,89,445.46705985069275,6.6142035,1840.4646464646464,-0.005605578422546387
419,1817.5987824699998,0.00062216737,184320,-0.00068357366,20.031733,0.0030273437,184320,90,450.1590950489044,6.60999,1842.55,-0.0043184757232666016
446,1832.4262375499998,0.0008020171,186368,-0.00043670725,19.961445,0.007080078,186368,91,455.04347801208496,6.613187,1857.19,0.0016944408416748047
420,1832.6827856600003,0.0017845497,188416,-0.0003181792,20.012218,0.013427734,188416,92,459.63225531578064,6.61426,1857.19,-0.0004309415817260742
416,1843.5685882200005,0.0008424317,190464,-0.0014604531,20.275906,0.0067382813,190464,93,464.5001664161682,6.625579,1867.81,-0.018479466438293457
428,1859.54326386,0.0018442735,192512,-0.0017434066,19.926819,0.0146484375,192512,94,469.42312932014465,6.6336884,1883.67,0.01608109474182129
424,1868.83074967,0.0016960294,194560,-0.0019854242,20.118103,0.01850586,194560,95,474.2036476135254,6.635006,1892.74,-0.0026024580001831055
437,1869.09108138,0.004962409,196608,-0.0037238684,20.073185,0.064404294,196608,96,479.0322835445404,6.650008,1892.74,0.005105078220367432
421,1873.3100226600002,0.0028069797,198656,-0.0015548769,20.153034,0.028173828,198656,97,483.71345567703247,6.656462,1896.58,-0.00010132789611816406
417,1888.22235963,0.00092560553,200704,-0.00022718128,20.164051,0.010058594,200704,98,488.5722806453705,6.6599274,1911.37,-0.01026010513305664
413,1888.44650538,0.00094409275,202752,-0.00048245228,20.054289,0.0034179688,202752,99,493.4822361469269,6.666068,1911.37,-0.0005841255187988281
392,1894.67460741,0.0015837349,204800,-0.0031958327,20.036457,0.015673827,204800,100,498.43101620674133,6.674413,1917.27,-0.0040438175201416016
174,1894.8833312999998,0.003988062,206848,-0.0018222372,20.187368,0.04550781,206848,101,503.6562588214874,6.6870675,1917.27,-0.01539456844329834
430,1895.1824026,0.0011908575,208896,-0.0006667621,19.948088,0.0087890625,208896,102,515.3836526870728,6.686528,1917.27,-0.0012640953063964844
423,1895.32924819,0.0023601812,210944,-0.0019115824,19.336674,0.026953125,210944,103,520.1410353183746,6.6980066,1917.27,0.049719929695129395
418,1895.3557030700001,0.0018136216,212992,-0.0011543904,19.97176,0.016259765,212992,104,524.9838464260101,6.7165604,1917.27,-0.0013388395309448242
418,1895.3372542500001,0.0019350927,215040,-0.0013727655,19.85178,0.020947266,215040,105,529.8826274871826,6.7304587,1917.27,0.007753729820251465
429,1895.4792768900004,0.0035371953,217088,-0.0020814154,19.910189,0.044384766,217088,106,534.7727138996124,6.739404,1917.27,0.0048105716705322266
419,1895.5198244100002,0.0018229395,219136,-0.00020113033,20.17478,0.015722657,219136,107,539.5383841991425,6.7480803,1917.27,-0.014561176300048828
