policy_loss,value_loss,explained_variance,time_elapsed,clipfrac,approxkl,policy_entropy,fps,n_updates,total_timesteps,serial_timesteps,ep_reward_mean,ep_len_mean
-0.0028462324,13.01163,0.7425816655158997,1193.7893607616425,0.04526367,0.0040338123,2.8599653,409,265,542720,542720,753.8815956700001,1202.11
-0.0021743185,9.66271,0.7691637724637985,1198.7875361442566,0.04008789,0.0037898365,2.8532138,423,266,544768,544768,753.4207466800002,1202.11
-0.0048044077,12.412909,0.6521767973899841,1203.621651649475,0.050878905,0.004549228,2.8555918,439,267,546816,546816,752.6434198299999,1202.11
-0.0031580324,17.52602,0.8350055664777756,1208.2790200710297,0.048828125,0.004629724,2.8513846,417,268,548864,548864,740.50464438,1185.57
-0.0020563114,5.028903,0.9044546335935593,1213.185938835144,0.024365235,0.002321838,2.8560972,413,269,550912,550912,747.05582562,1194.54
-0.002750346,4.265052,0.9186067208647728,1218.1356048583984,0.024169922,0.0024556315,2.8666162,413,270,552960,552960,740.9168579899998,1186.28
-0.002014909,17.734882,0.6878274083137512,1223.0929999351501,0.031933594,0.0029479207,2.8696182,429,271,555008,555008,748.09865248,1197.76
-0.0063487045,8.695586,0.8445668667554855,1227.8660950660706,0.054052733,0.005139472,2.8801923,418,272,557056,557056,748.10526542,1197.76
-0.002652369,0.66100466,0.9796145521104336,1232.7598605155945,0.028515626,0.002816446,2.8818388,412,273,559104,559104,748.10526542,1197.76
-0.0026982878,8.88695,0.8601743280887604,1237.7284212112427,0.04897461,0.004407962,2.877182,417,274,561152,561152,766.3942696900001,1224.29
-0.0062401304,9.2,0.8268221318721771,1242.635833978653,0.07973633,0.0072733774,2.874744,415,275,563200,563200,779.14548389,1242.26
-0.0015497914,12.107175,0.7687280476093292,1247.5640654563904,0.03691406,0.0032729253,2.8667107,435,276,565248,565248,779.78411651,1242.26
-0.0020502945,10.66304,0.7785390019416809,1252.2696759700775,0.05913086,0.005040344,2.8687248,433,277,567296,567296,780.8060188999999,1242.26
-0.0037375197,11.301209,0.8003992736339569,1256.9915685653687,0.034570314,0.0032589617,2.8675508,430,278,569344,569344,780.85372208,1242.26
-0.0054461984,16.865948,0.8207051753997803,1261.7458093166351,0.055078126,0.005260729,2.860824,394,279,571392,571392,779.68429739,1242.16
-0.0041846917,9.216742,0.7989757061004639,1266.9398882389069,0.047949217,0.0044218665,2.8492548,410,280,573440,573440,780.1009556,1242.16
-0.0019049319,13.730791,0.8571289777755737,1271.9244918823242,0.058740236,0.0056302287,2.8409064,429,281,575488,575488,768.3559812799998,1223.59
-0.0018153678,10.642134,0.7985762655735016,1276.694996356964,0.03461914,0.003135146,2.8347344,410,282,577536,577536,768.08941884,1223.59
-0.002617151,11.348661,0.7923151701688766,1281.6900265216827,0.04926758,0.004968666,2.8296242,425,283,579584,579584,768.054095,1223.59
-0.005711845,3.1370442,0.9584929272532463,1286.5010538101196,0.04501953,0.0040920656,2.823832,420,284,581632,581632,759.92331271,1212.05
-0.0030851564,13.67413,0.7416709661483765,1291.3733565807343,0.068310544,0.0061710896,2.8022947,406,285,583680,583680,759.5713586500001,1212.05
-0.0051857242,12.749397,0.7162340879440308,1296.4158082008362,0.05234375,0.004538267,2.7861245,425,286,585728,585728,760.3822586899998,1212.05
-0.0012603275,12.18377,0.7400062084197998,1301.2300617694855,0.06298828,0.005894202,2.784697,413,287,587776,587776,760.4342598700001,1212.05
-0.0030244798,9.27616,0.8045034855604172,1306.187907218933,0.034423828,0.0032730144,2.7959805,393,288,589824,589824,772.23197956,1228.96
-0.0035722922,9.124571,0.8320955634117126,1311.398883342743,0.061181642,0.005152152,2.7996097,422,289,591872,591872,784.61057123,1245.65
-0.0036263242,9.561529,0.8000891804695129,1316.24609375,0.03769531,0.00331622,2.79352,411,290,593920,593920,785.1669450000002,1245.65
-0.0020176384,16.62385,0.8042607009410858,1321.2285649776459,0.03261719,0.0030793457,2.7987344,420,291,595968,595968,785.65000205,1246.74
-0.009683117,18.826572,0.7250362634658813,1326.0999209880829,0.097314455,0.011243325,2.8124077,428,292,598016,598016,793.4298328200001,1257.63
-0.005323629,6.2149224,0.8895178735256195,1330.880639076233,0.04140625,0.0039491123,2.8181813,409,293,600064,600064,789.5726756199999,1251.95
-0.004497273,9.647577,0.8548235595226288,1335.8809864521027,0.055078126,0.004611135,2.8188515,418,294,602112,602112,803.38639149,1270.1
-0.0014360506,13.155169,0.8744904696941376,1340.7786853313446,0.03388672,0.0032869936,2.8118863,400,295,604160,604160,791.2911105999999,1253.9
-0.0039773253,9.0631695,0.8229893893003464,1345.8884925842285,0.07050781,0.006768941,2.8087583,434,296,606208,606208,791.0999463200001,1253.9
-0.004698319,18.990688,0.6594293713569641,1350.606390953064,0.049804688,0.004251438,2.8200707,414,297,608256,608256,771.0331988499998,1227.23
-0.008983062,13.0201435,0.8582292795181274,1355.54838514328,0.08325195,0.0076808566,2.8354685,401,298,610304,610304,762.1679455000001,1217.48
-0.003686556,11.820402,0.7608586102724075,1360.6496767997742,0.061181642,0.0050664037,2.8408012,453,299,612352,612352,775.1679022499999,1235.69
-0.004127142,9.423935,0.8035483658313751,1365.1668260097504,0.064941406,0.0051330347,2.8496695,427,300,614400,614400,788.6974273300001,1253.8
