explained_variance,time_elapsed,value_loss,serial_timesteps,fps,policy_loss,total_timesteps,n_updates,approxkl,clipfrac,policy_entropy,ep_reward_mean,ep_len_mean
0.7036178410053253,475.16519570350647,20.046822,227328,454,-0.0038401107,227328,111,0.0049419315,0.059570312,6.1908865,1269.8003057,1426.49
0.7444072663784027,479.67032289505005,20.242115,229376,461,-0.004034042,229376,112,0.002911937,0.02998047,6.1961837,1286.32179271,1441.6
0.7570592015981674,484.10926628112793,26.388294,231424,466,-0.0032958793,231424,113,0.0019618447,0.015625,6.212465,1268.08445998,1421.66
0.8316076397895813,488.49791049957275,48.657753,233472,475,-0.0040353714,233472,114,0.0021199652,0.021435548,6.2289906,1247.24994872,1398.22
0.7694122046232224,492.808411359787,25.507612,235520,478,-0.0016473649,235520,115,0.0020888322,0.02216797,6.2471766,1244.5283237499998,1393.15
0.7120147347450256,497.092894077301,19.891773,237568,468,-0.000417295,237568,116,0.0024776955,0.023388673,6.2541,1245.1458234099998,1393.15
0.8467151671648026,501.46913051605225,27.456186,239616,464,-0.0033622396,239616,117,0.002815657,0.027929688,6.250161,1227.53870936,1375.26
0.815124586224556,505.8751735687256,21.486107,241664,466,-0.002100017,241664,118,0.0020405794,0.015136719,6.2415066,1244.00049737,1391.77
0.9238708317279816,510.2684316635132,16.337133,243712,486,-0.0030774684,243712,119,0.0011850152,0.009375,6.2279177,1193.5718541199997,1340.4
0.6825886964797974,514.4826128482819,19.964134,245760,460,-0.0015076458,245760,120,0.0036507635,0.03984375,6.223175,1193.7960981799997,1340.4
0.8695783764123917,518.9261524677277,23.259014,247808,487,-0.0048321974,247808,121,0.0040300316,0.042529296,6.2281322,1193.84589478,1339.7
0.8009035885334015,523.1260900497437,43.66793,249856,494,-0.0033029788,249856,122,0.0011978552,0.009472656,6.230165,1160.59449528,1305.04
0.7099664211273193,527.2714970111847,19.851032,251904,463,-0.00076678226,251904,123,0.0029939716,0.031689454,6.225274,1177.23505258,1320.98
0.6934897005558014,531.6913325786591,19.91173,253952,460,-0.00075795624,253952,124,0.0039458917,0.04536133,6.216811,1177.63227086,1320.98
0.6839686632156372,536.1357622146606,20.065704,256000,466,-0.0015091387,256000,125,0.0032036814,0.0375,6.2076263,1177.6806603399998,1320.98
0.8509463667869568,540.5316977500916,27.124058,258048,465,-0.004138534,258048,126,0.003568627,0.038330078,6.209132,1160.00526146,1302.9
0.9359988942742348,544.934592962265,4.710978,260096,447,-0.0023799762,260096,127,0.003300761,0.030908203,6.2045674,1159.47594371,1302.32
0.8617539703845978,549.5106890201569,23.235537,262144,474,-0.004587532,262144,128,0.0020271505,0.019873047,6.1918874,1160.41793777,1303.34
0.6935868263244629,553.8279271125793,19.872887,264192,472,-0.0028025599,264192,129,0.0034667726,0.039453126,6.1982913,1178.69369595,1321.56
0.7050440609455109,558.1605157852173,20.061764,266240,447,-0.0032291734,266240,130,0.0032902758,0.034179688,6.213032,1196.7691509999997,1339.68
0.6864757239818573,562.7373495101929,19.733639,268288,460,-0.0032305985,268288,131,0.003508389,0.037353516,6.217562,1197.39809763,1339.68
0.7105920314788818,567.1895649433136,19.973095,270336,455,-0.0027358502,270336,132,0.0035272446,0.03491211,6.2124066,1197.95365471,1339.68
