total_timesteps,policy_entropy,policy_loss,approxkl,n_updates,serial_timesteps,time_elapsed,explained_variance,clipfrac,fps,value_loss,ep_len_mean,ep_reward_mean
282624,3.9335656,-0.0015903309,0.0029282228,138,282624,760.7254495620728,0.8802303299307823,0.034570314,379,25.931631,1441.13,958.3283115300001
284672,3.9434085,-0.0031263554,0.0027558946,139,284672,766.1192746162415,0.9137239456176758,0.02890625,381,13.880758,1452.44,967.6589741600001
286720,3.9432979,-0.0023541837,0.0027196254,140,286720,771.4912781715393,0.9085538759827614,0.026464844,358,8.76383,1467.9,978.4787172700001
288768,3.9298272,-0.0034667465,0.0025073614,141,288768,777.2002267837524,0.8152379393577576,0.02446289,328,14.362317,1467.9,977.57877585
290816,3.9241931,-0.0055257417,0.003051532,142,290816,783.4270601272583,0.9542792402207851,0.032714844,383,8.289424,1477.47,984.4190512299999
292864,3.9185855,-0.005117882,0.0059321886,143,292864,788.7742900848389,0.9089478403329849,0.07114258,380,20.711765,1488.77,994.6325672999998
294912,3.9243293,-0.0061161183,0.004310855,144,294912,794.1592907905579,0.9733183104544878,0.047314454,373,4.2493415,1488.45,994.3555334299998
296960,3.9197655,-0.0037401286,0.0022915977,145,296960,799.6398086547852,0.8471456617116928,0.021337891,392,21.816,1485.94,994.5161630499999
299008,3.923925,-0.004495353,0.0038583581,146,299008,804.8609371185303,0.943994328379631,0.043115236,364,9.081381,1495.02,1001.8654309100001
301056,3.939773,-0.0044420497,0.0017354228,147,301056,810.4825100898743,0.8664661645889282,0.019433593,384,16.119282,1465.73,985.00205903
303104,3.941956,-0.0040861983,0.004076234,148,303104,815.815854549408,0.8677231222391129,0.04633789,355,13.988439,1450.83,971.00668863
305152,3.936853,-0.0046747546,0.004304791,149,305152,821.5712809562683,0.9288456812500954,0.052001953,360,12.296826,1457.44,977.71771723
307200,3.9273002,-0.0026987628,0.0014999461,150,307200,827.2515263557434,0.9353144094347954,0.014160156,368,10.537631,1440.38,962.8007366600001
309248,3.927671,-0.0034293022,0.0024734908,151,309248,832.8108401298523,0.9191332682967186,0.02578125,365,14.295299,1405.57,937.4784926799999
311296,3.931046,-0.0035877333,0.0026132902,152,311296,838.4073820114136,0.9437539950013161,0.028076172,386,7.7049074,1405.27,937.36887904
313344,3.9278846,-0.005808661,0.002688007,153,313344,843.7113683223724,0.8160024732351303,0.029589843,370,23.999285,1375.41,914.5124785900001
315392,3.9301713,-0.005555057,0.0035527137,154,315392,849.2342464923859,0.9096296429634094,0.042382814,386,15.087793,1380.37,917.96866209
317440,3.9326625,-0.0042553013,0.002137512,155,317440,854.5303361415863,0.9616750702261925,0.020947266,385,4.966003,1380.17,917.77644787
319488,3.9265037,-0.006934791,0.0039863354,156,319488,859.8504014015198,0.8369845747947693,0.04609375,371,11.112757,1392.76,928.03676686
321536,3.926878,-0.0038408544,0.0043583633,157,321536,865.3641831874847,0.82250115275383,0.052441407,402,28.138342,1386.02,920.0605595600001
323584,3.940295,-0.0009872256,0.0035018586,158,323584,870.4518465995789,0.893541231751442,0.036572266,370,14.477015,1398.78,930.3687277400002
325632,3.9545853,-0.0019124228,0.0036052365,159,325632,875.9822800159454,0.8797581791877747,0.043115236,383,17.481722,1397.61,930.8280395400002
327680,3.953329,-0.0047884258,0.0029247454,160,327680,881.3212425708771,0.9580589942634106,0.029541016,390,8.061977,1382.93,918.80742461
