n_updates,ep_reward_mean,time_elapsed,policy_loss,serial_timesteps,explained_variance,clipfrac,ep_len_mean,approxkl,value_loss,policy_entropy,total_timesteps,fps
84,604.8823436444445,633.3205094337463,-0.0006005918,172032,0.14868968725204468,0.025488282,1890.2555555555555,0.002669995,5.5446525,1.4990798,172032,283
85,608.6268345604396,640.5521631240845,-0.0051820213,174080,0.21931004524230957,0.03564453,1892.0,0.0033815578,4.823441,1.4986777,174080,268
86,611.9178807065218,648.1840908527374,-0.0019346701,176128,0.22473251819610596,0.03881836,1893.7065217391305,0.0034901344,4.593427,1.5112492,176128,257
87,615.4463606881721,656.1319370269775,-0.0032659792,178176,0.19067806005477905,0.048291016,1895.3763440860216,0.00441458,6.2237916,1.5157697,178176,258
88,619.3443374680852,664.0407931804657,0.00010429486,180224,0.19843429327011108,0.0171875,1897.0106382978724,0.002006764,7.4267488,1.5141594,180224,263
89,623.7961213473685,671.8243460655212,-0.0040696906,182272,0.24590849876403809,0.06347656,1898.6105263157895,0.0052688983,6.7085543,1.51263,182272,237
90,627.8514958958334,680.4565393924713,-0.0013206019,184320,0.19557315111160278,0.01826172,1900.1770833333333,0.0019080553,5.829642,1.5208656,184320,249
91,631.2867311649485,688.6575813293457,-0.0022701395,186368,0.25301146507263184,0.033837892,1901.7113402061855,0.0035211046,4.434506,1.5182922,186368,237
92,630.5407384848485,697.2965142726898,-0.0011495553,188416,0.21194171905517578,0.012353515,1889.888888888889,0.0018975602,7.032232,1.5029604,188416,255
93,634.3360386700001,705.3218121528625,-0.002484225,190464,0.26672977209091187,0.051220704,1891.48,0.004587489,6.0955462,1.492864,190464,251
94,644.09133773,713.4741611480713,-0.0021810543,192512,0.2937714457511902,0.026367188,1909.31,0.0027568466,7.6586876,1.4883972,192512,257
95,649.15683212,721.4154512882233,-0.0017939534,194560,0.2126583456993103,0.021533202,1888.56,0.002527237,9.347812,1.4831762,194560,271
96,658.60653056,728.9496235847473,-0.0032597792,196608,0.36309367418289185,0.039501954,1900.4,0.0037122506,7.3633094,1.4923658,196608,278
97,664.61772039,736.309947013855,-0.0015301729,198656,0.22984963655471802,0.018847656,1900.4,0.002191993,6.272897,1.4988457,198656,283
98,673.03123826,743.5328550338745,-0.0015775928,200704,0.3086671829223633,0.031835936,1910.88,0.0030824752,8.178714,1.4968696,200704,276
99,678.0001186699999,750.949544429779,-0.0052456236,202752,0.33432209491729736,0.04536133,1915.78,0.00423128,6.6754265,1.4906168,202752,283
100,680.1758579299999,758.1690912246704,-0.0028279254,204800,0.5273321568965912,0.03515625,1907.2,0.0031450528,4.5798044,1.4911563,204800,272
101,683.0171136499998,765.6982800960541,-0.0030429666,206848,0.4217243790626526,0.025585938,1880.57,0.0028397995,8.072838,1.495414,206848,283
102,675.37310285,772.9146363735199,-0.001711845,208896,0.4678632616996765,0.01015625,1820.1,0.0014517994,8.932346,1.4996032,208896,282
103,667.8360599700001,780.1758241653442,-0.0018460111,210944,0.4036257266998291,0.023876954,1761.47,0.00260232,9.601162,1.4999113,210944,277
104,661.48361257,787.5494914054871,-0.004451488,212992,0.5407880246639252,0.06899414,1728.13,0.00547921,5.117292,1.4928563,212992,272
105,669.0071420899999,795.0697050094604,-0.0017661406,215040,0.42205870151519775,0.031103516,1724.73,0.0032731828,7.2763085,1.4988692,215040,275
106,678.53226446,802.4972627162933,-0.0028298616,217088,0.39693087339401245,0.0515625,1736.8,0.00452796,7.404634,1.5025426,217088,285
107,681.65348884,809.6762824058533,-0.002158899,219136,0.5063264071941376,0.030126953,1727.46,0.002872122,6.8644195,1.5117767,219136,288
108,682.6077649400002,816.7767806053162,-0.004263257,221184,0.6109988391399384,0.04423828,1708.36,0.004040738,6.4822817,1.5195009,221184,293
109,688.1781717100001,823.7658498287201,-0.0008058531,223232,0.3890037536621094,0.025341798,1708.36,0.002682837,5.4931326,1.5126367,223232,285
110,693.9067308900001,830.9475996494293,-0.003976356,225280,0.44064241647720337,0.06225586,1708.36,0.0048868125,6.1660323,1.5057774,225280,287
111,699.4103466600001,838.0814237594604,-0.002065641,227328,0.41217154264450073,0.03959961,1708.36,0.0037760127,6.464709,1.5043647,227328,291
112,694.5183431800001,845.1184644699097,-0.00023363318,229376,0.3711003065109253,0.02602539,1678.54,0.0026757147,7.901038,1.5020912,229376,291
113,693.2932945100001,852.1551737785339,-0.0038662597,231424,0.4731985330581665,0.05356445,1647.84,0.00462018,9.627424,1.5070932,231424,295
114,689.04147947,859.0897152423859,-0.0044087544,233472,0.48371678590774536,0.05415039,1621.77,0.004401327,6.598461,1.5064995,233472,298
115,690.3189589699999,865.9574811458588,-0.0007939376,235520,0.37315112352371216,0.047851562,1607.16,0.004648272,8.230235,1.4968668,235520,290
116,691.7259621599999,873.0194501876831,-0.0038149846,237568,0.6534373462200165,0.03730469,1600.11,0.0035317813,3.996825,1.4901955,237568,286
117,680.7331309,880.1727428436279,-0.002310893,239616,0.400681734085083,0.062304687,1546.42,0.0049672215,12.730199,1.4899412,239616,295
118,684.8418319900001,887.1030972003937,-0.0027829478,241664,0.44900447130203247,0.047753908,1545.12,0.0040445253,6.6994133,1.5012702,241664,301
119,652.87353501,893.8978555202484,-0.0023745678,243712,0.2910308241844177,0.018017579,1439.68,0.0023521986,18.305058,1.5100732,243712,295
120,616.2268640499999,900.8283009529114,-0.0022144064,245760,0.41419440507888794,0.027832031,1340.5,0.0027155785,16.994184,1.5136229,245760,286
121,591.3922200000001,907.9806804656982,-0.00019824252,247808,0.47898316383361816,0.009375,1272.12,0.0014460615,11.275012,1.511383,247808,289
122,576.2202656,915.0456297397614,-0.003360299,249856,0.5785437524318695,0.029638672,1215.96,0.0028482506,11.956453,1.5130085,249856,296
