clipfrac,explained_variance,serial_timesteps,fps,total_timesteps,policy_loss,approxkl,ep_reward_mean,time_elapsed,ep_len_mean,value_loss,n_updates,policy_entropy
0.056396484,0.8394072353839874,622592,393,622592,-0.002862009,0.0045002704,1019.7845681399999,1438.8123302459717,1280.87,20.477474,304,4.937079
0.032177735,0.8063128292560577,624640,397,624640,-0.0024323736,0.0028044772,1023.51744261,1444.02082157135,1280.87,20.026424,305,4.9514585
0.03364258,0.8375729769468307,626688,403,626688,-0.002246862,0.00325882,1040.82262014,1449.169141292572,1299.02,20.789555,306,4.954356
0.030908203,0.7849362045526505,628736,426,628736,-0.0016799541,0.002824144,1053.77311516,1454.2406568527222,1316.12,21.635414,307,4.954709
0.03652344,0.8050454705953598,630784,414,630784,-0.0025745626,0.003357411,1052.17863372,1459.0396614074707,1316.12,21.6833,308,4.954426
0.018554688,0.8144258707761765,632832,416,632832,-0.0017697343,0.0018070886,1066.6784206799998,1463.9863955974579,1333.93,21.065811,309,4.954549
0.03618164,0.8467399775981903,634880,414,634880,-0.0012436411,0.0035465476,1082.36514831,1468.8996968269348,1351.58,19.94665,310,4.9553914
0.030566406,0.8286282122135162,636928,419,636928,-0.000719267,0.0032355278,1098.3248127,1473.8445155620575,1369.45,19.529675,311,4.9524
0.023339843,0.850328728556633,638976,398,638976,-0.0021457907,0.0024905908,1098.28765899,1478.73264169693,1369.45,19.4556,312,4.9397902
0.052246094,0.8289394974708557,641024,421,641024,-0.005431722,0.0044657565,1100.7111421199997,1483.8772337436676,1373.68,31.685318,313,4.9392605
0.022802735,0.8474278450012207,643072,400,643072,-0.001345909,0.002373947,1112.7980735999997,1488.7396404743195,1386.86,20.878265,314,4.94109
0.035351563,0.9286406934261322,645120,400,645120,-0.005267568,0.0034955605,1114.13584452,1493.8478376865387,1389.48,11.242034,315,4.937533
0.03803711,0.6879664361476898,647168,379,647168,-0.003246023,0.0033848588,1117.8810191300001,1498.9654643535614,1389.48,22.821285,316,4.947641
0.03564453,0.4297800064086914,649216,414,649216,-0.0019955249,0.0034473534,1129.27622507,1504.3668196201324,1406.84,20.0363,317,4.9581976
0.033251952,0.9070588797330856,651264,407,651264,-0.0022316033,0.0028127139,1124.20518648,1509.3091337680817,1406.84,11.006316,318,4.9926386
0.054541014,0.8200510591268539,653312,410,653312,-0.00016759105,0.004463861,1142.1386413900002,1514.3378863334656,1424.78,19.563425,319,5.0079904
0.02470703,0.8631733655929565,655360,404,655360,-0.0022945313,0.0023584596,1141.69998684,1519.3248977661133,1424.78,21.127926,320,5.001778
0.04575195,0.7776742726564407,657408,403,657408,-0.0007093541,0.0039944993,1138.9309339600002,1524.3874068260193,1424.78,19.720684,321,4.9961085
0.03852539,0.8580749183893204,659456,400,659456,-0.0015919534,0.003709477,1156.92405222,1529.4678909778595,1442.8,19.99985,322,4.980445
0.0496582,0.8185913562774658,661504,418,661504,-0.0030077547,0.0043540346,1155.7698728300002,1534.5858314037323,1442.8,20.39022,323,4.975824
0.09287109,0.7905356884002686,663552,411,663552,-0.0032140873,0.007251045,1172.67227756,1539.4847683906555,1460.58,20.20206,324,4.973617
0.023779297,0.8143490999937057,665600,410,665600,-0.0013934247,0.002724646,1190.5706328600002,1544.4565153121948,1478.64,19.835705,325,4.9689307
