total_timesteps,approxkl,explained_variance,clipfrac,policy_entropy,n_updates,fps,value_loss,policy_loss,time_elapsed,serial_timesteps,ep_len_mean,ep_reward_mean
286720,0.004378741,0.9667432904243469,0.046728514,3.8771565,140,466,3.0651164,-0.006474515,580.5875127315521,286720,1421.29,950.10038344
288768,0.004328561,0.8691068142652512,0.053710938,3.871009,141,484,10.068338,-0.004494547,584.980269908905,288768,1421.29,949.9847766799999
290816,0.0031899041,0.8482934534549713,0.036328126,3.8714077,142,482,11.138863,-0.0019547844,589.2095096111298,290816,1420.15,949.79220904
292864,0.0036778532,0.8928596749901772,0.043310545,3.87132,143,459,10.939036,-0.005706911,593.4531435966492,292864,1432.53,959.68258554
294912,0.0032331597,0.9531425461173058,0.03691406,3.8714328,144,467,4.7037764,-0.0068955654,597.9135465621948,294912,1427.86,956.18042613
296960,0.003910238,0.8365506827831268,0.03745117,3.8842626,145,475,30.363918,-0.0010903422,602.2983062267303,296960,1406.41,940.6475172399998
299008,0.0028856124,0.9486565180122852,0.030957032,3.8973153,146,487,7.142112,-0.005404751,606.6063122749329,299008,1385.84,924.39909294
301056,0.004511799,0.9718883465975523,0.051513672,3.918944,147,472,2.3180993,-0.0077221124,610.8123519420624,301056,1394.43,930.91353788
303104,0.004041613,0.8202810436487198,0.04575195,3.9401379,148,492,21.95986,-0.005509532,615.1516625881195,303104,1397.49,930.9604101200001
305152,0.002174891,0.9391363672912121,0.022460938,3.9511504,149,468,9.375925,-0.0036096391,619.3113210201263,305152,1380.02,917.24487677
307200,0.0023724162,0.8813417702913284,0.024072265,3.9505649,150,479,17.571987,-0.0033570123,623.6834251880646,307200,1362.3,906.1212276800002
309248,0.0025799463,0.8022832572460175,0.024072265,3.956253,151,502,14.175043,-0.0035039634,627.9606971740723,309248,1365.94,907.13153308
311296,0.002775735,0.8834264352917671,0.028271485,3.9546819,152,489,13.701628,-0.0028945762,632.033608675003,311296,1332.77,882.08541525
313344,0.0069320267,0.8309989273548126,0.07099609,3.9527917,153,472,9.548521,-0.0040560244,636.2177257537842,313344,1332.77,879.1058260699999
315392,0.0026626945,0.8755800351500511,0.028759766,3.9534798,154,483,15.644325,-0.005101149,640.5518066883087,315392,1333.74,878.9956142999998
317440,0.0037429791,0.8855937048792839,0.04033203,3.9471183,155,490,9.056484,-0.0068824925,644.7843480110168,317440,1342.59,885.6487216799999
