total_timesteps,clipfrac,policy_loss,fps,time_elapsed,serial_timesteps,value_loss,ep_reward_mean,ep_len_mean,approxkl,n_updates,policy_entropy,explained_variance
1552384,0.026953125,-0.0019566158,511,3118.0196821689606,1552384,20.650005,1354.2574660799999,1680.65,0.002405771,758,5.73981,0.8901448398828506
1554432,0.03046875,-0.004725524,545,3122.0277647972107,1554432,48.563572,1370.0811430800002,1697.46,0.003151231,759,5.746068,0.5376579761505127
1556480,0.043554686,-0.009037009,496,3125.7852833271027,1556480,20.389729,1370.5920848199999,1697.46,0.0037617986,760,5.7427025,0.8841649442911148
1558528,0.068164065,-0.0056203594,517,3129.9137341976166,1558528,20.288969,1369.41843413,1697.46,0.0057815975,761,5.7512145,0.8925012648105621
1560576,0.02631836,-0.0016834751,512,3133.868570327759,1560576,21.171352,1368.0466033399998,1697.46,0.002680121,762,5.7585692,0.8802642375230789
1562624,0.031640626,-0.004078747,541,3137.864611387253,1562624,16.960512,1379.74794264,1715.23,0.0028384943,763,5.761601,0.7719647735357285
1564672,0.043115236,-0.0076729343,522,3141.646815299988,1564672,9.8082285,1370.38401914,1700.64,0.0038922415,764,5.771296,0.94290691614151
1566720,0.018115234,-0.0023100765,520,3145.5676488876343,1566720,28.603214,1387.0073905200002,1717.69,0.0018936802,765,5.7837644,0.8869331255555153
1568768,0.026660156,-0.0075149685,542,3149.50430226326,1568768,21.103,1384.3694575800002,1713.27,0.0026659863,766,5.792354,0.9098376929759979
1570816,0.037841797,-0.005071486,511,3153.279408454895,1570816,29.384296,1384.6362727099997,1713.41,0.0039812443,767,5.809861,0.898685097694397
1572864,0.034326173,-0.0021319352,522,3157.2842705249786,1572864,12.789175,1394.4606899699997,1728.79,0.002707781,768,5.823779,0.7744360864162445
1574912,0.04091797,-0.003925167,489,3161.2011263370514,1574912,19.781742,1395.9974153799997,1728.79,0.0035223097,769,5.83815,0.8875599578022957
1576960,0.010449219,-0.0018490752,535,3165.3817987442017,1576960,18.735235,1367.64698602,1700.34,0.0009924534,770,5.8507705,0.9185675159096718
1579008,0.014990235,-0.0032567445,511,3169.205589532852,1579008,20.090307,1367.8928850999998,1700.34,0.0014527298,771,5.8533826,0.868607684969902
1581056,0.018554688,-0.0038307146,474,3173.212183713913,1581056,27.988586,1367.6830157000002,1698.28,0.001982777,772,5.857721,0.9133162796497345
1583104,0.073876955,-0.003917387,489,3177.530907392502,1583104,19.47079,1368.4407962999999,1698.28,0.00616256,773,5.874791,0.8808137327432632
1585152,0.041796874,-0.0030356762,497,3181.7190108299255,1585152,19.648638,1368.5090311000001,1698.28,0.00352456,774,5.880762,0.8773422092199326
