ep_reward_mean,time_elapsed,fps,explained_variance,policy_entropy,n_updates,serial_timesteps,value_loss,clipfrac,ep_len_mean,policy_loss,approxkl,total_timesteps
829.7348905700002,1182.8703439235687,452,0.7191444337368011,1.7588524,242,495616,8.292578,0.08613281,1443.66,0.00068190414,0.007394583,495616
840.14738616,1187.3957550525665,466,0.6134971082210541,1.7650563,243,497664,18.581736,0.054882813,1459.26,-0.001266119,0.0046096006,497664
850.3027974700001,1191.7909920215607,402,0.7522817254066467,1.7807884,244,499712,10.48381,0.06899414,1473.29,-0.0009511993,0.006406815,499712
860.68200075,1196.8749828338623,466,0.6724239885807037,1.7945774,245,501760,10.026735,0.04458008,1488.99,-0.0006087769,0.0043715658,501760
863.23789105,1201.2663633823395,436,0.8127209544181824,1.7854235,246,503808,9.05734,0.053857423,1488.99,-8.514107e-05,0.004917527,503808
869.7932545100001,1205.957939863205,435,0.6657513380050659,1.7798233,247,505856,10.865027,0.06796875,1499.16,-0.0032640318,0.005586604,505856
870.5854009799998,1210.6654889583588,449,0.773430660367012,1.7840208,248,507904,7.540573,0.067919925,1499.16,-0.0035803434,0.005748634,507904
876.0121420999999,1215.2195074558258,434,0.797837495803833,1.7879006,249,509952,8.779398,0.06035156,1506.31,-0.0036139123,0.005350836,509952
878.85521134,1219.9359004497528,435,0.8104940205812454,1.7853657,250,512000,8.013777,0.070898436,1510.11,-0.0054306765,0.005794093,512000
879.4765770599998,1224.648196697235,319,0.7057853043079376,1.7763307,251,514048,10.777831,0.057373047,1510.11,-0.00035649212,0.0051086405,514048
887.8209201399998,1231.0638082027435,429,0.743433028459549,1.7572553,252,516096,11.20949,0.06367187,1522.23,-0.001511237,0.0052650906,516096
896.34960584,1235.829968214035,412,0.7790042459964752,1.7554028,253,518144,8.396379,0.066552736,1534.64,0.0017692365,0.0057516024,518144
908.8775092199999,1240.792254447937,368,0.7153865098953247,1.7547138,254,520192,8.333712,0.053466797,1554.47,8.6420005e-05,0.0046727615,520192
914.5358924899998,1246.3513309955597,407,0.6923194527626038,1.7541902,255,522240,7.8645935,0.101464845,1562.56,-0.0035909843,0.008091302,522240
922.8261257199999,1251.38210272789,425,0.7581548541784286,1.7462299,256,524288,11.386853,0.034472656,1574.32,4.358298e-05,0.003432491,524288
933.1564009,1256.1928668022156,450,0.752753883600235,1.74018,257,526336,10.060904,0.03701172,1589.9,0.0010502733,0.0034769406,526336
943.7997573800001,1260.7408051490784,454,0.7993703931570053,1.7409872,258,528384,9.641129,0.08334961,1605.5,-0.004798437,0.0062947534,528384
956.31745278,1265.2435176372528,456,0.8159833252429962,1.745353,259,530432,7.985794,0.045458984,1625.41,-0.001606554,0.004168959,530432
968.8759981100001,1269.7335331439972,468,0.7471174895763397,1.7546623,260,532480,9.67256,0.050585937,1645.32,-0.0023226144,0.004312557,532480
977.0026930299999,1274.108488559723,467,0.7491235733032227,1.7564465,261,534528,10.3926115,0.037841797,1656.93,-0.0008872437,0.003812895,534528
