n_updates,total_timesteps,policy_entropy,clipfrac,time_elapsed,approxkl,explained_variance,policy_loss,serial_timesteps,fps,value_loss,ep_len_mean,ep_reward_mean
125,256000,4.416604,0.058691405,472.240886926651,0.00512516,0.8491730391979218,-0.00468348,256000,563,14.567761,1385.7,996.0013030899999
126,258048,4.4209566,0.042773437,475.88131070137024,0.004576976,0.97280496917665,-0.0042828238,258048,538,9.729837,1381.66,993.3371425099998
127,260096,4.4436555,0.03125,479.6857855319977,0.0029050026,0.805149033665657,-0.0037351898,260096,540,41.141136,1383.82,998.0839833200001
128,262144,4.4581347,0.06298828,483.47700572013855,0.0053814272,0.8249529451131821,-0.007069683,262144,561,14.525348,1382.43,996.9768233400002
129,264192,4.4684563,0.062646486,487.12838435173035,0.0060524093,0.9394255504012108,-0.009401341,264192,505,12.0663,1399.54,1007.7279302100002
130,266240,4.4822774,0.021386718,491.17681312561035,0.0020891652,0.7876061052083969,-0.0046376204,266240,545,36.454716,1417.03,1023.4169109999999
131,268288,4.4843335,0.011767578,494.9341962337494,0.0013058821,0.45454806089401245,-0.0023995845,268288,558,28.576565,1366.52,987.7875151700001
132,270336,4.4846506,0.053369142,498.6044363975525,0.004464875,0.9287156835198402,-0.0030983011,270336,526,13.115974,1366.52,988.4648045900001
133,272384,4.489915,0.03022461,502.4927201271057,0.00290977,0.7111249268054962,-0.004581117,272384,598,19.004717,1334.03,966.44150184
134,274432,4.501008,0.021484375,505.9168996810913,0.0022485657,0.523142397403717,-0.0039003633,274432,589,25.616022,1298.77,939.1577886899998
135,276480,4.5067954,0.04086914,509.3930244445801,0.004568686,0.9876859560608864,0.0007243387,276480,548,3.4612598,1284.75,929.0027950799999
136,278528,4.5067816,0.05307617,513.1280987262726,0.0042764945,0.9042153358459473,-0.003185148,278528,548,20.326344,1284.75,932.6023578599998
137,280576,4.5118217,0.01508789,516.8622016906738,0.0016186556,0.8890799880027771,-0.0023542535,280576,563,31.177547,1265.7,918.0597480999999
138,282624,4.5208144,0.035058595,520.4985117912292,0.0030887963,0.7820796966552734,-0.005288552,282624,587,15.408483,1208.87,868.1097368300001
139,284672,4.526671,0.040234376,523.9868557453156,0.0036210164,0.9012529477477074,-0.0048797596,284672,556,22.23071,1222.13,879.7285405900001
140,286720,4.5201063,0.050683595,527.6675970554352,0.0042546885,0.9786461088806391,-0.0068167234,286720,509,5.9562016,1221.53,879.09208644
141,288768,4.508706,0.035107423,531.6882944107056,0.0033759798,0.9015691876411438,-0.0051436173,288768,537,28.379618,1220.28,880.2941341599998
142,290816,4.499441,0.023925781,535.4984502792358,0.0020957564,0.725702702999115,-0.0025282598,290816,576,20.85386,1193.46,855.88947048
143,292864,4.501217,0.024316406,539.0549035072327,0.002896341,0.7720733880996704,-0.004058005,292864,542,19.262196,1191.51,851.2938743400002
144,294912,4.498555,0.032226562,542.8334038257599,0.0027729648,0.9015806168317795,-0.003202765,294912,596,11.240077,1198.15,854.8187690000002
145,296960,4.486319,0.03793945,546.2674300670624,0.0033942375,0.9124333262443542,-0.004622314,296960,574,20.78609,1198.15,852.4835225499999
146,299008,4.473765,0.031835936,549.836531162262,0.0033740313,0.991363282315433,0.0006283248,299008,526,2.5597816,1184.0,837.7790859400001
147,301056,4.465175,0.040625,553.7244856357574,0.0038455208,0.6980177164077759,-0.002059477,301056,540,25.098648,1184.0,837.76904362
148,303104,4.463954,0.025976563,557.5161564350128,0.002715793,0.852472260594368,-0.0041045086,303104,580,17.683771,1169.17,818.3509376200002
149,305152,4.467,0.04799805,561.0432407855988,0.00475349,0.8521851301193237,-0.0059778327,305152,566,14.263628,1169.17,814.98450585
150,307200,4.46934,0.022509765,564.6624460220337,0.002180559,0.7906305342912674,-0.0018352245,307200,563,20.868723,1136.56,779.80386979
151,309248,4.478753,0.03540039,568.3024632930756,0.0030950964,0.8632577210664749,-0.005193874,309248,604,12.808248,1116.02,759.46238758
152,311296,4.4816566,0.04921875,571.6912133693695,0.004217926,0.8962093070149422,-0.0037758648,311296,576,12.048461,1116.02,759.0331955399998
153,313344,4.488302,0.058251955,575.2483496665955,0.008449775,0.9066185429692268,-0.0023744805,313344,543,19.82998,1116.02,761.4788424100001
154,315392,4.5004835,0.07646485,579.0185043811798,0.0068752817,0.9165147691965103,-0.006048934,315392,561,11.156902,1116.02,759.6283762099999
155,317440,4.506303,0.073876955,582.66463971138,0.0057200133,0.9288416728377342,-0.0037597443,317440,533,25.05241,1099.02,748.99133381
156,319488,4.5071015,0.067919925,586.5024948120117,0.0056407596,0.8945272415876389,-0.005976494,319488,510,20.606785,1099.02,749.8049499100001
157,321536,4.511093,0.046679687,590.5139129161835,0.004083446,0.9365892484784126,-0.003985382,321536,586,4.5902667,1100.69,750.9188901799998
158,323584,4.5117164,0.055615235,594.0080664157867,0.0056091943,0.929162323474884,-0.0031249083,323584,556,12.953755,1117.54,761.4657121600001
159,325632,4.517928,0.04350586,597.6866884231567,0.0035479101,0.8955606296658516,-0.0012232913,325632,564,28.660044,1118.29,760.3147136599999
160,327680,4.511974,0.05214844,601.3165075778961,0.004437563,0.8762679100036621,-0.006997168,327680,567,20.165432,1135.21,776.56413544
