policy_entropy,time_elapsed,value_loss,approxkl,clipfrac,explained_variance,serial_timesteps,policy_loss,ep_reward_mean,ep_len_mean,fps,total_timesteps,n_updates
2.5246565,2660.040591478348,19.7181,0.004503737,0.04951172,0.7196531295776367,1087488,-0.0048958077,785.64471068,1258.16,460,1087488,531
2.5372214,2664.4856462478638,4.1160483,0.0052361684,0.066992186,0.9324755892157555,1089536,-0.005040813,779.25703632,1251.52,457,1089536,532
2.551193,2668.9636323451996,9.109358,0.005289621,0.06577148,0.8893340453505516,1091584,-0.0060686404,790.8825657200001,1267.36,458,1091584,533
2.564668,2673.4305024147034,4.415862,0.0024732654,0.022753906,0.9202412068843842,1093632,-0.002131155,790.3578619699999,1271.1,458,1093632,534
2.563758,2677.9003093242645,12.815188,0.005865897,0.0703125,0.6306115388870239,1095680,-0.0070592477,804.05271061,1291.1,436,1095680,535
2.567974,2682.5975482463837,7.0195985,0.002999238,0.033691406,0.8775843679904938,1097728,-0.0040945713,799.3198482399999,1290.85,448,1097728,536
2.571052,2687.1613113880157,8.527239,0.0061349063,0.072216794,0.8476562649011612,1099776,-0.004326311,803.7007599400001,1298.52,443,1099776,537
2.5771844,2691.7745583057404,12.887271,0.0046040704,0.046582032,0.6909722685813904,1101824,-0.0039068367,811.3360738300001,1309.47,435,1101824,538
2.5803819,2696.47576546669,8.658118,0.004178235,0.048291016,0.7947046160697937,1103872,-0.0029014999,809.3818791400001,1309.47,448,1103872,539
2.5866508,2701.04239821434,11.718579,0.005176329,0.062158205,0.6745301783084869,1105920,-0.008408388,819.40558997,1322.01,442,1105920,540
2.5912871,2705.676211118698,8.81019,0.0033445347,0.035595704,0.7817970663309097,1107968,-0.0019236278,820.5589158299999,1322.01,439,1107968,541
2.583878,2710.3414165973663,12.414481,0.004164059,0.051123045,0.8230198472738266,1110016,-0.0056241057,818.73728439,1317.71,446,1110016,542
2.5835328,2714.9287514686584,16.281258,0.003746532,0.042919923,0.7508637458086014,1112064,-0.0032249864,812.0434342399999,1306.3,444,1112064,543
2.5974998,2719.535683631897,8.655015,0.0050430414,0.058886718,0.7161028683185577,1114112,-0.0028772526,812.1839723999999,1306.3,430,1114112,544
2.6019368,2724.2912089824677,9.424879,0.0048481342,0.05883789,0.772858053445816,1116160,-0.0015611552,824.41574555,1321.55,452,1116160,545
2.5917656,2728.818247318268,9.941277,0.004468373,0.04790039,0.6811442077159882,1118208,-0.003224618,824.61295736,1321.55,450,1118208,546
2.5823896,2733.367260694504,9.902464,0.005993619,0.076367185,0.6045325994491577,1120256,-0.004169965,836.0560193699998,1338.46,427,1120256,547
2.5879881,2738.1623063087463,12.704077,0.005291166,0.05996094,0.6708917617797852,1122304,-0.0051909876,847.76863137,1353.78,439,1122304,548
2.5962377,2742.820173025131,10.152576,0.006156631,0.0796875,0.687639057636261,1124352,-0.0038471115,848.0902959299998,1353.78,442,1124352,549
2.5973268,2747.445070028305,10.217538,0.005306176,0.067871094,0.7052754461765289,1126400,-0.004509152,858.2562866899998,1367.09,455,1126400,550
2.591535,2751.9419112205505,8.977392,0.004625565,0.05053711,0.7335539758205414,1128448,-0.0021361508,866.3663646299999,1377.98,436,1128448,551
2.594701,2756.634042263031,13.725357,0.006583167,0.07558594,0.7540474534034729,1130496,-0.0047477046,852.1033152899998,1358.19,441,1130496,552
2.600264,2761.2705132961273,9.030631,0.006662544,0.074560545,0.719278872013092,1132544,-0.008132859,855.1691692099998,1361.16,445,1132544,553
2.5967524,2765.8694994449615,8.585301,0.005113988,0.059570312,0.6623604595661163,1134592,-0.0040042168,854.91130345,1361.16,440,1134592,554
2.5957143,2770.5233697891235,12.690822,0.005936804,0.07739258,0.5845157504081726,1136640,-0.0063909204,860.4036070699999,1369.72,453,1136640,555
2.5877068,2775.0365760326385,12.207037,0.0029315914,0.030810546,0.734232097864151,1138688,-0.0039768657,868.9887738299999,1381.87,457,1138688,556
2.5846627,2779.5141592025757,11.208492,0.0030348378,0.035253905,0.7388269901275635,1140736,-0.0037364787,878.2901270099999,1394.27,441,1140736,557
2.5876698,2784.155413389206,9.854492,0.004338052,0.043164063,0.8647213727235794,1142784,-0.0053044287,866.3653991699998,1377.43,452,1142784,558
2.5904214,2788.680980682373,10.316618,0.008595602,0.085791014,0.6187203824520111,1144832,-0.0044586128,865.92583872,1377.43,431,1144832,559
2.5876803,2793.4228432178497,12.429819,0.007928504,0.0815918,0.5698467791080475,1146880,-0.005273885,875.7615631200002,1391.58,439,1146880,560
2.5965965,2798.086348295212,11.333188,0.0045194896,0.049560547,0.6511240005493164,1148928,-0.005018428,887.4514921600002,1408.3,428,1148928,561
2.6010933,2802.8695199489594,16.405432,0.0043494613,0.04741211,0.7550171166658401,1150976,-0.006204606,893.91300332,1417.4,450,1150976,562
2.5912757,2807.4116287231445,10.51375,0.004655655,0.04951172,0.6895793974399567,1153024,-0.0027495914,901.05164947,1427.39,452,1153024,563
2.583321,2811.9345183372498,21.971376,0.005144673,0.059912108,0.6926945149898529,1155072,-0.005147759,896.9577838800001,1418.46,439,1155072,564
2.5867403,2816.5970215797424,10.910124,0.0035671499,0.040380858,0.7984282672405243,1157120,-0.0032466464,889.4460582099999,1407.4,449,1157120,565
2.5966437,2821.153507232666,9.763749,0.0039052493,0.0418457,0.6780303418636322,1159168,-0.0021085998,899.1136402,1421.01,439,1159168,566
2.591038,2825.8096957206726,12.571025,0.004533445,0.051757812,0.639799028635025,1161216,-0.0024938271,911.06814694,1437.9,450,1161216,567
2.590994,2830.360570907593,17.640789,0.004231156,0.04975586,0.7414760291576385,1163264,-0.00035813422,922.55605635,1453.0,454,1163264,568
2.5977507,2834.87154173851,6.462639,0.0032399925,0.035253905,0.9067203849554062,1165312,-0.0042256606,922.8497030899999,1452.34,444,1165312,569
2.5940945,2839.4826006889343,16.546627,0.0032707888,0.034863282,0.7652650028467178,1167360,-0.0020606744,920.56891309,1447.38,460,1167360,570
2.592556,2843.9265727996826,3.6861084,0.0048422315,0.055419922,0.9135653972625732,1169408,-0.0077047176,923.70284921,1452.4,441,1169408,571
2.6099246,2848.5642380714417,10.212801,0.0070199147,0.084179685,0.5599826574325562,1171456,-0.0058293045,923.0167562799999,1452.4,439,1171456,572
2.6197896,2853.2297711372375,9.133614,0.008581372,0.10576172,0.71628537774086,1173504,-0.0067556165,935.2367412399998,1470.19,457,1173504,573
2.6240144,2857.7081525325775,11.105848,0.0033750844,0.036328126,0.6626997292041779,1175552,-0.0023713775,946.79915694,1486.26,437,1175552,574
2.623449,2862.391273498535,9.977541,0.0037622633,0.040039062,0.7440412640571594,1177600,-0.0042749927,956.8886184199998,1498.8,451,1177600,575
2.6279263,2866.9293944835663,11.8320265,0.007457163,0.08520508,0.6027009189128876,1179648,-0.004506911,969.7329433799999,1516.49,420,1179648,576
2.6374004,2871.7945697307587,13.497049,0.004194374,0.04765625,0.7680340558290482,1181696,-0.0011150201,981.4827018900002,1533.42,438,1181696,577
2.6426263,2876.4675772190094,17.109558,0.0061344644,0.07124023,0.6101333796977997,1183744,-0.006135463,982.16701759,1529.28,429,1183744,578
2.6631393,2881.2349853515625,10.540463,0.004089045,0.048193358,0.5202343463897705,1185792,-0.0012164887,980.3142171300001,1529.28,431,1185792,579
2.6797824,2885.985678434372,16.195332,0.003836291,0.041796874,0.6887379288673401,1187840,-0.0025994196,989.10088612,1539.61,435,1187840,580
2.6998136,2890.6862256526947,14.005266,0.0039180545,0.047607422,0.8047794252634048,1189888,-0.0040640943,989.9697900500001,1539.36,454,1189888,581
2.734212,2895.1883499622345,11.262998,0.0041519613,0.042626955,0.8754595592617989,1191936,-0.005420845,955.8223917700002,1492.62,446,1191936,582
2.7441812,2899.77756023407,9.528097,0.0063170367,0.072070315,0.671210378408432,1193984,-0.0053043608,956.5443119300002,1492.62,434,1193984,583
2.7402453,2904.4931631088257,11.090151,0.0043134466,0.049609374,0.6248745918273926,1196032,-0.0053547914,967.6844714300003,1509.47,438,1196032,584
2.742827,2909.16379237175,13.025632,0.0039012078,0.042236328,0.8476600646972656,1198080,-0.0053181755,966.4424287100001,1504.92,443,1198080,585
2.7415743,2913.7857801914215,9.552821,0.004277588,0.047949217,0.657269299030304,1200128,-0.0020360765,966.57908736,1504.92,444,1200128,586
2.73799,2918.3923630714417,12.058221,0.005946771,0.06801758,0.5780933499336243,1202176,-0.0038249842,977.10270844,1520.0,441,1202176,587
2.7362835,2923.0363965034485,16.162045,0.004624993,0.055078126,0.7281106412410736,1204224,-0.0025023974,966.7149609500001,1503.18,443,1204224,588
2.7500472,2927.6527931690216,7.372875,0.0029430566,0.032080077,0.8223252147436142,1206272,-0.0048060073,965.9314612799999,1501.0,460,1206272,589
2.763216,2932.104635953903,20.40424,0.0037575546,0.045654297,0.8009839355945587,1208320,-0.004708487,943.80447235,1469.65,454,1208320,590
2.7623296,2936.6142563819885,11.964167,0.0040277364,0.04350586,0.6150168180465698,1210368,-0.0025027946,943.37119228,1469.65,445,1210368,591
2.7565835,2941.2089743614197,10.600904,0.0036029168,0.040527344,0.725173145532608,1212416,-0.0024695783,943.82327001,1469.65,458,1212416,592
2.7542877,2945.6742255687714,11.531673,0.0053779273,0.06201172,0.6154187321662903,1214464,-0.005834495,943.7159296200001,1469.65,447,1214464,593
2.7539115,2950.2514576911926,10.4643345,0.005021925,0.062109374,0.5503524839878082,1216512,-0.0021382682,943.1568557,1469.65,440,1216512,594
2.7665758,2954.905875682831,11.116438,0.0060668956,0.07485352,0.34820878505706787,1218560,-0.0024277265,952.9320676899999,1483.35,434,1218560,595
2.7659276,2959.621929883957,4.816949,0.0032051005,0.033251952,0.9130584374070168,1220608,-0.003269796,950.7097766899999,1482.62,442,1220608,596
2.7606506,2964.253123998642,11.547174,0.0021678149,0.018945312,0.6392624080181122,1222656,-0.0020178682,961.61030953,1498.31,434,1222656,597
2.7584472,2968.96364736557,11.087135,0.0037762665,0.043359376,0.7596662491559982,1224704,-0.003135372,961.97166974,1498.31,439,1224704,598
2.753539,2973.626533269882,16.567965,0.0031577745,0.029736329,0.652497410774231,1226752,-0.005352964,959.2644945300001,1492.8,440,1226752,599
2.7456949,2978.275193452835,9.87435,0.0039201966,0.04145508,0.7171293199062347,1228800,-0.0032200746,972.4821421499998,1510.75,445,1228800,600
2.7448113,2982.8724064826965,17.564888,0.007644518,0.075732425,0.814315140247345,1230848,-0.010141579,938.5242250700003,1462.95,455,1230848,601
2.741551,2987.3704578876495,8.919744,0.005394198,0.060595702,0.7093269526958466,1232896,-0.0015676304,950.6225985900002,1479.73,454,1232896,602
2.7438066,2991.879582643509,17.94254,0.005908257,0.06679688,0.5322704017162323,1234944,-0.0033228218,950.46669856,1478.34,429,1234944,603
2.757352,2996.64403963089,17.80066,0.003090175,0.03330078,0.823986142873764,1236992,-0.004307721,931.5682060400001,1443.91,458,1236992,604
2.774405,3001.1067345142365,13.577711,0.0056947456,0.07011719,0.7316808104515076,1239040,-0.0065876953,921.7324610100001,1424.25,449,1239040,605
2.7893856,3005.6679680347443,9.222754,0.0065045124,0.08291016,0.7782347798347473,1241088,-0.0031816424,923.93126091,1424.25,451,1241088,606
2.7991982,3010.20387673378,17.681164,0.0037440718,0.03857422,0.6806496381759644,1243136,-0.0052383244,913.8742356600001,1407.62,455,1243136,607
2.8112798,3014.7025096416473,10.764212,0.0045865304,0.050732423,0.7040294408798218,1245184,-0.0015662707,913.5400093400001,1407.62,447,1245184,608
2.823257,3019.2805364131927,11.012039,0.002247975,0.021337891,0.8560539036989212,1247232,-0.004051852,889.0009530300001,1374.77,441,1247232,609
