fps,serial_timesteps,ep_len_mean,policy_entropy,clipfrac,explained_variance,approxkl,n_updates,policy_loss,total_timesteps,ep_reward_mean,value_loss,time_elapsed
456,229376,1480.73,3.0438182,0.036474608,0.847707211971283,0.0033446234,112,-0.0054513603,229376,931.6707880200001,15.42364,548.5077166557312
468,231424,1480.73,3.0574448,0.03388672,0.8359923213720322,0.0030544922,113,-0.0040410273,231424,932.1461578000002,8.645492,552.9959151744843
468,233472,1463.77,3.066052,0.039892577,0.9058857187628746,0.0036706286,114,-0.004190275,233472,920.1847367400001,6.487269,557.3694889545441
442,235520,1463.77,3.0755012,0.039111327,0.8127387464046478,0.0032380794,115,-0.0029483014,235520,920.4232072700001,11.875574,561.7435629367828
448,237568,1480.67,3.089306,0.04711914,0.7783303111791611,0.0040865284,116,-0.0046568075,237568,932.30888854,11.231989,566.370701789856
466,239616,1480.67,3.0941107,0.026123047,0.8222305476665497,0.00265773,117,-0.0039819283,239616,933.0431881300001,10.032705,570.9370319843292
458,241664,1480.67,3.0938141,0.028857421,0.8221662044525146,0.002735021,118,-0.0018158465,241664,932.8170627300002,9.97924,575.323876619339
436,243712,1488.19,3.0874248,0.055566408,0.7453011870384216,0.0046551833,119,-0.0043570274,243712,938.7551436300001,21.631855,579.7921040058136
455,245760,1488.19,3.0831213,0.03046875,0.7933595925569534,0.0029957911,120,-0.0019784614,245760,938.49662941,13.362549,584.4879603385925
453,247808,1496.67,3.076161,0.04160156,0.8322624564170837,0.003772501,121,-0.004527699,247808,944.78730221,9.633267,588.9833641052246
445,249856,1496.67,3.073961,0.056640625,0.7573185116052628,0.005525648,122,-0.002118863,249856,945.7458532500001,11.580352,593.5005509853363
451,251904,1496.67,3.0728877,0.04296875,0.8871630877256393,0.003919378,123,-0.0045772633,251904,946.4689124,6.674922,598.0989961624146
464,253952,1496.67,3.0701945,0.034228515,0.7741933912038803,0.0031089082,124,-0.0009394041,253952,947.8197364999999,12.47289,602.6388580799103
457,256000,1496.67,3.067126,0.046972655,0.8565273880958557,0.0039354945,125,-0.0034070183,256000,948.9855784699998,9.485085,607.0486946105957
461,258048,1496.67,3.0659368,0.024267578,0.8308159857988358,0.0024350756,126,-0.0019052161,258048,949.9347954500001,9.038003,611.5266568660736
444,260096,1514.15,3.0557919,0.034277342,0.8120694756507874,0.0032285429,127,-0.0038208652,260096,961.2797950000003,11.158348,615.9669935703278
446,262144,1514.15,3.0495346,0.016015625,0.8095690011978149,0.0016784534,128,-0.001520545,262144,961.29191827,10.5885,620.5702018737793
437,264192,1527.5,3.0540452,0.06772461,0.8583095967769623,0.0063922233,129,-0.0060661007,264192,972.11367582,11.831328,625.1614925861359
448,266240,1545.4,3.0564654,0.028808594,0.7920521199703217,0.0028944467,130,-0.0015983504,266240,984.3719783,11.466775,629.841105222702
477,268288,1541.47,3.0585322,0.040136717,0.9426150470972061,0.0035075315,131,-0.008368187,268288,982.69535616,4.235379,634.4113855361938
466,270336,1525.6,3.069115,0.029589843,0.7406401932239532,0.0033786085,132,-0.0028786263,270336,970.4247165699999,26.872608,638.7032210826874
449,272384,1525.6,3.0742934,0.044140626,0.8501149713993073,0.003713989,133,-0.0029847985,272384,971.5842413299999,9.007262,643.0945827960968
450,274432,1526.27,3.0726047,0.045410156,0.9208753630518913,0.0046179052,134,-0.0063681975,274432,972.16643402,6.0829806,647.650470495224
454,276480,1526.27,3.0661137,0.03652344,0.7986487299203873,0.003349164,135,-0.0021546984,276480,972.3606988700001,12.11069,652.1964044570923
454,278528,1474.36,3.064949,0.034228515,0.7709684371948242,0.003391667,136,-0.0024372933,278528,936.6829370899998,28.264164,656.7058007717133
472,280576,1474.36,3.0723913,0.053027343,0.8607503920793533,0.0046640923,137,-0.004102527,280576,937.93776785,9.383232,661.2159171104431
442,282624,1474.36,3.067119,0.060058594,0.8049331307411194,0.0057310513,138,-0.0016872702,282624,937.8990888999999,10.65416,665.5530483722687
439,284672,1475.39,3.0532582,0.051416017,0.83328977227211,0.0044122273,139,-0.0055702524,284672,938.3204757999999,16.677757,670.1777052879333
442,286720,1475.39,3.0644963,0.09448242,0.7407447695732117,0.008409371,140,0.00019434957,286720,938.0968154200001,11.433435,674.8422286510468
488,288768,1494.0,3.0721822,0.031445313,0.8222259879112244,0.0030386995,141,-0.0032183304,288768,951.16718796,11.866762,679.4720976352692
482,290816,1476.86,3.0667014,0.06303711,0.9562364891171455,0.00564897,142,-0.00529088,290816,938.97777886,2.9078817,683.6653139591217
484,292864,1476.86,3.0644093,0.037060548,0.872488722205162,0.0035116957,143,-0.0054057343,292864,940.75000245,7.017916,687.9083709716797
470,294912,1458.3,3.053865,0.06123047,0.815314769744873,0.0056566545,144,-0.0032658093,294912,928.72755733,14.177755,692.1321008205414
470,296960,1478.21,3.0478995,0.027148437,0.8364894688129425,0.0023717803,145,-0.002298525,296960,941.15033103,10.786916,696.4824140071869
461,299008,1478.21,3.052804,0.020068359,0.8071905076503754,0.00207996,146,-0.001489083,299008,942.1659730499999,12.860247,700.8353047370911
471,301056,1426.86,3.053547,0.064257815,0.8307231813669205,0.008349255,147,-0.009952909,301056,906.94067931,21.668015,705.2744796276093
450,303104,1426.86,3.0541809,0.025976563,0.8622539043426514,0.0025872039,148,-0.0050572404,303104,907.9776003000001,9.806014,709.6156113147736
473,305152,1438.56,3.0525994,0.046728514,0.8734229505062103,0.0040777014,149,-0.00426844,305152,917.5389134199999,17.43383,714.1582183837891
482,307200,1438.56,3.053613,0.011669922,0.8678526133298874,0.001569481,150,-0.0012325039,307200,918.01054625,10.071972,718.4867649078369
416,309248,1457.35,3.0538754,0.028857421,0.8768579959869385,0.0027148123,151,-0.002458326,309248,931.3207885099999,8.843541,722.7353887557983
442,311296,1457.35,3.0549667,0.03754883,0.8438731729984283,0.003392612,152,-0.0036822334,311296,931.9894391799999,12.636099,727.6540038585663
445,313344,1427.44,3.0517306,0.025830079,0.8630934208631516,0.0026126916,153,-0.0028789176,313344,910.2922316,12.975355,732.2850019931793
454,315392,1427.44,3.0455222,0.029443359,0.8571626394987106,0.0030826258,154,-0.002050404,315392,910.9635475400001,9.5698185,736.8793663978577
446,317440,1373.13,3.0456047,0.06933594,0.7825780510902405,0.0064308667,155,-0.0044061616,317440,873.03274378,29.306107,741.3900825977325
447,319488,1373.13,3.058147,0.048779298,0.7790649086236954,0.0045941933,156,-0.004362072,319488,871.4869558799999,11.745842,745.9825758934021
444,321536,1372.37,3.054608,0.027246093,0.940168734639883,0.0025239917,157,-0.0040071257,321536,871.16239212,4.352008,750.5572969913483
469,323584,1357.79,3.0539272,0.051367186,0.8545927405357361,0.004198692,158,-0.0048120604,323584,862.0462802700001,17.406555,755.1648051738739
466,325632,1341.68,3.0685627,0.040380858,0.7967782616615295,0.0037977186,159,-0.003989943,325632,851.4113060200002,24.3163,759.5302021503448
