value_loss,fps,clipfrac,approxkl,time_elapsed,ep_len_mean,serial_timesteps,policy_loss,ep_reward_mean,policy_entropy,total_timesteps,explained_variance,n_updates
13.889305,566,0.06894531,0.005909176,1793.2159957885742,1629.19,952320,-0.0034883264,1082.6556021600002,2.6330383,952320,0.621606707572937,465
13.921901,563,0.06757812,0.0056726313,1796.83398103714,1629.19,954368,-0.0035759802,1082.38518345,2.635244,954368,0.6009770035743713,466
13.958565,573,0.068115234,0.0057268473,1800.46572971344,1629.19,956416,-0.0012358164,1083.62288325,2.6454914,956416,0.697117269039154,467
10.011652,568,0.051367186,0.004286733,1804.0371761322021,1644.51,958464,-0.0021485207,1095.05437436,2.6513324,958464,0.7724674344062805,468
19.922838,579,0.028076172,0.002914559,1807.637719154358,1637.21,960512,-0.0017112365,1090.04989393,2.6448293,960512,0.7663582414388657,469
9.374155,538,0.042773437,0.0037035581,1811.1740431785583,1619.75,962560,-0.0051718326,1077.38823217,2.6458008,962560,0.765327051281929,470
20.362053,579,0.04091797,0.003685447,1814.9798781871796,1602.14,964608,-0.0033324424,1064.0269704500001,2.6453896,964608,0.639251172542572,471
29.202387,562,0.038232423,0.0032630402,1818.514140844345,1568.48,966656,-0.0034724758,1040.66027548,2.6500244,966656,0.7049579620361328,472
10.607305,543,0.06479492,0.00541945,1822.1563866138458,1588.4,968704,-0.003352747,1054.9978828000003,2.6588001,968704,0.7672779858112335,473
10.265376,508,0.05332031,0.004462523,1825.9238197803497,1588.4,970752,-0.00435988,1055.84126119,2.6690917,970752,0.7282264530658722,474
8.948761,534,0.051513672,0.004237985,1829.9535386562347,1607.64,972800,-0.005090873,1069.8451222100002,2.6822069,972800,0.8123575896024704,475
11.705019,546,0.032128908,0.0029587923,1833.7846384048462,1607.64,974848,-0.0018280189,1070.7827337800002,2.696105,974848,0.7321629524230957,476
11.732977,558,0.057519533,0.005131557,1837.5337822437286,1607.64,976896,-0.0047951145,1071.3772941700001,2.7065825,976896,0.6655156314373016,477
4.0701303,561,0.045898438,0.0039050584,1841.198266506195,1609.69,978944,-0.0040530795,1073.8437136800003,2.7205405,978944,0.91542799025774,478
9.897109,557,0.045654297,0.0039521367,1844.8457486629486,1609.69,980992,-0.0030307653,1074.1193393600001,2.720485,980992,0.7548961937427521,479
17.21692,494,0.05415039,0.005204697,1848.5185806751251,1612.34,983040,-0.003874832,1075.32792254,2.7110171,983040,0.7683179527521133,480
6.5322266,427,0.056103516,0.0047988673,1852.6626677513123,1599.79,985088,-0.0042978264,1065.68682874,2.7112308,985088,0.8192589730024338,481
9.750552,396,0.071826175,0.0062408494,1857.4525966644287,1599.79,987136,-0.00741579,1065.2892624,2.7136352,987136,0.7293636798858643,482
18.167887,375,0.050976563,0.0041060434,1862.6189477443695,1576.19,989184,-0.007661273,1049.13569631,2.717412,989184,0.7928379327058792,483
12.736213,434,0.050585937,0.004490505,1868.0758140087128,1576.19,991232,-0.0034466744,1049.47012193,2.7263408,991232,0.5884491503238678,484
7.3608603,472,0.047460936,0.004349888,1872.7902381420135,1562.8,993280,-0.0020465774,1040.92032786,2.7291284,993280,0.8530033081769943,485
10.728993,487,0.045410156,0.004238658,1877.1215405464172,1562.8,995328,-0.00351239,1040.39707219,2.7185023,995328,0.6952209770679474,486
13.9321,478,0.042138673,0.0037242256,1881.3192698955536,1578.91,997376,-0.005488078,1052.68432939,2.7165134,997376,0.678199976682663,487
12.904828,537,0.02631836,0.0026131454,1885.5992076396942,1592.68,999424,-0.0010534475,1062.71112831,2.7145574,999424,0.6725357472896576,488
20.294703,523,0.055273436,0.0057294816,1889.4096670150757,1613.94,1001472,-0.0066225184,1078.25997212,2.7044356,1001472,0.6461162269115448,489
9.082557,553,0.06704102,0.005459459,1893.325442314148,1620.41,1003520,-0.0018658906,1084.28159407,2.699226,1003520,0.7376076281070709,490
13.950063,524,0.054785155,0.005170699,1897.0266373157501,1602.03,1005568,-0.0044715875,1073.4374264300002,2.7052772,1005568,0.7945467829704285,491
17.970135,532,0.046972655,0.0043664044,1900.9337964057922,1591.74,1007616,0.00022182074,1068.89741587,2.7019181,1007616,0.7287465631961823,492
11.314615,558,0.0659668,0.0053267144,1904.7806613445282,1603.69,1009664,-0.007079101,1077.89038143,2.7025723,1009664,0.7196598947048187,493
10.10137,562,0.054638673,0.0053244047,1908.448683977127,1592.75,1011712,-0.0044685933,1070.96676504,2.7107232,1011712,0.7673522382974625,494
11.750976,552,0.0519043,0.0050045145,1912.087265253067,1592.75,1013760,-0.0018676899,1072.5401350299999,2.7169344,1013760,0.6850152313709259,495
9.1895685,564,0.04296875,0.003826838,1915.7976217269897,1608.38,1015808,-0.0027363242,1083.43008823,2.7239516,1015808,0.7406300604343414,496
9.621717,534,0.06523438,0.0057320674,1919.4256472587585,1608.38,1017856,-0.0023506924,1083.90894325,2.7378669,1017856,0.7655660510063171,497
17.05955,558,0.055566408,0.004593081,1923.2585089206696,1613.78,1019904,-0.004808248,1087.69627958,2.7552743,1019904,0.8150036036968231,498
10.286071,567,0.06801758,0.00785494,1926.926078081131,1613.78,1021952,-0.010977203,1087.2110226,2.7651005,1021952,0.6997957825660706,499
8.307313,571,0.05698242,0.0050822743,1930.5365450382233,1601.14,1024000,-0.0062421556,1078.28799704,2.7746289,1024000,0.8278531581163406,500
21.138613,561,0.05859375,0.0051953592,1934.1229407787323,1590.56,1026048,-0.0038534354,1072.79887231,2.7841623,1026048,0.6659372448921204,501
9.869255,571,0.03354492,0.0036924307,1937.7697694301605,1590.56,1028096,-0.00051720935,1074.1778407600002,2.7961102,1028096,0.7247554361820221,502
10.623901,567,0.03618164,0.003223991,1941.356421470642,1590.56,1030144,-0.0039099,1074.51991795,2.803639,1030144,0.7464470267295837,503
13.764696,567,0.062402345,0.005216123,1944.9684901237488,1590.56,1032192,-0.0017368529,1074.3047206,2.805225,1032192,0.629766970872879,504
5.1930685,571,0.0362793,0.0035720984,1948.5800800323486,1583.32,1034240,-0.004464035,1070.491297,2.8007078,1034240,0.8967434614896774,505
9.950307,519,0.084033206,0.007238681,1952.1619958877563,1602.0,1036288,-0.0032397273,1083.65539064,2.8042197,1036288,0.6170049011707306,506
10.958231,545,0.036376953,0.0032258425,1956.1038582324982,1617.01,1038336,-0.005041577,1093.75308143,2.816824,1038336,0.7069892585277557,507
9.427535,550,0.05126953,0.0043304497,1959.8604373931885,1617.01,1040384,-0.002086657,1094.7263047000001,2.8159707,1040384,0.7363041937351227,508
3.6499915,554,0.034277342,0.0034043626,1963.5805778503418,1615.08,1042432,-0.002809336,1094.06046115,2.8132463,1042432,0.9303322434425354,509
25.093021,570,0.029003907,0.0029901625,1967.2769994735718,1570.45,1044480,-0.0029111223,1062.92344973,2.816692,1044480,0.7867407649755478,510
4.798579,559,0.03696289,0.0036157954,1970.865948677063,1552.83,1046528,-0.004360915,1050.24163135,2.8240979,1046528,0.8824518024921417,511
16.557959,541,0.05913086,0.0051313406,1974.5272142887115,1535.09,1048576,-0.0061338604,1037.8498835,2.8156974,1048576,0.7623484283685684,512
11.859243,523,0.080761716,0.00669368,1978.3118405342102,1535.09,1050624,-0.001920413,1038.07986831,2.8175063,1050624,0.551164835691452,513
9.976972,556,0.045654297,0.0040427716,1982.2259511947632,1551.52,1052672,-0.0026038138,1048.89594086,2.8238661,1052672,0.7814719974994659,514
10.149728,539,0.048095703,0.0040570186,1985.9083497524261,1551.52,1054720,-0.0023982697,1051.8955666699999,2.8323166,1054720,0.7550434321165085,515
