n_updates,fps,explained_variance,approxkl,policy_entropy,clipfrac,policy_loss,time_elapsed,serial_timesteps,total_timesteps,value_loss,ep_len_mean,ep_reward_mean
150,401,-0.0011228322982788086,0.0043892004,4.233806,0.05288086,0.00015202427,795.0308797359467,307200,307200,20.268574,1280.77,1272.45297505
151,408,0.7927423268556595,0.0024787642,4.236452,0.018164063,0.00044253626,800.128583908081,309248,309248,24.364017,1260.55,1252.30036527
152,383,0.6709741055965424,0.004374328,4.244389,0.04848633,-0.0010212122,805.1431472301483,311296,311296,22.282185,1240.32,1232.1057757400001
153,405,0.005037248134613037,0.0035886257,4.243905,0.03793945,-0.00017159607,810.482839345932,313344,313344,20.118755,1260.54,1252.26661545
154,405,0.6836981773376465,0.005978424,4.2461143,0.07285156,-0.001427484,815.5309190750122,315392,315392,21.458952,1260.54,1252.2559638000002
155,379,0.871637225151062,0.002273693,4.2456636,0.019433593,0.0003935139,820.5850443840027,317440,317440,26.676891,1199.89,1191.77833127
156,358,0.7997744977474213,0.004974228,4.2380605,0.06362305,-0.0016454257,825.9869191646576,319488,319488,23.29498,1179.67,1171.58638876
157,334,-0.001588582992553711,0.0028002593,4.2359533,0.025830079,-0.0010610903,831.7032527923584,321536,321536,20.186085,1199.89,1191.77942857
158,394,0.6810193955898285,0.005945164,4.234487,0.075,-0.003017357,837.8185579776764,323584,323584,21.935886,1220.11,1211.98204942
159,330,-0.0014771223068237305,0.0041162088,4.244974,0.049707033,5.002157e-05,843.0119082927704,325632,325632,20.120216,1220.11,1212.0519272200002
160,363,0.6768443882465363,0.0012306961,4.2507906,0.0071777343,3.1854077e-05,849.200587272644,327680,327680,21.590359,1199.88,1191.9304450299999
161,390,-0.0044841766357421875,0.0026013374,4.2582307,0.026806641,-0.0006875606,854.8419904708862,329728,329728,20.078154,1199.88,1192.02801664
162,379,0.6803293228149414,0.0022836647,4.261996,0.013574218,-4.331888e-05,860.0806293487549,331776,331776,21.785696,1179.66,1172.06141642
163,386,0.6877501904964447,0.0063550323,4.266532,0.07890625,-0.0012942643,865.4775390625,333824,333824,21.43138,1179.64,1172.19995627
164,410,-0.00553441047668457,0.002739394,4.258074,0.024365235,-0.0010887735,870.7709205150604,335872,335872,20.010838,1179.64,1172.2769660300003
165,440,0.005119681358337402,0.0044724327,4.2570634,0.053027343,-0.002125624,875.7606213092804,337920,337920,19.855253,1199.83,1192.41577341
166,412,0.6870191693305969,0.0056431787,4.2676272,0.074072264,-0.0005973513,880.4130291938782,339968,339968,21.32266,1199.82,1192.43762601
167,428,0.6889577805995941,0.005596631,4.278043,0.0690918,-0.0022086657,885.3834140300751,342016,342016,21.275848,1179.6,1172.3741434799997
168,396,0.020350515842437744,0.0035340837,4.2799177,0.037744142,-0.0003522413,890.1683921813965,344064,344064,19.875452,1179.6,1172.37513761
169,454,0.019245386123657227,0.0023782768,4.2820444,0.02211914,-0.0006357325,895.3374433517456,346112,346112,20.045427,1179.6,1172.4312133699998
170,416,0.6683208346366882,0.0047570243,4.2823896,0.059814453,-0.0016750073,899.8452479839325,348160,348160,22.200628,1199.82,1192.62801439
171,401,0.7975921928882599,0.0025767752,4.2863436,0.025830079,-0.000958673,904.7613310813904,350208,350208,23.568716,1179.61,1172.4837712800002
172,417,0.010302960872650146,0.0036977772,4.2865357,0.041552734,-0.00011920261,909.8583443164825,352256,352256,20.055351,1199.83,1192.67957194
173,411,0.6933429539203644,0.003101254,4.288708,0.030664062,-0.0013982859,914.7621624469757,354304,354304,21.781517,1179.63,1172.7354701400002
174,461,-0.01131296157836914,0.001741378,4.2967305,0.010644531,0.00037500606,919.7401306629181,356352,356352,20.33718,1199.85,1192.9324859
175,437,0.0003153085708618164,0.005471167,4.3041778,0.068847656,-0.002013426,924.1832320690155,358400,358400,20.188274,1199.85,1193.07748957
176,435,0.001030564308166504,0.0034203262,4.316533,0.037646484,-0.00035704157,928.8652794361115,360448,360448,20.08131,1199.85,1193.21881801
177,403,0.8060207813978195,0.0016333673,4.335903,0.014550781,-0.000912492,933.5690484046936,362496,362496,22.69732,1179.65,1173.39616817
178,390,-0.0035523176193237305,0.004480477,4.3510866,0.054785155,-0.0008624022,938.6452703475952,364544,364544,20.006977,1179.65,1173.5476303100002
179,406,-0.004448294639587402,0.0012393367,4.3531303,0.0056152344,-0.00049635425,943.8843643665314,366592,366592,19.800005,1179.65,1173.682867
180,406,0.0044828057289123535,0.0015323303,4.359901,0.015576172,-0.00036525988,948.925696849823,368640,368640,19.700024,1199.87,1193.81625758
181,429,0.01562678813934326,0.004338636,4.3606744,0.05239258,-0.0012612368,953.9614560604095,370688,370688,19.617142,1220.09,1213.9702523
182,421,0.6886615753173828,0.0030700918,4.3560996,0.02890625,-0.0005190609,958.7307646274567,372736,372736,21.70201,1199.89,1193.96656292
183,431,-0.009902715682983398,0.0021109115,4.3529906,0.0171875,-0.0011160852,963.5859549045563,374784,374784,19.860918,1199.89,1193.9998958
184,413,-0.001501917839050293,0.002169124,4.3600063,0.025,-0.0005737328,968.3319625854492,376832,376832,19.717384,1199.89,1194.00779913
185,401,0.021221160888671875,0.0008888267,4.368845,0.0064453124,-0.0010212731,973.2909350395203,378880,378880,19.533714,1199.89,1194.0001565999999
186,391,0.004740715026855469,0.0015833862,4.3772273,0.007910157,0.0003038845,978.397518157959,380928,380928,19.773563,1199.89,1194.0744511599999
187,433,0.022987067699432373,0.005998115,4.384455,0.076367185,-0.0027190384,983.6319017410278,382976,382976,19.46088,1199.89,1194.1587970699998
188,440,0.004034698009490967,0.0019116182,4.4013095,0.01953125,-0.0005752584,988.3592441082001,385024,385024,19.621891,1199.89,1194.24554883
189,415,-0.023586153984069824,0.00096440763,4.4176607,0.004199219,0.0006104635,993.006266117096,387072,387072,19.853807,1220.11,1214.3874368299998
190,435,0.0074732303619384766,0.0041651814,4.4253955,0.045898438,-0.0005766411,997.9323918819427,389120,389120,19.34531,1220.11,1214.4708532500001
191,441,0.6890334784984589,0.0031351931,4.428115,0.029541016,0.0005701647,1002.6399147510529,391168,391168,21.228693,1240.34,1234.6189063
192,428,-0.00021457672119140625,0.0017094072,4.4330745,0.015380859,-1.4877529e-05,1007.2836017608643,393216,393216,19.835484,1260.56,1254.7901292400002
193,420,-0.011748909950256348,0.0052669207,4.442198,0.068359375,-0.0017522173,1012.0625126361847,395264,395264,20.080462,1260.56,1254.91845773
194,387,0.0034551024436950684,0.0032639268,4.449752,0.03666992,-0.0016115385,1016.9334528446198,397312,397312,19.962059,1260.56,1255.06092327
195,411,0.6907247006893158,0.0019401098,4.4714756,0.020458985,-0.00047350087,1022.2194619178772,399360,399360,21.958378,1260.57,1255.18129178
196,428,0.7995808571577072,0.003881431,4.486711,0.04482422,-0.0006405072,1027.199066400528,401408,401408,23.427671,1260.58,1255.2802363
197,456,0.011841118335723877,0.008999156,4.4933667,0.13452148,-0.0038279637,1031.9773797988892,403456,403456,19.840845,1260.58,1255.34746447
198,404,-0.007802128791809082,0.0023068287,4.507178,0.021875,-0.00027778157,1036.461749792099,405504,405504,20.180227,1280.8,1275.51319636
199,454,-0.005363941192626953,0.0017534988,4.502288,0.010693359,-0.00041269255,1041.5244753360748,407552,407552,20.237503,1301.02,1295.6885637
200,416,-0.001330256462097168,0.0033662356,4.499589,0.03701172,-0.00053735235,1046.027174949646,409600,409600,20.167397,1301.02,1295.79757099
201,405,0.6831277310848236,0.0016433873,4.5122366,0.013427734,-0.0003419179,1050.9461653232574,411648,411648,21.811527,1301.01,1295.8665043199999
202,432,0.6871368288993835,0.0023059666,4.5083528,0.018603515,-0.0012280233,1055.9917771816254,413696,413696,21.888632,1300.99,1295.9439823999999
203,449,-0.002857685089111328,0.0013549203,4.5058355,0.008154297,0.00021302266,1060.7252674102783,415744,415744,19.99352,1300.99,1296.02159389
204,410,0.7906669676303864,0.0015231313,4.5073028,0.015478516,-0.00058529235,1065.2821743488312,417792,417792,24.288473,1280.78,1276.0502792700001
205,342,0.7960154265165329,0.00087108335,4.520928,0.0064941407,1.8704683e-06,1070.2711358070374,419840,419840,24.250969,1280.82,1276.2369432599999
206,256,-0.0034760236740112305,0.0035906967,4.528837,0.03696289,-0.001975775,1076.2453241348267,421888,421888,19.894138,1280.82,1276.3475208900004
207,382,0.8121638745069504,0.0008652338,4.5115943,0.0048828125,-0.0011165221,1084.2265074253082,423936,423936,22.451197,1260.62,1256.39872531
208,347,0.7929897606372833,0.0032759807,4.501888,0.03725586,-0.001668993,1089.5787003040314,425984,425984,26.114902,1280.85,1276.59079717
209,323,0.9979852058459073,0.0026922044,4.5097804,0.03334961,-0.0029965302,1095.478637456894,428032,428032,0.06509602,1260.64,1256.48373309
210,412,-0.01849079132080078,0.005827045,4.5204573,0.07866211,-0.0047631646,1101.8183743953705,430080,430080,18.4409,1260.64,1256.47663558
211,420,0.0053522586822509766,0.0022904251,4.5212307,0.019970704,-0.0018898167,1106.779858827591,432128,432128,18.49655,1280.86,1276.58888985
212,437,-0.011255264282226562,0.0014543624,4.5105796,0.0036621094,0.00023719808,1111.6537456512451,434176,434176,18.624132,1280.86,1276.55771422
213,434,-0.0044602155685424805,0.0029247212,4.5029697,0.035595704,-0.0018557018,1116.3338367938995,436224,436224,18.735014,1280.86,1276.47256927
214,380,0.006514251232147217,0.0021885925,4.502434,0.021386718,-0.0031710756,1121.0476377010345,438272,438272,18.51553,1280.86,1276.3757077799999
215,389,0.6921775043010712,0.0044541643,4.502911,0.057275392,-0.004019278,1126.4376561641693,440320,440320,20.24216,1301.08,1296.39772922
216,419,0.6860759556293488,0.0009667178,4.5077524,0.0076660155,-0.00060493906,1131.6897594928741,442368,442368,21.039265,1301.09,1296.26910521
217,453,0.6924741268157959,0.006035774,4.506386,0.07475586,-0.0033211452,1136.5759932994843,444416,444416,20.906742,1280.88,1275.96313711
218,439,0.010041356086730957,0.0022479496,4.500566,0.016308594,-0.00035530498,1141.088805437088,446464,446464,19.419872,1301.1,1295.99220097
219,438,-0.003317117691040039,0.003414914,4.5011787,0.044287108,-0.0018771645,1145.7446279525757,448512,448512,19.64278,1301.1,1295.90083458
220,423,0.005950331687927246,0.0028625312,4.5058937,0.029248048,0.00019263488,1150.415048122406,450560,450560,19.38637,1321.32,1315.93890356
221,449,0.016379892826080322,0.0015856258,4.5160556,0.012207031,-8.875195e-05,1155.2572855949402,452608,452608,19.22607,1341.54,1335.94564834
222,437,0.6938967406749725,0.003509403,4.5198164,0.039013673,-0.0013223157,1159.8144199848175,454656,454656,20.879189,1361.77,1355.9742941900001
223,456,0.010333478450775146,0.0029575753,4.528282,0.030664062,-0.0012774362,1164.4910941123962,456704,456704,19.29821,1361.77,1355.8356641899998
