n_updates,fps,clipfrac,explained_variance,total_timesteps,ep_len_mean,value_loss,time_elapsed,policy_loss,approxkl,serial_timesteps,policy_entropy,ep_reward_mean
94,588,0.04638672,0.08297097682952881,192512,1671.86,1.3227187,331.5028817653656,-0.0015961645,0.0040860823,192512,1.8051996,373.47258138000007
95,594,0.09052734,0.10959410667419434,194560,1684.83,1.3358676,334.98105096817017,-0.0037924529,0.007161761,194560,1.7984339,377.79339592
96,598,0.070654295,0.07918292284011841,196608,1702.01,1.4351871,338.4242305755615,-0.0033145864,0.005291428,196608,1.7992318,382.69303538
97,592,0.07119141,0.12729710340499878,198656,1719.33,1.3722851,341.8447802066803,-0.0018309221,0.005527996,198656,1.7958208,387.6864446200001
98,587,0.075683594,0.1846611499786377,200704,1737.73,1.4464772,345.3045492172241,-0.0040072827,0.005772266,200704,1.7944641,392.9934845
99,583,0.051660158,0.11541640758514404,202752,1753.3,1.4735596,348.7918510437012,-0.0029302267,0.0044993297,202752,1.7987604,398.02832118
100,586,0.041308593,0.2018035650253296,204800,1770.81,1.4266526,352.29971051216125,-0.00092341413,0.0037147305,204800,1.7998116,403.36458315999994
101,587,0.03330078,0.17659854888916016,206848,1786.77,1.572057,355.79375171661377,-0.0006256734,0.003249269,206848,1.7950293,408.46361945999996
102,588,0.03959961,0.20381712913513184,208896,1804.96,1.4585111,359.28155493736267,-0.00026806217,0.00362224,208896,1.7974373,413.77450022
103,587,0.06020508,0.20044034719467163,210944,1822.68,1.4878315,362.762145280838,-0.0029945043,0.005042776,210944,1.8061533,418.88760419
104,574,0.070898436,0.16159588098526,212992,1840.6,1.5660577,366.2464861869812,-0.0036593725,0.005930073,212992,1.8007772,424.01843005
105,585,0.06357422,0.14050239324569702,215040,1858.82,1.5706822,369.8120460510254,-0.0026700427,0.0051314645,215040,1.7899837,429.26429389
106,589,0.042333983,0.1509237289428711,217088,1876.01,1.5736885,373.3123953342438,-0.0028712912,0.0036953394,217088,1.7801508,434.47034608
107,576,0.068603516,0.20242691040039062,219136,1891.99,1.5605209,376.7843449115753,-0.0019606403,0.0060210703,219136,1.7791789,439.50411082000005
