approxkl,policy_loss,time_elapsed,fps,total_timesteps,ep_len_mean,policy_entropy,clipfrac,explained_variance,n_updates,serial_timesteps,value_loss,ep_reward_mean
0.0047419,-0.0022806562,571.3619210720062,618,333824,1156.63,1.957029,0.056103516,0.725889652967453,163,333824,10.953745,529.8873546
0.0019551262,-0.0008957532,574.6727409362793,605,335872,1116.57,1.9721428,0.01669922,0.6219410002231598,164,335872,18.517887,514.7459907499999
0.004270421,-0.0056859157,578.0539920330048,607,337920,1059.52,1.9812151,0.046777345,0.753823384642601,165,337920,13.691791,491.52660271
0.0041958196,-0.0013721293,581.4258570671082,615,339968,1005.64,1.9826527,0.046582032,0.7130900621414185,166,339968,15.191709,469.1367830000001
0.0037926685,-0.003919165,584.7519423961639,613,342016,937.63,1.9763883,0.038867187,0.6563415825366974,167,342016,18.232973,442.67994735
0.003831902,-0.0074054995,588.0894801616669,610,344064,895.81,1.9756111,0.039453126,0.7531827092170715,168,344064,13.04711,424.94086955
0.0033463216,-0.0053167967,591.4437997341156,613,346112,848.75,1.9820877,0.03725586,0.5268898904323578,169,346112,24.299196,403.77642461000005
0.0040107192,-0.004472705,594.7824263572693,619,348160,824.73,1.990565,0.047753908,0.6781770884990692,170,348160,17.810505,393.88207594000005
0.0047838483,-0.0013596213,598.0902769565582,615,350208,787.52,1.9969101,0.04399414,0.7516956478357315,171,350208,12.94734,377.28871028000003
0.0026181391,-0.0022917793,601.4195883274078,612,352256,705.71,2.0133996,0.024072265,0.7759906053543091,172,352256,13.134436,340.4860740899999
0.0036571485,-0.0030795576,604.7637374401093,615,354304,634.43,2.0357797,0.041259766,0.64438396692276,173,354304,19.579243,306.23347399
0.0020160398,-0.0033347774,608.089704990387,617,356352,611.24,2.0495849,0.019824218,0.7596343606710434,174,356352,12.489756,295.0184548
0.0024257721,-0.0013928997,611.4079117774963,596,358400,580.52,2.05355,0.02421875,0.7314996123313904,175,358400,14.530566,280.58331053999996
