explained_variance,time_elapsed,value_loss,ep_len_mean,serial_timesteps,fps,ep_reward_mean,policy_loss,total_timesteps,n_updates,approxkl,clipfrac,policy_entropy
0.8847777545452118,407.9502840042114,24.066174,1415.8,223232,534,900.65121371,-0.003734266,223232,109,0.0047124415,0.04799805,3.6697903
0.9277239143848419,411.7854015827179,8.216618,1431.77,225280,547,912.5871532599999,-0.002103602,225280,110,0.0016261094,0.014697266,3.6771762
0.9202861562371254,415.5238711833954,7.6762643,1431.77,227328,569,914.0509607799999,-0.0053591384,227328,111,0.0032879612,0.032080077,3.663403
0.874574601650238,419.12183260917664,11.300115,1436.65,229376,579,917.4978206099996,-0.0047496585,229376,112,0.0030577076,0.02998047,3.6508625
0.9411975480616093,422.65692615509033,7.15698,1436.65,231424,547,918.8025963999999,-0.0019416492,231424,113,0.0030596764,0.033154298,3.6525643
0.8509397804737091,426.40005326271057,12.187537,1454.25,233472,563,931.7650235899999,-0.0035997096,233472,114,0.004141229,0.049462892,3.664472
0.9061984717845917,430.03343772888184,8.665155,1454.25,235520,560,932.9185331599999,-0.0043559037,235520,115,0.0038797352,0.044628907,3.6720688
0.8998401984572411,433.6856439113617,19.267445,1449.99,237568,562,932.3711244,-0.0025107202,237568,116,0.0029596693,0.03364258,3.6735778
0.9351450428366661,437.330283164978,5.823258,1450.21,239616,574,932.52160572,-0.004460202,239616,117,0.004500454,0.05341797,3.6783156
0.8896867111325264,440.8971061706543,11.947242,1467.51,241664,570,943.7481275,-0.0022248211,241664,118,0.0030612857,0.03413086,3.6809993
0.9004843309521675,444.4887201786041,9.998934,1475.58,243712,562,949.34428589,-0.0055023753,243712,119,0.003979373,0.044873048,3.6858401
0.8736069649457932,448.12923216819763,8.137098,1489.28,245760,569,959.89581856,-0.0026420339,245760,120,0.0027737257,0.028466797,3.6838462
0.8798120394349098,451.7234935760498,12.409312,1503.15,247808,563,968.8224485000001,-0.00408692,247808,121,0.0041211275,0.047460936,3.686617
0.7713665068149567,455.3567132949829,14.429245,1518.03,249856,548,980.2768991500001,-0.0022314514,249856,122,0.0034116649,0.03754883,3.695106
0.8956281319260597,459.0883700847626,10.4181385,1532.48,251904,537,989.9951443600002,-0.0009868529,251904,123,0.0037934564,0.043896485,3.6940308
0.7727637737989426,462.9017515182495,14.045265,1532.48,253952,529,992.7889265200001,-0.0018731111,253952,124,0.0017155188,0.016503906,3.6995246
0.8252703994512558,466.76985144615173,12.477751,1532.48,256000,549,992.7772032100002,-0.0024305924,256000,125,0.0029463388,0.033691406,3.7087471
