n_updates,policy_loss,value_loss,total_timesteps,approxkl,serial_timesteps,time_elapsed,ep_len_mean,clipfrac,explained_variance,ep_reward_mean,policy_entropy,fps
131,-0.0040960936,3.0342789,268288,0.0042330753,268288,611.3798613548279,548.38,0.046142578,0.8310490548610687,269.89277520999997,1.8430411,477
132,-0.0019732332,6.520106,270336,0.004149568,270336,615.6713578701019,566.0,0.045800783,0.5759994685649872,279.46945289,1.8419574,475
133,-0.0016833838,6.4388785,272384,0.0067999377,272384,619.9751071929932,583.92,0.07807617,0.5500191450119019,289.33966112999997,1.819821,451
134,-0.0028707325,6.156884,274432,0.003907089,274432,624.5089023113251,603.03,0.043164063,0.8170582950115204,299.89462566,1.8056988,477
135,-0.003984498,6.119735,276480,0.0028673732,276480,628.8005528450012,615.31,0.028125,0.829896554350853,306.740375,1.8222116,472
136,-0.007463795,13.313349,278528,0.006250784,278528,633.1314980983734,618.94,0.07583008,0.7367502152919769,308.0366459999999,1.8378502,478
137,-0.0008327078,6.595546,280576,0.0038088136,280576,637.4101057052612,629.01,0.045166016,0.8288624733686447,313.8557735499999,1.8476006,459
138,-0.00036775478,7.326194,282624,0.003495561,282624,641.8680603504181,639.37,0.038134765,0.8022843301296234,319.75023942999997,1.854953,484
139,-0.003027395,4.9826818,284672,0.00526909,284672,646.0966396331787,648.7,0.06352539,0.8352509438991547,325.66407055,1.8535149,416
140,0.00025661098,8.433889,286720,0.003749347,286720,651.0143752098083,654.96,0.040283203,0.8092643618583679,329.062461,1.8543049,451
141,-0.002226917,4.9559155,288768,0.003097023,288768,655.5535869598389,657.95,0.032910157,0.8565091639757156,330.55225278000006,1.8578327,456
142,-0.00069746206,8.0173025,290816,0.004897805,290816,660.0445513725281,672.84,0.056347657,0.7357697486877441,340.6975426300001,1.8581793,462
143,-0.00025394058,10.701689,292864,0.0035832443,292864,664.4705522060394,692.07,0.03569336,0.7313785254955292,352.57016180000005,1.8546221,454
144,-0.0032556348,4.1477647,294912,0.0058711236,294912,668.9747216701508,705.79,0.07348633,0.8344931900501251,360.64298754000004,1.8457257,428
145,-0.004238843,5.552986,296960,0.0042488873,296960,673.7541251182556,718.82,0.048828125,0.8092598766088486,368.84630858,1.8532388,454
146,-0.0070695565,8.930956,299008,0.0053381673,299008,678.2646679878235,734.93,0.06459961,0.7751923948526382,377.91664664,1.8647465,481
147,-0.0029088552,6.020816,301056,0.0031947368,301056,682.5180859565735,744.29,0.03666992,0.8121980875730515,383.15866166000006,1.8735765,477
148,-0.0029935797,8.803873,303104,0.0033572274,303104,686.8069839477539,764.25,0.031933594,0.7912844270467758,396.4739882799999,1.8814173,460
149,-0.00032670092,7.913205,305152,0.003021927,305152,691.2597453594208,771.72,0.028125,0.8176548033952713,400.72153159999993,1.8848788,497
150,-0.004133527,6.307983,307200,0.0045706583,307200,695.376095533371,788.83,0.050830077,0.7834972739219666,411.23630188999994,1.8877776,464
151,-0.003957386,6.786845,309248,0.004661587,309248,699.7879717350006,794.33,0.047314454,0.7856873273849487,414.93253393,1.8914726,481
152,-0.0037124846,5.836959,311296,0.0054248623,311296,704.0451397895813,808.26,0.06098633,0.8073953241109848,423.82325928,1.8924255,475
153,-0.00095440855,8.099091,313344,0.0041494025,313344,708.3508577346802,823.25,0.04741211,0.7803538739681244,433.49854236,1.8952236,465
154,-0.0022373297,7.7984953,315392,0.0049468316,315392,712.7468326091766,839.95,0.059277344,0.7267553806304932,444.0198232700001,1.8892006,457
155,0.0002531058,8.526537,317440,0.004156638,317440,717.2223045825958,856.51,0.042578124,0.6748260855674744,453.7787645,1.8804566,469
156,-0.0029094873,5.6670885,319488,0.0045164656,319488,721.5852937698364,871.44,0.050732423,0.7691380083560944,463.3113497,1.8764521,477
157,-0.001984481,18.79054,321536,0.0040450348,321536,725.8754975795746,878.05,0.047265626,0.751725509762764,469.02517210999997,1.8890107,480
158,-0.0010327973,8.674246,323584,0.0032449402,323584,730.13716340065,892.86,0.030273438,0.5345456302165985,478.4468697599999,1.8989325,458
