value_loss,approxkl,explained_variance,serial_timesteps,time_elapsed,fps,total_timesteps,n_updates,policy_loss,clipfrac,policy_entropy,ep_reward_mean,ep_len_mean
10.279757,0.0042499457,0.8047488331794739,636928,1406.0886838436127,425,636928,311,-0.0026883907,0.050195314,3.5989769,918.24680845,1394.34
10.194337,0.004442281,0.8036993592977524,638976,1410.9022431373596,433,638976,312,-0.0045584617,0.05522461,3.602998,921.6462695199999,1399.29
10.925543,0.0064554587,0.7739116549491882,641024,1415.6237378120422,395,641024,313,-0.0024085012,0.07426758,3.6057124,933.0501315299999,1416.01
12.096685,0.00776003,0.7115459740161896,643072,1420.8000106811523,380,643072,314,-0.001967202,0.09013672,3.6132736,931.7382033500002,1416.01
12.578479,0.0045913,0.7864371836185455,645120,1426.1853032112122,443,645120,315,-0.001957792,0.055029295,3.628961,930.7946466599999,1416.01
15.201129,0.0039850664,0.8141678124666214,647168,1430.8061935901642,424,647168,316,-0.005142664,0.0418457,3.6346023,933.8240553899999,1420.62
9.320994,0.0049625123,0.8334078192710876,649216,1435.62704539299,422,649216,317,-0.0025295094,0.059277344,3.6360774,946.1919019699999,1437.58
11.065098,0.007250817,0.6780675053596497,651264,1440.4776816368103,417,651264,318,-0.0009831357,0.07890625,3.6485257,956.4552793899999,1453.09
9.207154,0.0039997185,0.7987196296453476,653312,1445.3806767463684,440,653312,319,-0.004415639,0.0421875,3.6493893,961.4183219399998,1460.09
10.251471,0.0054837535,0.7997334748506546,655360,1450.029778957367,422,655360,320,-0.006583358,0.068603516,3.645145,972.8408003699999,1476.56
18.797361,0.0037122625,0.7944015711545944,657408,1454.8739869594574,414,657408,321,-0.0027585546,0.04160156,3.641665,986.4871195299999,1494.51
11.304453,0.0035010271,0.7991540879011154,659456,1459.8162152767181,423,659456,322,-0.0025593056,0.037597656,3.6369195,999.3499544,1512.34
9.390661,0.004581296,0.8490397185087204,661504,1464.6518428325653,407,661504,323,-0.00254266,0.056591798,3.6450844,1002.59465457,1516.24
9.543921,0.0031241204,0.83366759121418,663552,1469.6739563941956,430,663552,324,-0.002510157,0.03642578,3.6499805,1016.9417270900001,1534.37
11.707174,0.004870708,0.740555465221405,665600,1474.4363038539886,445,665600,325,-0.0024926676,0.056933593,3.6487217,1030.01661293,1552.35
10.126761,0.003098796,0.7935643494129181,667648,1479.0332806110382,410,667648,326,-0.0036254083,0.03310547,3.6458633,1030.78180984,1552.35
11.323553,0.004626588,0.7836381494998932,669696,1484.0224640369415,407,669696,327,-0.0034900408,0.054833986,3.6401424,1031.33517961,1552.35
11.3488455,0.0068339743,0.7569200396537781,671744,1489.0467133522034,434,671744,328,-0.005297628,0.07211914,3.6318507,1044.81610341,1569.94
8.844526,0.005265719,0.8629038333892822,673792,1493.7633361816406,397,673792,329,-0.0019236915,0.06362305,3.6300454,1050.5974429599999,1577.72
18.572512,0.0022670995,0.8263065814971924,675840,1498.9151985645294,424,675840,330,-0.0028327992,0.022705078,3.636829,1048.63031381,1576.22
9.312688,0.0051309327,0.8578727096319199,677888,1503.740033864975,423,677888,331,-0.005344897,0.060595702,3.627547,1060.0291336,1591.34
18.86849,0.0035448272,0.837538093328476,679936,1508.581106185913,428,679936,332,-0.0031506321,0.03745117,3.6151187,1030.49354446,1550.19
6.011964,0.0051531615,0.8970903232693672,681984,1513.3610384464264,426,681984,333,-0.004613587,0.06098633,3.616946,1029.9423768400002,1549.15
28.679193,0.003803245,0.78090038895607,684032,1518.1642174720764,432,684032,334,-0.0046881745,0.04086914,3.6187057,1007.9595931700002,1519.29
