policy_loss,value_loss,explained_variance,time_elapsed,clipfrac,ep_len_mean,approxkl,ep_reward_mean,policy_entropy,fps,n_updates,total_timesteps,serial_timesteps
-0.0011763643,4.8742843,0.6010255515575409,528.1818630695343,0.023925781,1810.8,0.0026822104,650.94191807,1.5308263,479,126,258048,258048
-0.0019308387,4.0173993,0.6903423964977264,532.4562680721283,0.044873048,1807.04,0.0040921844,653.51985132,1.5261749,466,127,260096,260096
-0.0026693163,4.700637,0.6211918592453003,536.8505637645721,0.055761717,1807.04,0.004938488,658.56991754,1.5260513,483,128,262144,262144
-0.00054970215,4.0454974,0.6444125771522522,541.0846314430237,0.019726563,1806.63,0.0023802326,662.8830097599999,1.5265548,491,129,264192,264192
-0.0012061208,7.915406,0.574932873249054,545.2487134933472,0.058300782,1789.07,0.0048853895,663.5858433100001,1.5272102,484,130,266240,266240
-0.005210292,8.008216,0.646862655878067,549.475713968277,0.05517578,1769.89,0.004832036,664.16590177,1.5314633,473,131,268288,268288
-0.0033961362,6.055898,0.7071096003055573,553.8047993183136,0.056396484,1748.98,0.004882751,663.7489370400002,1.5329767,498,132,270336,270336
-0.004640987,11.172227,0.6288308203220367,557.9171206951141,0.073632814,1710.97,0.006544555,660.1366967199999,1.5294874,491,133,272384,272384
-0.0040378803,10.776567,0.6062942445278168,562.0865821838379,0.070898436,1668.29,0.0056478227,654.09267048,1.5241334,473,134,274432,274432
-0.0012942139,6.2356744,0.7376032471656799,566.4091422557831,0.03779297,1641.95,0.003464071,650.8045260399999,1.5363586,492,135,276480,276480
-0.0027734684,9.004129,0.7471593618392944,570.5659370422363,0.043652344,1601.85,0.003912003,645.30882576,1.5504897,509,136,278528,278528
-0.0044890465,14.203821,0.5860562920570374,574.5825481414795,0.051708985,1542.02,0.0048736227,633.2247529700002,1.5605147,481,137,280576,280576
-0.0027267034,13.201306,0.6922271847724915,578.8407425880432,0.034277342,1483.1,0.003122432,622.0314791100001,1.568161,494,138,282624,282624
-0.004330947,14.076675,0.5763387084007263,582.9839382171631,0.041894533,1422.08,0.0043488075,608.01920856,1.5754185,495,139,284672,284672
-0.0028568362,10.031197,0.736983060836792,587.1187033653259,0.040625,1364.12,0.0038071335,594.90679012,1.5736978,494,140,286720,286720
-0.004238967,9.247053,0.7577679604291916,591.2598578929901,0.049072266,1321.0,0.0044747633,585.31290916,1.5683701,494,141,288768,288768
-0.0033040363,14.4510975,0.6188873946666718,595.398185968399,0.032128908,1279.01,0.0032511824,575.0258113,1.5728686,499,142,290816,290816
-0.0018645041,11.8109865,0.7417268753051758,599.5001173019409,0.062060546,1219.61,0.0058052153,557.6337035399999,1.5630167,498,143,292864,292864
-0.0024446752,14.123041,0.6280691623687744,603.6085605621338,0.021630859,1157.19,0.0023451094,535.08280348,1.5540857,489,144,294912,294912
-0.0016611855,9.504153,0.7655657678842545,607.7966003417969,0.047802735,1103.94,0.004472654,513.9871913799999,1.5552312,486,145,296960,296960
-0.0010985445,9.31592,0.7918042689561844,612.0043776035309,0.03100586,1082.85,0.0028841444,506.26591193,1.5589755,482,146,299008,299008
-0.007452477,9.933626,0.7864706218242645,616.2506139278412,0.0815918,1046.75,0.008115507,492.32145702,1.5540973,497,147,301056,301056
-0.001154653,13.739438,0.6647894084453583,620.3677217960358,0.05078125,1007.8,0.0044856016,476.47765876000005,1.5492855,488,148,303104,303104
-0.005441105,11.80311,0.7166672646999359,624.5579745769501,0.053710938,987.39,0.0051619266,468.80046574,1.5641565,489,149,305152,305152
-0.0015716583,10.965808,0.7760955691337585,628.742374420166,0.040722657,944.32,0.0036943592,449.38655536,1.5860453,504,150,307200,307200
-0.008171314,10.810745,0.7609217911958694,632.8071007728577,0.07099609,910.89,0.006202238,433.72080252000006,1.5926982,500,151,309248,309248
-0.0054575996,14.498065,0.7089444398880005,636.9021015167236,0.06391601,885.74,0.0055267243,423.41791211000003,1.5977991,486,152,311296,311296
-0.001401064,14.908887,0.7240823805332184,641.1147832870483,0.043115236,866.28,0.003893645,415.74313993000004,1.6043717,502,153,313344,313344
-0.0020145818,3.231069,0.9083759859204292,645.1904907226562,0.033447266,850.66,0.0031897791,409.2892527200001,1.6080307,500,154,315392,315392
-0.0066735214,12.411652,0.7566826194524765,649.281400680542,0.06762695,831.4,0.006450924,401.25738591999993,1.6181991,499,155,317440,317440
