approxkl,time_elapsed,clipfrac,policy_entropy,total_timesteps,serial_timesteps,fps,value_loss,policy_loss,n_updates,explained_variance,ep_reward_mean,ep_len_mean
0.0038618285,753.1582653522491,0.043896485,1.6579921,350208,350208,497,9.429648,-0.002695357,171,0.8071787804365158,266.56634418,535.79
0.0030639844,757.2774169445038,0.03388672,1.6788391,352256,352256,505,15.223025,-0.0024083361,172,0.7738265991210938,256.76096707,516.47
0.0046534142,761.3266134262085,0.054394532,1.7026813,354304,354304,486,12.313342,-0.00431409,173,0.8427402973175049,250.95894126,505.35
0.004177569,765.5361649990082,0.047021486,1.7187974,356352,356352,494,16.275476,-0.0040321853,174,0.7322524785995483,248.99459919000003,500.44
0.0039845547,769.6798176765442,0.04526367,1.7224853,358400,358400,480,8.972222,-0.0041159927,175,0.8719553798437119,243.58685261,489.92
0.006619985,773.946918964386,0.078027345,1.7217737,360448,360448,476,6.2228103,-0.002522413,176,0.9208783507347107,237.7328025,478.07
0.004595516,778.2421610355377,0.053955078,1.7276478,362496,362496,491,9.019393,-0.0050426866,177,0.8602763116359711,227.04502318,456.8
0.006474444,782.409255027771,0.070166014,1.7218225,364544,364544,505,9.731666,-0.004291967,178,0.8823555558919907,223.63976446000004,448.95
0.004744628,786.4589624404907,0.05732422,1.7111696,366592,366592,487,6.4319243,-0.0042060195,179,0.8879309743642807,222.66152212000006,446.69
0.0028524036,790.6575908660889,0.027050782,1.7071537,368640,368640,494,10.787191,-0.000560846,180,0.8679752945899963,213.51369970999997,428.46
0.004627992,794.8017399311066,0.051660158,1.6932774,370688,370688,483,6.298656,-0.0052260743,181,0.9022029116749763,216.20471994000002,433.21
0.0060627675,799.0408089160919,0.068554685,1.6882948,372736,372736,487,9.111268,-0.008392678,182,0.8565807640552521,217.59974908,435.33
0.0030885849,803.2442162036896,0.032910157,1.6885964,374784,374784,491,7.5940957,-0.003307568,183,0.8969096094369888,217.98229114000003,436.19
0.0045219776,807.4081711769104,0.053515624,1.6947925,376832,376832,497,8.635817,-0.0030136667,184,0.862713947892189,212.22899121999998,425.36
0.0034963228,811.525899887085,0.035595704,1.7131231,378880,378880,506,7.442688,-0.002460488,185,0.9062587693333626,212.87729599000002,426.84
0.003893695,815.5711903572083,0.046044923,1.7254727,380928,380928,489,9.538894,-0.003997815,186,0.8681830912828445,213.16333343,427.28
0.004341007,819.7563037872314,0.046728514,1.7320637,382976,382976,505,7.3008957,-0.0021123295,187,0.9049468263983727,217.43215507999997,432.8
0.005274853,823.8092222213745,0.05986328,1.7273153,385024,385024,507,5.119437,-0.0054740976,188,0.9327627941966057,218.41633076999997,434.26
