ep_reward_mean,n_updates,serial_timesteps,ep_len_mean,value_loss,explained_variance,fps,approxkl,total_timesteps,policy_loss,policy_entropy,clipfrac,time_elapsed
1694.0790710500003,140,286720,1707.0,19.152945,0.06742715835571289,412,0.0027208258,286720,-0.00034309673,4.161266,0.024316406,726.6793639659882
1694.09244733,141,288768,1707.0,19.798294,0.02805119752883911,411,0.002400546,288768,-0.0006847539,4.165592,0.022949219,731.6432044506073
1713.1021485200006,142,290816,1726.14,19.660656,0.034848034381866455,414,0.004037546,290816,-0.00092264765,4.166266,0.04799805,736.6262447834015
1713.27037686,143,292864,1726.14,20.4519,0.1187933087348938,417,0.0013956105,292864,-0.00022884284,4.1618314,0.009912109,741.5673861503601
1676.0546562,144,294912,1688.87,4.4417944,0.9714495092630386,355,0.0022732655,294912,-0.007634652,4.17246,0.022509765,746.4754276275635
1676.1356000900005,145,296960,1688.87,20.245878,-0.00012159347534179688,402,0.005937822,296960,-0.0037367581,4.187106,0.07709961,752.2386562824249
1676.35695629,146,299008,1688.87,20.22398,-0.004354953765869141,412,0.002683767,299008,-0.0005525577,4.185929,0.025683593,757.3259477615356
1676.3167599299998,147,301056,1688.87,20.29162,-0.004730701446533203,426,0.0025264681,301056,-0.0008553701,4.182817,0.018896485,762.2929966449738
1676.2241778399998,148,303104,1688.87,20.180897,0.006902158260345459,412,0.0027698777,303104,-0.0020692472,4.195737,0.03022461,767.0998277664185
1647.3171248,149,305152,1659.88,28.334652,0.8602671027183533,322,0.0025791572,305152,-0.0039002101,4.19937,0.02626953,772.0623712539673
1647.5343106000003,150,307200,1659.88,20.15684,0.0048607587814331055,398,0.005333429,307200,-0.0053275814,4.179107,0.070654295,778.4062623977661
1647.70349169,151,309248,1659.88,20.114124,0.005324661731719971,418,0.0038569034,309248,-0.000940233,4.174721,0.042578124,783.5513243675232
1629.5264039999997,152,311296,1641.55,22.327826,0.7560909390449524,343,0.0027791564,311296,-0.002021554,4.1824074,0.026953125,788.4410026073456
1629.5232737800002,153,313344,1641.55,20.28399,0.0009186863899230957,407,0.008509454,313344,-0.0035414726,4.19432,0.12036133,794.3964936733246
1630.01706221,154,315392,1642.19,22.70049,0.7536434978246689,361,0.0018104352,315392,-0.0032096163,4.215322,0.018554688,799.4265232086182
1629.85203271,155,317440,1642.19,19.616335,0.01894766092300415,396,0.0029574216,317440,-0.0013020707,4.2325735,0.027148437,805.0925405025482
1629.71973641,156,319488,1642.19,19.71086,-0.0051937103271484375,351,0.0031821015,319488,-0.00323818,4.236781,0.034521483,810.2560796737671
1619.5868339400001,157,321536,1632.13,1.8809646,0.974144009873271,252,0.0014426898,321536,-0.0034385393,4.224025,0.01040039,816.0888409614563
