policy_entropy,fps,ep_reward_mean,ep_len_mean,approxkl,explained_variance,n_updates,serial_timesteps,total_timesteps,policy_loss,value_loss,time_elapsed,clipfrac
1.630112,512,1022.6741995399998,1505.42,0.0037988666,0.6755293011665344,255,522240,522240,-0.0029200371,9.176123,1068.5801548957825,0.042578124
1.6357355,501,1021.81193819,1505.42,0.0050198385,0.47490763664245605,256,524288,524288,0.00025187148,11.230604,1072.5744161605835,0.06318359
1.6358992,506,1022.2832369199999,1505.42,0.00547126,0.46566641330718994,257,526336,526336,-0.0038283758,12.943766,1076.6572136878967,0.06552734
1.6479937,506,1023.7909748199999,1505.42,0.0040083406,0.6634504497051239,258,528384,528384,-0.0037633623,9.676973,1080.7004284858704,0.047607422
1.6490233,494,1021.7956005799999,1505.42,0.0071391826,0.686178058385849,259,530432,530432,-0.0038796556,10.964752,1084.7472610473633,0.0737793
1.6445186,523,1025.18130623,1505.42,0.0045477473,0.553519606590271,260,532480,532480,-0.0007711277,11.103004,1088.8909313678741,0.05522461
1.6563959,509,1026.98067228,1505.42,0.0049476293,0.7564449608325958,261,534528,534528,-0.0033000833,9.002925,1092.8014714717865,0.058154296
1.6636127,524,1030.3754223099997,1505.42,0.0039601084,0.5373113751411438,262,536576,536576,-0.002628087,13.851832,1096.8238215446472,0.046777345
1.6717224,520,1032.4965841199999,1505.42,0.005593735,0.6158439218997955,263,538624,538624,-0.0028106216,8.762871,1100.726427078247,0.06728516
1.6786913,532,1032.86219466,1505.42,0.004092613,0.4239537715911865,264,540672,540672,-0.0018151092,11.508129,1104.660717010498,0.04560547
1.6798899,514,1033.0416252799998,1505.42,0.0040992666,0.8044936954975128,265,542720,542720,-0.0038100115,15.218567,1108.5080871582031,0.04941406
1.6782758,515,1032.2303726599998,1505.42,0.0048588463,0.7091081738471985,266,544768,544768,-0.0055621928,9.832015,1112.488828420639,0.055761717
1.6742041,521,1032.6275937,1505.42,0.0044170124,0.6201962828636169,267,546816,546816,-0.003561732,11.131975,1116.4636342525482,0.054492187
1.6759443,497,1029.8233177,1505.42,0.0061487304,0.8473848104476929,268,548864,548864,-0.003990818,10.675332,1120.3945498466492,0.08071289
1.6842887,500,1030.13640898,1505.42,0.0046731676,0.5717783868312836,269,550912,550912,-0.0020876369,11.838016,1124.5142438411713,0.05859375
1.6835314,508,1031.2944356899998,1505.42,0.0036972568,0.6244326233863831,270,552960,552960,-0.0042955163,11.669605,1128.6103041172028,0.04472656
