fps,explained_variance,policy_entropy,n_updates,serial_timesteps,value_loss,clipfrac,time_elapsed,policy_loss,approxkl,total_timesteps,ep_reward_mean,ep_len_mean
376,0.8530227988958359,3.5353827,126,258048,13.764879,0.017236328,604.0343043804169,-0.00047824363,0.0018546587,258048,643.12313817,1091.96
397,0.8422226309776306,3.5394664,127,260096,12.526901,0.038427733,609.4812626838684,-0.0056013153,0.0035385978,260096,649.19950852,1096.01
415,0.9077706560492516,3.5423865,128,262144,5.9187465,0.035058595,614.6277198791504,-0.0038761746,0.0035020094,262144,651.8069257399999,1099.71
421,0.74880251288414,3.5468915,129,264192,14.6371765,0.049902342,619.5525665283203,-0.0034928708,0.004141028,264192,653.95040214,1099.71
430,0.8974624797701836,3.5540257,130,266240,12.105973,0.045214843,624.4174919128418,-0.0038186214,0.0038318362,266240,666.05864012,1115.74
417,0.806771457195282,3.5575492,131,268288,10.770151,0.04057617,629.177747964859,-0.0010415792,0.004435944,268288,676.30016504,1130.53
410,0.7926333099603653,3.5594249,132,270336,16.175198,0.03305664,634.07950258255,-0.0026588386,0.002865831,270336,688.9166203199998,1148.26
412,0.8544356822967529,3.5603435,133,272384,14.761617,0.02055664,639.0682480335236,-0.003887788,0.0020972528,272384,689.68436464,1149.91
403,0.7322752475738525,3.5636642,134,274432,13.271753,0.0730957,644.0366911888123,-0.0073275296,0.0059473375,274432,701.5882537000001,1167.88
395,0.6696867346763611,3.57784,135,276480,15.258563,0.04873047,649.1154515743256,-0.0027640841,0.0041297814,276480,702.7170025,1167.88
420,0.9099824205040932,3.5799377,136,278528,6.3732085,0.02861328,654.2968819141388,-0.0012820773,0.0027830773,278528,691.2469219500001,1152.61
383,0.8378733247518539,3.575842,137,280576,11.653156,0.028271485,659.1720070838928,-0.003938406,0.0025105362,280576,691.29223561,1152.61
412,0.7630321830511093,3.5818634,138,282624,18.064808,0.035009764,664.5069134235382,-0.000475369,0.0029071416,282624,697.21490646,1157.65
439,0.8211473375558853,3.5860157,139,284672,17.081059,0.034179688,669.4774622917175,-0.0010734376,0.0030910277,284672,707.2511068099999,1170.18
444,0.9198835641145706,3.585172,140,286720,7.183337,0.039697267,674.1348822116852,-0.004119325,0.003609443,286720,703.4602568499998,1162.49
482,0.7820160984992981,3.5982049,141,288768,12.184107,0.05834961,678.742785692215,-0.0035392095,0.0053318636,288768,715.23298269,1178.34
434,0.8974756747484207,3.5958107,142,290816,8.61241,0.037109375,682.9850327968597,-0.0035607044,0.0035428978,290816,716.8417046,1179.2
419,0.8542946428060532,3.5940776,143,292864,5.9181814,0.047851562,687.6996073722839,-0.00703445,0.004516457,292864,722.08190555,1187.39
405,0.8143119812011719,3.6006045,144,294912,10.689366,0.04160156,692.5837671756744,-0.0032888507,0.0036351918,294912,722.46195173,1187.39
454,0.9320526942610741,3.6048076,145,296960,8.316069,0.028564453,697.6334593296051,-0.002473498,0.0024990456,296960,732.1609386399999,1201.03
445,0.7979279160499573,3.6062331,146,299008,17.552017,0.009960937,702.1384310722351,-0.0023278422,0.0012916935,299008,736.35239252,1208.13
423,0.8476986587047577,3.6075096,147,301056,8.478221,0.030566406,706.7385039329529,-0.004017226,0.0029025336,301056,748.25027072,1226.02
433,0.7748889923095703,3.6046696,148,303104,19.484053,0.057519533,711.5798797607422,-0.005960322,0.005323095,303104,751.01889169,1229.39
437,0.8891522586345673,3.610239,149,305152,12.884552,0.04296875,716.3099150657654,-0.004331588,0.003744218,305152,731.6587288899999,1200.6
433,0.8894912227988243,3.6128814,150,307200,12.002572,0.026708985,720.9967985153198,-0.0038444395,0.0024747276,307200,731.9666619499999,1199.06
403,0.8779884949326515,3.6079412,151,309248,9.008379,0.02211914,725.7271182537079,-0.0023684301,0.0022027814,309248,722.8960882200001,1186.46
395,0.8600450307130814,3.59611,152,311296,10.939986,0.065136716,730.7988359928131,-0.0036536623,0.005456545,311296,734.3125980700001,1203.34
470,0.8818655461072922,3.5839715,153,313344,13.128183,0.016210938,735.9824590682983,-0.0019158479,0.0016776577,313344,740.2189950199999,1211.85
480,0.8938658609986305,3.5783496,154,315392,15.761401,0.029003907,740.3381116390228,-0.004343079,0.0027176403,315392,726.6845671300002,1192.66
399,0.9232115671038628,3.575755,155,317440,8.819885,0.0265625,744.6010584831238,-0.0037427046,0.002504112,317440,718.54179176,1182.64
403,0.8843922913074493,3.5733452,156,319488,16.875599,0.0703125,749.7248594760895,-0.0040430976,0.0064419946,319488,720.4201731200001,1184.12
418,0.8978079557418823,3.5800037,157,321536,16.002554,0.026367188,754.8042280673981,-0.004605974,0.002854706,321536,704.2924138400001,1160.92
422,0.8763623237609863,3.5759711,158,323584,8.965383,0.020410156,759.7032477855682,-0.0011397501,0.0021250967,323584,714.9653527899999,1176.57
392,0.9384210482239723,3.5689178,159,325632,7.756653,0.027783204,764.5514419078827,-0.0036747195,0.0026154334,325632,691.1365727299999,1142.86
426,0.9006737992167473,3.575629,160,327680,14.313414,0.04194336,769.7703533172607,-0.0035069636,0.0039382423,327680,676.61335129,1121.89
402,0.8798347935080528,3.57323,161,329728,17.641571,0.025390625,774.5701992511749,-0.003176979,0.0025894346,329728,684.39563356,1132.01
427,0.9132899567484856,3.5688615,162,331776,9.441599,0.03793945,779.6601133346558,-0.0039193477,0.003915276,331776,663.4483829699999,1100.73
414,0.8406326174736023,3.5729415,163,333824,18.438745,0.018359374,784.4501123428345,-0.00078962295,0.0017978152,333824,671.3205858099999,1111.65
438,0.8682956099510193,3.5709782,164,335872,11.042109,0.035058595,789.3910250663757,-0.0018205683,0.0032938942,335872,680.7755279599999,1124.33
414,0.8968464434146881,3.5788074,165,337920,15.049644,0.03720703,794.0654861927032,-0.0034831918,0.0031626907,337920,683.6231381199999,1124.77
387,0.6679373681545258,3.5889516,166,339968,16.57404,0.023339843,799.0080547332764,-0.0043175793,0.0021453379,339968,677.9948382900001,1117.29
429,0.8730782866477966,3.5922604,167,342016,12.429304,0.017919922,804.2886745929718,-0.002455451,0.0017731071,342016,689.11463153,1132.16
407,0.8667862415313721,3.5888429,168,344064,15.170697,0.043603517,809.0571706295013,-0.005697288,0.0039464002,344064,693.9570779800001,1139.37
408,0.9096707999706268,3.59047,169,346112,13.589174,0.04018555,814.0806248188019,-0.0053585414,0.003567025,346112,676.74140788,1113.87
404,0.6509930789470673,3.6061203,170,348160,23.23983,0.0328125,819.100302696228,-0.0025733574,0.0030512407,348160,659.00004492,1090.78
399,0.9195944517850876,3.6110756,171,350208,8.584021,0.020751953,824.1589691638947,-0.0019524281,0.0020835744,350208,642.22248704,1067.18
448,0.9347513169050217,3.6031795,172,352256,5.997237,0.019482423,829.2906277179718,-0.0020171963,0.0020549942,352256,654.1877902399999,1084.08
423,0.8847135081887245,3.6033006,173,354304,8.670671,0.019189453,833.8598248958588,-0.0025503999,0.0020389932,354304,664.6716299,1099.68
430,0.8722938299179077,3.598931,174,356352,8.86508,0.040039062,838.6949603557587,-0.0060884114,0.004056625,356352,659.23429398,1092.75
411,0.8863393887877464,3.5993042,175,358400,12.041887,0.037402343,843.4546337127686,-0.0021726587,0.0035460864,358400,676.10863044,1116.24
428,0.8413360267877579,3.6044402,176,360448,18.724215,0.028027344,848.4370756149292,-0.0041442923,0.002832756,360448,677.75633388,1117.36
420,0.876584067940712,3.5990262,177,362496,16.384407,0.046044923,853.2224369049072,-0.0037840973,0.004210627,362496,656.28338006,1085.39
395,0.8486776947975159,3.586881,178,364544,21.209045,0.081445314,858.0881140232086,-0.006517188,0.00946703,364544,655.86387878,1081.46
405,0.9205426648259163,3.5993457,179,366592,6.070243,0.062597655,863.2684421539307,-0.0077876546,0.006139894,366592,656.48015639,1082.64
437,0.840892881155014,3.6076407,180,368640,23.069927,0.057421874,868.3255207538605,-0.0038490046,0.0048495554,368640,651.11625483,1074.05
419,0.9008631631731987,3.6143024,181,370688,9.714828,0.029101562,873.0048620700836,-0.0023835425,0.002810109,370688,636.6009376700001,1054.28
358,0.8490649163722992,3.6198792,182,372736,17.579313,0.08364258,877.8896508216858,-0.005262381,0.007450468,372736,624.5361571000001,1036.39
401,0.8233342468738556,3.6163726,183,374784,12.214968,0.029443359,883.6015472412109,-0.0011467818,0.0026883797,374784,635.9305271100001,1051.54
425,0.8753490000963211,3.611382,184,376832,10.298986,0.045898438,888.6974182128906,-0.004272522,0.0046883244,376832,627.6455878300001,1039.88
414,0.8472016006708145,3.6185615,185,378880,13.609648,0.042382814,893.5161004066467,-0.004078751,0.004415313,378880,623.84559402,1031.84
426,0.8875804170966148,3.624246,186,380928,10.970302,0.047851562,898.4531638622284,-0.004424759,0.003975491,380928,617.74558184,1023.58
426,0.8549846708774567,3.6361127,187,382976,14.201533,0.027441407,903.2517621517181,-0.004717325,0.0025260085,382976,604.1956876500001,1005.54
401,0.8826712593436241,3.6347682,188,385024,13.192622,0.057373047,908.0563478469849,-0.005841685,0.004533505,385024,599.49740963,998.38
419,0.8721107393503189,3.6236668,189,387072,8.990965,0.023046875,913.162743806839,-0.0011308868,0.0021954454,387072,611.4539528,1015.22
411,0.7624018788337708,3.6218185,190,389120,19.950678,0.044970702,918.0443518161774,-0.0053239306,0.0037767875,389120,614.3524446600001,1022.21
420,0.8743504285812378,3.6145597,191,391168,8.542829,0.05834961,923.0239267349243,-0.004516796,0.0050337254,391168,603.17783939,1007.65
411,0.7335479259490967,3.6116054,192,393216,29.690765,0.039013673,927.8919634819031,-0.004083204,0.0034357116,393216,584.82529283,980.13
379,0.7362340688705444,3.6177678,193,395264,10.69787,0.037744142,932.874039888382,-0.0023844978,0.003437458,395264,596.94067679,998.19
