value_loss,ep_len_mean,time_elapsed,policy_entropy,total_timesteps,ep_reward_mean,serial_timesteps,fps,explained_variance,policy_loss,clipfrac,approxkl,n_updates
10.847818,1552.97,502.1510977745056,4.125272,235520,1027.66077639,235520,441,0.7301996946334839,-0.0035240795,0.08242188,0.0067798994,115
10.076196,1552.97,506.7854244709015,4.13851,237568,1026.5034167699998,237568,486,0.7934697866439819,-0.00101425,0.041308593,0.0037493643,116
11.512882,1566.92,510.99632239341736,4.1518755,239616,1035.47448807,239616,482,0.7232213616371155,-0.0042842543,0.06640625,0.005746026,117
6.32266,1560.04,515.2452993392944,4.1611247,241664,1029.85238324,241664,481,0.8902443870902061,-0.0037704401,0.03125,0.0027984935,118
12.975711,1569.18,519.5000154972076,4.1615715,243712,1036.47287394,243712,467,0.8446787148714066,-0.0014332191,0.034082033,0.0029900973,119
17.618856,1580.32,523.8832392692566,4.1670485,245760,1045.6811595,245760,502,0.6588128805160522,-0.0018593145,0.044970702,0.0039009626,120
15.0526905,1586.39,527.9575803279877,4.1645875,247808,1049.61912021,247808,482,0.8339183777570724,-0.0031491593,0.049560547,0.004177139,121
13.234225,1586.4,532.2023677825928,4.162801,249856,1050.5593770799999,249856,475,0.8542085289955139,-0.00422857,0.056103516,0.0048947046,122
12.15972,1595.53,536.5088384151459,4.1660824,251904,1057.65789524,251904,472,0.8672100752592087,-0.0031572338,0.039208986,0.0036648773,123
11.848829,1591.44,540.8404846191406,4.175786,253952,1054.35102826,253952,483,0.9029239043593407,-0.00248705,0.033251952,0.003309307,124
17.632198,1555.87,545.0734314918518,4.184548,256000,1028.70664814,256000,467,0.8757479786872864,-0.0041837348,0.032666016,0.0031436,125
10.197332,1555.87,549.4575550556183,4.1878805,258048,1028.8161707399997,258048,455,0.8875109702348709,-0.0045132814,0.037841797,0.003248476,126
10.150023,1558.41,553.9512574672699,4.1995077,260096,1028.61644462,260096,471,0.8245048671960831,-0.001936002,0.028466797,0.0025299718,127
13.799296,1561.32,558.2915184497833,4.2079954,262144,1029.39699828,262144,466,0.8227048367261887,-0.0033765151,0.024951171,0.0025660591,128
15.743734,1561.32,562.6828589439392,4.20959,264192,1030.05348421,264192,483,0.8410552442073822,-0.0011926808,0.029199218,0.0027592508,129
14.675913,1553.34,566.917133808136,4.2097273,266240,1026.0206882,266240,489,0.9017263501882553,-0.002873376,0.028515626,0.0028900732,130
16.905048,1553.34,571.1030740737915,4.207132,268288,1027.00578781,268288,458,0.8699153661727905,-0.001642994,0.034472656,0.0031163,131
6.6330976,1561.69,575.5667533874512,4.201105,270336,1033.4386956800001,270336,454,0.9226326942443848,-0.0038011055,0.031298827,0.0028713776,132
11.684977,1562.84,580.0766751766205,4.201439,272384,1033.52305092,272384,477,0.7813428789377213,-0.0012591725,0.03359375,0.0029396839,133
8.953608,1568.53,584.3641495704651,4.1996984,274432,1037.6240938100002,274432,485,0.8652569502592087,-0.0059577813,0.053759765,0.0049604923,134
10.370273,1577.07,588.5863788127899,4.1966987,276480,1042.8372365100001,276480,482,0.7916430979967117,-0.0033600747,0.026611328,0.002557799,135
11.734344,1586.39,592.8284056186676,4.2026196,278528,1048.73510278,278528,491,0.7806608080863953,-0.005891453,0.053125,0.0044231643,136
17.290627,1601.22,596.997629404068,4.2133756,280576,1059.13878841,280576,500,0.8535360395908356,-0.008310929,0.06982422,0.005475178,137
13.293356,1607.76,601.0912001132965,4.2219005,282624,1065.2235657200001,282624,483,0.7864236831665039,-0.0043071536,0.051220704,0.00393694,138
18.36122,1616.57,605.3259124755859,4.2201815,284672,1072.4579503100001,284672,502,0.8044595867395401,-0.0029002917,0.0234375,0.0026235445,139
12.037105,1587.99,609.4060025215149,4.2044,286720,1049.71002101,286720,472,0.825366884469986,-0.0032737541,0.024951171,0.0026244202,140
10.112528,1594.82,613.7390372753143,4.1947546,288768,1052.97125125,288768,462,0.8645315170288086,-0.0035437685,0.059521485,0.004782124,141
8.192058,1602.42,618.1679475307465,4.1980047,290816,1060.40394778,290816,474,0.9130376949906349,-0.0026592468,0.032958984,0.002944197,142
10.282855,1603.54,622.4815917015076,4.191122,292864,1059.45891546,292864,468,0.7614225745201111,-0.0035908963,0.055566408,0.0047346847,143
8.924036,1603.54,626.8569695949554,4.1922965,294912,1057.86761295,294912,480,0.7782197296619415,-0.0015512935,0.051855467,0.004590162,144
17.932863,1611.46,631.121607542038,4.201229,296960,1061.31258819,296960,468,0.776499330997467,-0.005158221,0.051513672,0.005011038,145
16.90327,1611.46,635.4961476325989,4.195227,299008,1060.5389919199997,299008,470,0.7866816520690918,-0.0022177608,0.036328126,0.0034407675,146
8.834567,1622.76,639.8511435985565,4.17966,301056,1067.77242427,301056,469,0.7922332882881165,-0.00208915,0.04160156,0.0037282482,147
9.491983,1624.25,644.2114479541779,4.169823,303104,1069.7609771099999,303104,451,0.909431666135788,-0.0040401313,0.06367187,0.0050935163,148
12.029547,1631.08,648.7493431568146,4.1623664,305152,1072.8688404099998,305152,464,0.7300582826137543,-0.003331257,0.058154296,0.0054015606,149
9.862128,1631.08,653.1612021923065,4.1597195,307200,1073.14595904,307200,455,0.7325563430786133,-0.0031962234,0.053515624,0.004508115,150
12.402733,1631.08,657.6619935035706,4.1599226,309248,1073.6806020400002,309248,468,0.7249283790588379,-0.0023373757,0.045996092,0.004004215,151
10.089819,1643.72,662.034910440445,4.163336,311296,1081.82615184,311296,489,0.7455007433891296,-0.0032314335,0.050048828,0.0042333817,152
9.597589,1643.72,666.2188324928284,4.1678944,313344,1082.22906459,313344,475,0.7291946709156036,-0.0050283414,0.053955078,0.004367779,153
8.065621,1627.34,670.525538444519,4.1697354,315392,1071.74889351,315392,470,0.8515853434801102,-0.0047886185,0.042626955,0.004462608,154
11.127065,1627.34,674.8744342327118,4.1746955,317440,1071.89611571,317440,482,0.812151238322258,-0.002271776,0.035888672,0.0032586225,155
26.924417,1610.33,679.1166758537292,4.174859,319488,1059.52554548,319488,491,0.7381035387516022,-0.010172883,0.060009766,0.005335574,156
9.161039,1622.79,683.2866547107697,4.172309,321536,1068.13728813,321536,488,0.8559429943561554,-0.0037274982,0.04975586,0.0043645785,157
7.2223206,1617.32,687.4805800914764,4.1726656,323584,1063.50453896,323584,495,0.9173057600855827,-0.0028908919,0.026123047,0.0024931417,158
6.779906,1608.4,691.6145927906036,4.177989,325632,1058.07061321,325632,480,0.8921281844377518,-0.0043366863,0.033154298,0.0032354959,159
12.979141,1616.83,695.8817584514618,4.180379,327680,1064.82847471,327680,454,0.8751439228653908,-0.0039272904,0.03149414,0.0029925504,160
19.149473,1620.74,700.3862090110779,4.1831937,329728,1069.2618739700001,329728,485,0.8165945112705231,-0.0012251748,0.01303711,0.0016222487,161
10.34621,1620.74,704.6041378974915,4.183397,331776,1070.87592157,331776,474,0.8875559270381927,-0.0035875968,0.019140625,0.0021049406,162
10.21559,1620.74,708.9228587150574,4.180262,333824,1070.42674325,333824,474,0.8535823971033096,-0.0033641793,0.024365235,0.002457457,163
15.920545,1631.28,713.2356865406036,4.176717,335872,1078.87057664,335872,475,0.8227337002754211,-0.0037643202,0.034863282,0.0030483298,164
7.622458,1630.0,717.5400388240814,4.177447,337920,1078.11176187,337920,478,0.8849310278892517,-0.0056705903,0.047851562,0.0042233625,165
10.3092375,1630.0,721.8175227642059,4.1789055,339968,1078.71599629,339968,469,0.8985047489404678,-0.0019216931,0.03330078,0.0030202665,166
12.5995865,1625.35,726.1786923408508,4.1739163,342016,1074.84029779,342016,478,0.8643207997083664,-0.004611705,0.027636718,0.0027393354,167
12.718966,1624.02,730.4569520950317,4.157481,344064,1072.70930606,344064,480,0.8893577083945274,-0.0051706173,0.029541016,0.0028762391,168
12.172037,1624.02,734.7211184501648,4.1508493,346112,1073.47046761,346112,466,0.9009190648794174,-0.005822015,0.054980468,0.005067301,169
6.8753586,1619.45,739.1116399765015,4.1524405,348160,1070.91790249,348160,465,0.9354552924633026,-0.0020924911,0.045800783,0.0041274666,170
5.1380143,1622.44,743.5091090202332,4.162208,350208,1073.5446006199998,350208,458,0.9569624401628971,-0.0055453093,0.070410155,0.005799018,171
16.602612,1622.44,747.9735555648804,4.1578565,352256,1074.52203008,352256,465,0.8373602479696274,-0.0020522813,0.046923827,0.00399818,172
25.456524,1630.99,752.3691096305847,4.1534615,354304,1082.0402473299998,354304,486,0.6383038759231567,-0.0025186245,0.02626953,0.0023328855,173
15.543932,1628.78,756.5834157466888,4.1613264,356352,1077.3752659999998,356352,464,0.8024122714996338,-0.002019382,0.047753908,0.0040678284,174
13.979381,1611.53,760.9956791400909,4.1728616,358400,1064.3822545599999,358400,468,0.8363401144742966,-0.0069593647,0.0546875,0.00482417,175
26.932425,1582.33,765.3735525608063,4.176412,360448,1041.18120788,360448,477,0.7266010344028473,-0.002680671,0.02602539,0.0024186326,176
18.881142,1525.25,769.6677911281586,4.1957216,362496,1000.7187523899998,362496,497,0.8111468255519867,-0.0032726652,0.025585938,0.002322803,177
12.407134,1529.36,773.7874217033386,4.211522,364544,1002.13233481,364544,454,0.6394635140895844,-0.0035701864,0.060302734,0.0051205186,178
13.771548,1495.22,778.290643453598,4.215288,366592,975.0471146699998,366592,490,0.8360969424247742,-0.005888172,0.032470703,0.003277367,179
18.077448,1457.12,782.4694452285767,4.219975,368640,943.9024995899999,368640,482,0.8331024199724197,-0.0026126287,0.013720703,0.0014835969,180
7.959269,1448.05,786.7109858989716,4.229734,370688,937.4915896399999,370688,469,0.8371939361095428,-0.004100402,0.033984374,0.0030136134,181
12.354936,1448.05,791.0736062526703,4.240022,372736,935.2122558699999,372736,495,0.7612151056528091,-0.002963059,0.02626953,0.0024211959,182
16.218771,1444.04,795.2087671756744,4.248264,374784,930.6458148499999,374784,509,0.8298705816268921,-0.00505705,0.018359374,0.0020162943,183
13.97072,1447.81,799.2311391830444,4.262501,376832,931.5173264499998,376832,491,0.7902322709560394,-0.0029224916,0.036621094,0.0030004415,184
6.326155,1453.2,803.4023988246918,4.269719,378880,936.2831922299998,378880,496,0.939386922866106,-0.0023391475,0.024951171,0.002315153,185
16.643053,1453.2,807.5246305465698,4.2686877,380928,939.1956410599997,380928,476,0.828437477350235,-0.003914065,0.058544923,0.004570462,186
10.228304,1453.2,811.823415517807,4.264327,382976,940.3316579499998,382976,495,0.8741934448480606,-0.004450605,0.012158203,0.0015623221,187
15.773717,1407.38,815.9562437534332,4.265545,385024,907.04996649,385024,502,0.8236480504274368,-0.0033254654,0.019140625,0.0018845216,188
4.849521,1393.0,820.032169342041,4.270768,387072,896.3982948099999,387072,494,0.912122905254364,-0.0020797434,0.028222656,0.0025036992,189
11.602477,1393.0,824.1746277809143,4.271889,389120,894.61751823,389120,515,0.831654965877533,-0.0026636638,0.02421875,0.0023827108,190
23.600426,1395.24,828.1516263484955,4.275711,391168,896.6885446000001,391168,493,0.7404136061668396,-0.002987696,0.03339844,0.0032061567,191
