approxkl,serial_timesteps,value_loss,time_elapsed,total_timesteps,policy_entropy,fps,explained_variance,ep_reward_mean,clipfrac,n_updates,ep_len_mean,policy_loss
0.0042598206,733184,14.032689,1328.0428891181946,733184,5.135751,533,0.9410239718854427,882.7517201799998,0.049902342,358,1232.24,-0.005338792
0.0021261827,735232,10.472647,1331.8802211284637,735232,5.135481,551,0.7935466170310974,892.6440360999998,0.023583984,359,1248.41,-0.0019665773
0.0036414147,737280,5.0234733,1335.5978531837463,737280,5.1358786,578,0.9197179302573204,892.6594568099998,0.04243164,360,1248.7,-0.006708633
0.002888873,739328,9.384275,1339.1403858661652,739328,5.136268,573,0.81417116522789,902.9326543799999,0.033691406,361,1264.27,-0.0037208195
0.0021686112,741376,16.251802,1342.7110188007355,741376,5.1414833,570,0.9065369069576263,915.1966455099999,0.022900391,362,1283.71,-0.0043619517
0.0048306333,743424,27.80192,1346.3048539161682,743424,5.153844,554,0.8897104039788246,912.3964530299999,0.05654297,363,1283.67,-0.0073306398
0.002617855,745472,18.956778,1349.9992775917053,745472,5.161106,505,0.8986056372523308,910.8356505299998,0.028320312,364,1283.67,-0.0035216543
0.0031444102,747520,25.961695,1354.0513994693756,747520,5.1591115,544,0.8100394457578659,905.5036651100002,0.035058595,365,1283.78,-0.007446752
0.0020690649,749568,9.714665,1357.8106141090393,749568,5.1549,575,0.9343125522136688,894.9644124,0.019824218,366,1268.98,-0.005517066
0.0043021603,751616,17.976023,1361.3672242164612,751616,5.1436777,579,0.7747417241334915,890.6847057199999,0.049707033,367,1271.2,-0.0030323926
0.0016310572,753664,15.400206,1364.9050517082214,753664,5.1410413,559,0.9013927727937698,878.58536527,0.01586914,368,1260.46,-0.0028759718
0.002663843,755712,14.670937,1368.5681412220001,755712,5.146367,518,0.9026004150509834,890.88618207,0.028027344,369,1275.67,-0.006432756
0.0015222912,757760,19.248318,1372.5202980041504,757760,5.1467433,547,0.875612236559391,887.9188623400001,0.014599609,370,1275.67,-0.0017274587
0.0039733406,759808,11.678045,1376.2592823505402,759808,5.1462584,561,0.9487991742789745,873.6870661600001,0.042333983,371,1263.08,-0.004180966
0.006540615,761856,19.456234,1379.9099118709564,761856,5.14028,543,0.8946417421102524,875.6468259500001,0.0881836,372,1263.08,-0.0042374213
0.0033334482,763904,19.718348,1383.6777017116547,763904,5.1389666,550,0.9026498273015022,875.74557266,0.036621094,373,1263.08,-0.0052598664
0.003893985,765952,21.005407,1387.3987827301025,765952,5.1467338,536,0.8927123919129372,889.5901321800002,0.05029297,374,1278.74,-0.0021280285
0.0059451982,768000,20.038614,1391.2189531326294,768000,5.150666,529,0.8919906467199326,893.1342918600001,0.07734375,375,1278.74,-0.0025715085
0.0054896055,770048,19.970938,1395.0878582000732,770048,5.15154,531,0.894079715013504,897.8351544100001,0.07011719,376,1278.74,-0.001398189
0.0013307312,772096,19.750124,1398.9397037029266,772096,5.1511235,529,0.9060928300023079,902.4218697000001,0.012304688,377,1278.74,-0.0014201087
0.002812301,774144,20.784273,1402.8099653720856,774144,5.150773,550,0.8856364861130714,901.50291315,0.032666016,378,1278.74,-0.0031905347
0.0014256634,776192,32.73744,1406.5298914909363,776192,5.129568,570,0.8661825209856033,884.15180299,0.010302735,379,1263.95,-0.0023936608
0.0048466967,778240,19.879126,1410.122956752777,778240,5.11314,533,0.8959982916712761,883.7127068100001,0.056396484,380,1263.95,-0.0040968647
