value_loss,time_elapsed,policy_entropy,total_timesteps,serial_timesteps,fps,explained_variance,policy_loss,clipfrac,approxkl,n_updates,ep_len_mean,ep_reward_mean
14.815081,373.56881523132324,4.3861675,176128,176128,452,0.826253816485405,-0.0021147504,0.025439452,0.0025653192,86,1603.0,1114.42772141
18.43652,378.0980260372162,4.387847,178176,178176,469,0.7247022688388824,-0.006031687,0.030078124,0.0029004314,87,1588.46,1108.6668958599998
11.539442,382.4642708301544,4.390928,180224,180224,462,0.7006191909313202,-0.0035230801,0.040478516,0.0036566965,88,1588.46,1111.1655251
17.178959,386.89293122291565,4.388345,182272,182272,448,0.8479955345392227,-0.0017888257,0.034472656,0.0032930723,89,1593.37,1119.5671426899999
8.660454,391.46192598342896,4.3811216,184320,184320,442,0.8898881822824478,-0.0028559745,0.0362793,0.0032513482,90,1607.87,1130.7504665200001
22.013092,396.0870852470398,4.399394,186368,186368,429,0.7860484272241592,-0.004576606,0.049121093,0.0044999043,91,1616.14,1141.2418633300001
8.86007,400.85787868499756,4.4295654,188416,188416,474,0.9081433787941933,-0.0061681243,0.040527344,0.00401722,92,1613.07,1138.7752085700001
19.83058,405.1714596748352,4.446734,190464,190464,461,0.6035604476928711,-0.0023463955,0.024804687,0.0024457704,93,1613.07,1141.16962634
18.709187,409.60823917388916,4.4457035,192512,192512,459,0.7613503634929657,-0.00418525,0.05415039,0.0044696284,94,1613.07,1146.31608133
11.3856125,414.0656008720398,4.440698,194560,194560,464,0.7111856639385223,-0.004825679,0.038867187,0.0033025178,95,1625.94,1158.8720312599999
12.686898,418.4782249927521,4.436119,196608,196608,474,0.47844958305358887,-0.002630649,0.029833984,0.002954258,96,1625.94,1159.26322066
22.21066,422.79771876335144,4.435067,198656,198656,471,0.7326663434505463,-0.0059559694,0.059667967,0.0057436083,97,1606.48,1146.5585274100001
7.7772217,427.1401436328888,4.433631,200704,200704,457,0.8522399961948395,-0.0033198353,0.050976563,0.004401381,98,1603.15,1149.5292897000002
13.326334,431.6185231208801,4.430628,202752,202752,459,0.6924804449081421,-0.005213103,0.04711914,0.0041146474,99,1603.15,1153.2404028
19.78661,436.0760428905487,4.4364314,204800,204800,450,0.8198063522577286,-0.007048238,0.07001953,0.0056278566,100,1595.54,1154.08705611
9.959895,440.6244628429413,4.452386,206848,206848,441,0.8322483450174332,-0.006493741,0.050439455,0.0041109854,101,1595.54,1160.754728
14.085574,445.2643918991089,4.461617,208896,208896,457,0.7707740068435669,-0.007680489,0.05180664,0.0041458984,102,1595.54,1165.2719080299998
46.126568,449.7413868904114,4.4766397,210944,210944,440,0.8036190420389175,-0.004621311,0.060498048,0.0057144566,103,1498.2,1099.67986835
16.47283,454.38724970817566,4.500975,212992,212992,436,0.8397837281227112,-0.0033990697,0.038867187,0.0035992537,104,1477.55,1088.6627269
10.461414,459.07925391197205,4.513139,215040,215040,471,0.856586292386055,-0.0055570034,0.041748047,0.004028191,105,1462.56,1077.9668975499999
49.30738,463.4230070114136,4.5238276,217088,217088,477,0.7836713343858719,-0.004181701,0.038085938,0.0034460747,106,1392.5,1029.00568433
18.592579,467.71644496917725,4.534362,219136,219136,470,0.8734728693962097,-0.0018788086,0.026757812,0.002379036,107,1360.72,1004.3349961099999
23.949707,472.07117652893066,4.538577,221184,221184,473,0.7978405803442001,-0.0035239302,0.033154298,0.0029475014,108,1317.9,975.48256794
7.0064483,476.39805817604065,4.5346704,223232,223232,466,0.92459337413311,-0.0031656022,0.04248047,0.0037726439,109,1312.82,971.1064381800002
6.4551287,480.792400598526,4.530316,225280,225280,431,0.9364715218544006,-0.0068088556,0.028076172,0.0029830695,110,1323.32,980.5430423199999
17.163204,485.53761172294617,4.53764,227328,227328,445,0.48321324586868286,-0.00480459,0.056689452,0.004600436,111,1337.4,993.6272000299999
31.639292,490.13088822364807,4.543534,229376,229376,486,0.6871134638786316,-0.0030848072,0.039746094,0.0033043367,112,1285.0,953.88778432
