policy_loss,n_updates,time_elapsed,policy_entropy,ep_reward_mean,explained_variance,clipfrac,total_timesteps,value_loss,ep_len_mean,serial_timesteps,fps,approxkl
-0.0033858377,98,430.95603251457214,3.8796382,918.38127158,0.9247762858867645,0.01665039,200704,10.013446,1386.12,200704,462,0.0018756911
-0.0043872837,99,435.38108086586,3.885926,912.16897065,0.9425477981567383,0.04863281,202752,9.856893,1381.37,202752,425,0.005049504
-0.0030697272,100,440.19921255111694,3.9047446,913.23519457,0.8751956522464752,0.06938477,204800,18.947756,1381.37,204800,420,0.0054876767
-0.003535544,101,445.07144117355347,3.9221606,916.8346996900001,0.9184057340025902,0.02080078,206848,17.098436,1384.26,206848,469,0.0021919373
-0.009337831,102,449.43550872802734,3.9307048,905.0009620999999,0.883744053542614,0.044189453,208896,22.835424,1363.17,208896,449,0.004004752
-0.004478035,103,453.9885048866272,3.9388814,915.99395865,0.9503785036504269,0.026367188,210944,13.180807,1374.08,210944,445,0.0025557405
-0.005734528,104,458.58581256866455,3.939281,909.1434273900002,0.9489417038857937,0.06367187,212992,6.6066856,1365.38,212992,459,0.005333161
-0.006672452,105,463.0471532344818,3.9325612,911.9155020900001,0.8276668339967728,0.034375,215040,19.978386,1368.35,215040,476,0.0032649767
-0.004863088,106,467.3501796722412,3.938097,895.7412041,0.9449091479182243,0.04482422,217088,14.779928,1348.85,217088,448,0.0041071693
-0.0020497213,107,471.9131188392639,3.944693,877.0601650099999,0.9342129901051521,0.04511719,219136,24.201242,1313.92,219136,435,0.00439739
-0.006973372,108,476.6178529262543,3.9520524,871.6386989499999,0.9540807381272316,0.036083985,221184,7.6068964,1308.27,221184,470,0.0034659957
-0.0013790161,109,480.9756407737732,3.9540558,879.2574828,0.9339960366487503,0.025488282,223232,12.103354,1317.51,223232,461,0.0022560142
-0.0022453507,110,485.4145212173462,3.9569137,869.7972424299999,0.9012095406651497,0.022509765,225280,22.323227,1305.03,225280,462,0.0021313382
-0.0046102745,111,489.8386940956116,3.9626307,876.0116648799998,0.8709546625614166,0.07338867,227328,19.80294,1310.77,227328,444,0.0058804406
-0.005716469,112,494.4432370662689,3.9731765,875.5655846599999,0.9005266949534416,0.05126953,229376,11.713263,1314.6,229376,440,0.004526057
-0.002537197,113,499.0886125564575,3.9739532,886.4796688999999,0.9177262410521507,0.020068359,231424,10.13349,1328.94,231424,457,0.0020961754
-0.0043594977,114,503.5633807182312,3.9718623,898.0717403499999,0.8320887833833694,0.04458008,233472,10.680228,1344.43,233472,459,0.0038928003
-0.0046358113,115,508.01843643188477,3.9714775,876.2160315599998,0.8875059634447098,0.0390625,235520,19.380463,1316.69,235520,472,0.0035636663
-0.0023328327,116,512.3536081314087,3.9669201,881.39545319,0.8921931833028793,0.06523438,237568,26.684265,1316.04,237568,456,0.0052761645
-0.0037206677,117,516.8421516418457,3.9656715,892.0969489400002,0.7808750718832016,0.05908203,239616,12.121904,1332.24,239616,448,0.0050880993
-0.005505446,118,521.4104850292206,3.971913,892.7249419200001,0.9241790547966957,0.040234376,241664,11.869074,1332.24,241664,443,0.0034596424
-0.005629356,119,526.0312919616699,3.9753556,898.1202587800002,0.8659508675336838,0.08286133,243712,19.179409,1332.24,243712,442,0.0064699478
-0.0005527182,120,530.6603827476501,3.968226,911.0910384200002,0.882505938410759,0.046582032,245760,18.790068,1344.92,245760,434,0.0040900516
-0.006842844,121,535.379093170166,3.958774,920.0840391500002,0.7466961443424225,0.08642578,247808,12.216866,1358.81,247808,456,0.0070159445
