serial_timesteps,explained_variance,policy_loss,policy_entropy,ep_reward_mean,n_updates,ep_len_mean,clipfrac,time_elapsed,fps,value_loss,total_timesteps,approxkl
368640,0.9010615050792694,-0.0038770419,1.5680237,496.80368639999995,180,950.34,0.043652344,603.3511230945587,617,6.562135,368640,0.0040993793
370688,0.8430051952600479,-0.0025806422,1.5707572,473.17882645,181,902.77,0.05810547,606.6712772846222,607,9.715197,370688,0.005034441
372736,0.9517499953508377,-0.00515264,1.5703962,460.78825568,182,875.71,0.072314456,610.0419313907623,635,3.4886863,372736,0.006201825
374784,0.9516631998121738,-0.0035121657,1.573386,453.9733493400001,183,858.71,0.056152344,613.2660782337189,631,3.553574,374784,0.0048933113
376832,0.8756671324372292,0.002920914,1.5690181,437.14924478000006,184,824.49,0.06518555,616.5117263793945,622,11.013628,376832,0.006000542
378880,0.8514886796474457,-0.0026500325,1.5655698,411.95586257,185,774.86,0.051464844,619.8037765026093,595,11.583254,378880,0.0047867056
380928,0.9240846186876297,-0.0019068569,1.5571339,401.49402732000004,186,755.02,0.03691406,623.2444608211517,613,5.0020585,380928,0.0035363869
382976,0.8796315416693687,-0.0048399083,1.5426301,387.4222327,187,728.79,0.06010742,626.5827894210815,621,9.951559,382976,0.0050070216
385024,0.9496973864734173,-0.0009053202,1.5424743,377.02855450000004,188,708.97,0.038964845,629.8802306652069,626,4.100066,385024,0.0035405657
387072,0.9150666669011116,-0.0032343506,1.5470102,368.1002373500001,189,692.62,0.047167968,633.1505470275879,615,7.298031,387072,0.004380679
389120,0.9231996834278107,-0.002370622,1.5511004,357.17772757,190,674.54,0.055371094,636.4763004779816,620,7.3979387,389120,0.0048678415
391168,0.8166511505842209,-0.0009376506,1.55407,354.50392167999996,191,669.53,0.05698242,639.7766726016998,639,10.933832,391168,0.004998165
