approxkl,policy_loss,time_elapsed,fps,total_timesteps,policy_entropy,clipfrac,explained_variance,n_updates,serial_timesteps,value_loss,ep_len_mean,ep_reward_mean
0.005333999,-0.0031972523,914.167032957077,498,501760,3.700332,0.06611328,0.62788125872612,245,501760,15.837848,1448.96,985.0624776000001
0.003349501,-0.0016010292,918.2721898555756,518,503808,3.703783,0.03652344,0.857898086309433,246,503808,7.339414,1460.84,994.1381170600001
0.0047995904,-0.009371096,922.2241342067719,583,505856,3.699986,0.05698242,0.7169274985790253,247,505856,26.359562,1433.39,973.1945090600001
0.0039596413,-0.00503077,925.7364232540131,580,507904,3.7073078,0.047607422,0.7794909924268723,248,507904,12.752878,1433.39,971.9271258000001
0.0043528853,-0.0047369595,929.2630941867828,551,509952,3.7071013,0.04511719,0.8763472735881805,249,509952,7.4072137,1429.93,969.3547241800001
0.0038923777,-0.0068069412,932.9765629768372,544,512000,3.7042248,0.04160156,0.8618129044771194,250,512000,7.351475,1433.82,972.5000668800001
0.0049379454,-0.0024280082,936.7399716377258,559,514048,3.7005737,0.05834961,0.6922838091850281,251,514048,12.155343,1448.21,983.3230069399999
0.0054125297,-0.0071868054,940.398725271225,573,516096,3.6714084,0.060058594,0.7797269821166992,252,516096,10.280749,1448.21,982.4373747
0.0032303357,-0.004967601,943.967987537384,540,518144,3.6533368,0.034521483,0.6598947644233704,253,518144,13.611819,1448.21,981.9217787299998
0.0066512115,-0.003097585,947.7576911449432,548,520192,3.664737,0.079394534,0.696863442659378,254,520192,16.73589,1447.41,980.4402243899999
0.0047469856,-0.0050884,951.493049621582,554,522240,3.6741734,0.055078126,0.6815075278282166,255,522240,15.265544,1454.66,985.1651195100001
0.00364854,-0.0052186325,955.1860475540161,587,524288,3.674459,0.042773437,0.8697622716426849,256,524288,6.944693,1450.86,981.5269061300002
0.005290711,-0.0021233354,958.6696071624756,575,526336,3.673682,0.06611328,0.9294140711426735,257,526336,4.59302,1445.78,976.8603222500001
0.0047752354,-0.0029017047,962.2304322719574,549,528384,3.6685538,0.05732422,0.6904650032520294,258,528384,18.908646,1438.74,971.27051668
0.0064416104,-0.0069010085,965.9565470218658,491,530432,3.6803234,0.074804686,0.7802796512842178,259,530432,6.7807665,1443.71,974.8727562500001
0.0034517397,-0.0023733363,970.1270070075989,464,532480,3.6834788,0.03466797,0.7692044824361801,260,532480,12.103675,1446.8,976.85440473
0.0057528345,-0.009255957,974.5384595394135,541,534528,3.6966863,0.06728516,0.8763396367430687,261,534528,5.212487,1449.81,979.9708072000001
0.005728425,-0.0035014425,978.3177585601807,572,536576,3.7155895,0.064941406,0.6430507898330688,262,536576,11.471822,1463.48,989.3294217400002
0.004972395,-0.004447337,981.8956127166748,558,538624,3.7243915,0.059912108,0.8021465092897415,263,538624,12.9047165,1475.73,998.21002437
0.0039160084,-0.0031101375,985.5601789951324,592,540672,3.71996,0.04272461,0.7564540505409241,264,540672,10.914861,1488.11,1007.3933459099999
0.003948343,-0.003994028,989.0191171169281,595,542720,3.6979847,0.04482422,0.7859955579042435,265,542720,10.240556,1490.48,1009.8784637800002
0.0034539427,-0.007745056,992.4593915939331,577,544768,3.6919084,0.038769532,0.9222051426768303,266,544768,3.761348,1486.44,1007.9000227500001
0.0065930784,-0.00548576,996.0050802230835,545,546816,3.6987653,0.07905273,0.5744987726211548,267,546816,13.417366,1486.44,1008.2027917600001
0.0056080353,-0.005234821,999.7605893611908,577,548864,3.7059848,0.0715332,0.7482433617115021,268,548864,10.801548,1495.5,1014.8492858400001
0.0044749556,-0.0028410063,1003.3098168373108,568,550912,3.704483,0.051611327,0.6430396735668182,269,550912,11.432889,1508.66,1024.54264177
0.004837733,-0.0034355042,1006.9099717140198,543,552960,3.7075527,0.058496095,0.93690524995327,270,552960,3.5170357,1501.23,1018.58049952
0.008524814,-0.008180021,1010.6807515621185,559,555008,3.7029877,0.09726562,0.7312400937080383,271,555008,20.835659,1487.83,1007.6473492400002
0.004769205,-0.0030121137,1014.3413479328156,589,557056,3.699554,0.055908203,0.7417483925819397,272,557056,14.535128,1497.87,1015.47850118
0.005232094,-0.004568125,1017.8135113716125,562,559104,3.6991527,0.06069336,0.9656790569424629,273,559104,2.880489,1493.92,1013.64409646
0.0042975554,-0.0023074988,1021.453816652298,603,561152,3.707018,0.047753908,0.8546155095100403,274,561152,12.316348,1484.72,1007.0257645199998
0.0020515579,-0.0021723232,1024.8469262123108,592,563200,3.713134,0.01826172,0.6350429058074951,275,563200,15.489301,1484.72,1006.0271236999998
0.0027406611,-0.004389944,1028.3042545318604,589,565248,3.709072,0.027197266,0.8510287255048752,276,565248,14.349447,1459.5,987.6676712499998
0.0027220782,-0.0011851623,1031.7796244621277,564,567296,3.7013798,0.02602539,0.8198842108249664,277,567296,15.004976,1455.67,985.1498960800001
0.008131665,-0.008456057,1035.408272743225,550,569344,3.703217,0.08911133,0.8718885779380798,278,569344,6.4730415,1441.83,974.4883140799998
0.0033319797,-0.004036558,1039.1324038505554,581,571392,3.706644,0.035205077,0.8279130756855011,279,571392,11.040433,1441.83,972.98546147
0.0036563464,-0.0018212807,1042.652979850769,505,573440,3.7113152,0.042382814,0.8461020588874817,280,573440,13.026724,1443.8,974.85666175
0.004952428,-0.0067022494,1046.7043733596802,559,575488,3.7101688,0.05605469,0.7938279807567596,281,575488,24.974247,1415.42,959.5114715200001
0.0049426425,-0.0023359037,1050.366723537445,567,577536,3.6976135,0.054638673,0.8651630729436874,282,577536,11.234059,1394.98,943.2287376200001
0.005642143,-0.0071480153,1053.9746148586273,595,579584,3.6881542,0.064648435,0.8961796090006828,283,579584,8.544836,1381.4,932.6124573699999
0.0048575583,-0.0048108515,1057.4155824184418,557,581632,3.6877556,0.05961914,0.7036518752574921,284,581632,11.508325,1396.72,944.41945125
0.0053093387,-0.0070602046,1061.0877549648285,565,583680,3.6750207,0.06386719,0.8900868073105812,285,583680,6.949408,1407.62,952.2339719600002
0.005534872,-0.0055421074,1064.7114777565002,587,585728,3.672893,0.06225586,0.8848427012562752,286,585728,11.22122,1402.67,949.1714785800001
0.0034395694,-0.000103878076,1068.197805404663,560,587776,3.6817174,0.034521483,0.7892863005399704,287,587776,12.60956,1402.67,947.36722472
0.004480123,-0.005016959,1071.850750207901,596,589824,3.6746922,0.051464844,0.8123975396156311,288,589824,15.161426,1377.85,931.38578986
0.008007648,-0.0030273083,1075.2867617607117,527,591872,3.6709976,0.095458984,0.5352805256843567,289,591872,9.986051,1385.28,935.6546302700001
0.0036008277,-0.004713543,1079.1677808761597,569,593920,3.6695943,0.037744142,0.9353147968649864,290,593920,3.4379292,1384.39,934.3981972000001
0.003944114,-0.0068518585,1082.7634103298187,592,595968,3.6755168,0.04799805,0.9458065815269947,291,595968,3.2853577,1395.48,942.0614494900001
0.0030792947,-0.0040171337,1086.2176594734192,570,598016,3.6771152,0.032128908,0.973999435082078,292,598016,2.3638897,1389.93,938.69015998
0.0035782675,-0.0038283982,1089.8093914985657,573,600064,3.658846,0.037402343,0.8660979270935059,293,600064,8.261237,1389.93,939.23750916
0.0070209703,-0.0058314037,1093.379728794098,565,602112,3.639342,0.08408203,0.8039223998785019,294,602112,13.556475,1389.93,939.77039745
0.0043208515,-0.004418274,1097.003873348236,567,604160,3.6421947,0.049707033,0.8820878341794014,295,604160,13.086902,1382.91,936.4457197999999
0.0052648024,-0.006695873,1100.6163609027863,596,606208,3.641337,0.06044922,0.8558753728866577,296,606208,6.2955713,1383.92,937.1607497300001
0.006878496,-0.0041278647,1104.048549413681,597,608256,3.6310723,0.08071289,0.8278344571590424,297,608256,10.815094,1395.74,944.7254572699999
0.0056951223,-0.00077130104,1107.478860616684,583,610304,3.633203,0.06533203,0.7018341720104218,298,610304,15.496814,1395.81,946.38069481
0.003009751,-0.0050863484,1110.9895675182343,615,612352,3.64257,0.034423828,0.8012991845607758,299,612352,13.824885,1420.1,963.92595391
0.0037780534,-0.0044960654,1114.315527677536,612,614400,3.6424835,0.04140625,0.8307883739471436,300,614400,8.443989,1422.63,966.1009353500001
0.0031416626,-0.0024947606,1117.6640422344208,616,616448,3.6291625,0.035009764,0.7638445943593979,301,616448,11.996381,1438.36,977.6857670200002
0.005287098,-0.005388423,1120.9875779151917,590,618496,3.6322842,0.06147461,0.9225933402776718,302,618496,7.3214073,1437.02,978.95942588
0.005116296,-0.0028320693,1124.4571287631989,572,620544,3.6417122,0.06279297,0.9584388695657253,303,620544,3.73655,1453.42,991.4021916300002
0.0043639196,-0.0025953497,1128.034131526947,590,622592,3.6376624,0.052978516,0.7856676578521729,304,622592,10.668959,1453.42,993.59053859
0.0047818543,-0.004101286,1131.5031831264496,597,624640,3.6283658,0.052441407,0.6892124116420746,305,624640,10.44325,1457.66,996.68151914
0.0049387775,-0.0017934933,1134.929855108261,603,626688,3.6185234,0.057373047,0.7913464605808258,306,626688,18.572048,1470.25,1006.88658615
0.0040546847,-0.002489637,1138.3233997821808,592,628736,3.616775,0.043603517,0.9115122556686401,307,628736,7.0527773,1478.96,1014.42082899
0.0043789307,-0.004420492,1141.7777540683746,583,630784,3.6146626,0.051171876,0.8236494064331055,308,630784,8.377783,1483.72,1018.29283394
0.008592522,-0.0032208867,1145.2899959087372,521,632832,3.622111,0.08916016,0.7471970021724701,309,632832,15.763338,1482.44,1015.7190645799998
0.0045363926,-0.0070943264,1149.2211291790009,562,634880,3.6436684,0.054248046,0.9486326538026333,310,634880,3.9071345,1486.31,1018.58959514
0.005545335,-0.004614504,1152.8623750209808,555,636928,3.6461651,0.056347657,0.8559218049049377,311,636928,18.4718,1479.48,1013.96173929
0.0029965045,-0.0033218258,1156.552563905716,562,638976,3.6456745,0.0328125,0.8635507971048355,312,638976,10.88562,1465.31,1003.2662441000002
0.0046201893,-0.0061644786,1160.191792011261,547,641024,3.655503,0.053027343,0.8571492731571198,313,641024,9.881692,1455.94,997.1129991299999
0.008064085,0.0003404251,1163.9343066215515,564,643072,3.6679642,0.0887207,0.6177599430084229,314,643072,10.611419,1471.31,1006.68732454
