serial_timesteps,ep_len_mean,value_loss,fps,approxkl,clipfrac,ep_reward_mean,n_updates,policy_loss,total_timesteps,policy_entropy,explained_variance,time_elapsed
284672,897.73,10.656027,447,0.0056178896,0.06992187,520.42147793,139,-0.006641017,284672,2.9939055,0.901454322040081,630.2987728118896
286720,915.72,10.06712,428,0.0019662993,0.01821289,534.12845484,140,-0.0021466105,286720,2.999402,0.8852834105491638,634.8727366924286
288768,931.81,22.92618,459,0.005365995,0.06123047,545.2674341300001,141,-0.005154358,288768,2.9977174,0.7967055141925812,639.6484005451202
290816,913.46,15.276044,409,0.0067793517,0.083544925,531.6220333699999,142,-0.0035999753,290816,2.9998255,0.8618488311767578,644.1023690700531
292864,931.32,13.65022,407,0.0054849396,0.06953125,542.7813148199999,143,-0.0041931644,292864,3.0079868,0.7488279342651367,649.100340127945
294912,921.31,19.10399,431,0.003397456,0.03676758,535.91919189,144,-0.0025285888,294912,3.0065255,0.8754568621516228,654.1267228126526
296960,939.31,8.877306,420,0.0038891572,0.043701172,546.89898913,145,-0.0016720856,296960,3.0030043,0.7817202508449554,658.872394323349
299008,957.37,18.472048,418,0.007246509,0.08989258,558.0376456199999,146,-0.002874967,299008,3.0015326,0.6286007761955261,663.7424676418304
301056,975.49,10.287624,473,0.0051544793,0.06303711,571.47585612,147,-0.0046607438,301056,3.009131,0.8885354027152061,668.6405551433563
303104,975.81,5.908634,436,0.0043589477,0.0496582,571.63445917,148,-0.004942004,303104,3.0087543,0.8998321071267128,672.9651834964752
305152,986.83,12.641407,437,0.00303938,0.030615235,576.51675782,149,-0.0005924546,305152,3.0013251,0.8519127666950226,677.6596441268921
307200,970.0,25.635443,430,0.0025494362,0.024023438,562.38449528,150,-0.004148964,307200,2.998499,0.6529754400253296,682.3457717895508
309248,971.54,8.976122,467,0.005034662,0.059277344,563.42121676,151,-0.005175691,309248,2.9896405,0.8146610409021378,687.1099050045013
311296,971.54,8.936463,442,0.0054528355,0.06665039,560.51771132,152,-0.002454493,311296,2.985692,0.8317872136831284,691.4881167411804
313344,991.27,8.876302,441,0.003658338,0.04160156,572.2620685300001,153,-0.003480322,313344,2.9939463,0.8430798649787903,696.1180741786957
315392,1009.09,8.861601,432,0.0060664397,0.07392578,583.43284517,154,-0.0060828985,315392,3.0070665,0.9115011617541313,700.7607390880585
317440,1032.22,18.164616,448,0.003108411,0.03857422,600.84427872,155,-0.004537065,317440,3.0148659,0.8000793755054474,705.4958591461182
319488,1050.17,13.900719,417,0.00334901,0.04169922,611.73150294,156,-0.00052506034,319488,3.0174901,0.8145497739315033,710.0655643939972
321536,1055.57,8.666476,467,0.0042474335,0.048828125,616.8081225399999,157,-0.0034729787,321536,3.011166,0.8909154981374741,714.9757251739502
323584,1088.35,16.427677,396,0.0027621097,0.027294923,637.91350633,158,-0.0011126231,323584,3.0076041,0.7504523992538452,719.3530898094177
325632,1094.56,22.040524,455,0.0042288587,0.04663086,641.45726731,159,-0.0033901618,325632,3.010179,0.6586313247680664,724.522617816925
327680,1107.95,12.090026,483,0.0028555212,0.029003907,650.82634563,160,-0.0008538884,327680,2.9985924,0.8910330012440681,729.0230128765106
329728,1115.63,12.261187,454,0.004186732,0.048779298,654.72951629,161,-0.0006347541,329728,2.999565,0.7248457372188568,733.2619979381561
331776,1122.87,7.230246,459,0.003341553,0.031201173,659.8015760400001,162,-2.1328637e-05,331776,2.9927974,0.8735080063343048,737.765558719635
333824,1116.06,23.923435,424,0.003749522,0.04321289,654.86234714,163,-0.004360104,333824,2.9851036,0.6187435388565063,742.2246041297913
335872,1123.73,3.671091,478,0.0047064093,0.05517578,661.08992098,164,-0.003961499,335872,2.9927676,0.9519539847970009,747.0524342060089
337920,1139.32,7.032003,391,0.0034574508,0.03779297,671.00017429,165,-0.0025436527,337920,2.9943023,0.8868530541658401,751.336049079895
339968,1154.79,9.899652,415,0.004379268,0.050878905,681.2142574599999,166,-0.003439533,339968,2.991439,0.848135307431221,756.5678946971893
342016,1169.18,7.7027473,391,0.0022383486,0.022802735,689.9233623100001,167,-0.0020712991,342016,2.99829,0.8080974519252777,761.4984548091888
344064,1178.05,18.325308,433,0.006672992,0.08549805,694.0143722900002,168,-0.0038511413,344064,3.009647,0.7150463163852692,766.733695268631
346112,1196.07,6.841633,393,0.0053829094,0.063964844,705.1657965600002,169,-0.0026797678,346112,3.0173914,0.8104139417409897,771.4541640281677
348160,1171.08,27.084589,463,0.00418027,0.048876952,687.8441251999998,170,-0.0071755433,348160,3.024229,0.5936583578586578,776.6568505764008
350208,1161.02,17.450397,479,0.0040446827,0.041552734,681.32126879,171,-0.0048121638,350208,3.0432792,0.8679450452327728,781.0802826881409
352256,1162.73,7.663475,412,0.0046678027,0.052246094,682.05348266,172,-0.0050786543,352256,3.0674217,0.881514810025692,785.3497245311737
354304,1162.73,7.9710298,427,0.0054035964,0.064892575,681.6135898000002,173,-0.0034869176,354304,3.0741918,0.8929356262087822,790.31560587883
356352,1169.62,13.370501,442,0.0039412095,0.0453125,687.5639663000001,174,-0.0037043863,356352,3.0671906,0.8669553250074387,795.1123311519623
358400,1153.77,17.073713,437,0.003447799,0.035009764,676.0278629700001,175,-0.0034112907,358400,3.063573,0.8118685036897659,799.7363479137421
360448,1163.72,10.232613,451,0.0027438928,0.02890625,682.8193584,176,-0.0041194013,360448,3.059541,0.8937185779213905,804.4245793819427
362496,1165.37,12.468003,463,0.0041568135,0.046191406,683.1982611899999,177,-0.004374519,362496,3.0530362,0.8960523158311844,808.9576280117035
364544,1143.37,11.038274,480,0.002469488,0.024658203,667.8828188400001,178,-0.00015037644,364544,3.0534906,0.8511323183774948,813.3795580863953
366592,1130.5,16.24559,487,0.0034598366,0.03930664,659.1222939300001,179,-0.004129852,366592,3.0594742,0.7987080663442612,817.6431574821472
368640,1137.64,16.574013,461,0.005740793,0.06352539,664.5592310300001,180,-0.0067487136,368640,3.0559545,0.8099238574504852,821.8468570709229
370688,1138.61,5.606876,472,0.004070422,0.046484374,666.09667324,181,-0.0045933127,370688,3.0562215,0.9325105249881744,826.2837951183319
372736,1128.12,6.779236,470,0.004642485,0.05307617,659.6422706600001,182,-0.004184892,372736,3.0509832,0.9066127464175224,830.6199812889099
374784,1116.24,21.17866,471,0.0037809052,0.0421875,650.33483381,183,-0.0019274891,374784,3.046471,0.7705942094326019,834.9699895381927
376832,1134.0,16.263592,484,0.0053559197,0.05444336,664.56975486,184,-0.0038244273,376832,3.0409458,0.876947857439518,839.313089132309
378880,1134.0,9.788535,483,0.0043690563,0.050732423,663.17914313,185,-0.005044656,378880,3.0342069,0.8954674154520035,843.5438010692596
380928,1137.31,8.09192,472,0.0026585495,0.029101562,665.61661999,186,-0.0019947432,380928,3.0372212,0.8804745376110077,847.7831547260284
382976,1147.84,15.417145,451,0.0016692538,0.015332031,672.01922486,187,-0.0023901812,382976,3.0327172,0.8338034152984619,852.11998462677
385024,1154.07,10.359809,459,0.0047247503,0.051660158,676.73735507,188,-0.0035462424,385024,3.0298066,0.897623784840107,856.6518032550812
387072,1145.34,9.730363,450,0.0029961248,0.031591795,670.36594855,189,-0.0006416645,387072,3.0311608,0.801902174949646,861.1136765480042
389120,1145.34,10.807386,454,0.008378334,0.076367185,670.9702906799998,190,-0.0011518686,389120,3.0398247,0.7117264866828918,865.6572096347809
391168,1152.1,19.716917,453,0.0028466936,0.026220703,675.47400789,191,-0.0031228948,391168,3.0375109,0.7800873816013336,870.1675789356232
393216,1167.44,11.1296625,444,0.0064860596,0.06123047,685.4541090200001,192,-0.0022641404,393216,3.03715,0.7244282960891724,874.6851894855499
395264,1178.75,8.954504,465,0.0045057526,0.04926758,693.9264303399999,193,-0.006385904,395264,3.0396008,0.8793988302350044,879.2962551116943
