policy_entropy,n_updates,value_loss,serial_timesteps,total_timesteps,ep_len_mean,fps,clipfrac,ep_reward_mean,explained_variance,time_elapsed,approxkl,policy_loss
4.4646835,153,2.706056,313344,313344,1228.8,164,0.046289064,1011.1939355700001,0.9672937840223312,2118.2024488449097,0.004485278,-0.005593669
4.4632826,154,9.014466,315392,315392,1209.05,145,0.048828125,998.4172676000002,0.9212298691272736,2130.627761363983,0.0077664116,-0.006739282
4.4522247,155,2.8393135,317440,317440,1208.32,191,0.04711914,1003.8203965100001,0.9606418907642365,2144.6645691394806,0.0045346837,-0.0066386918
4.446781,156,3.154708,319488,319488,1208.32,200,0.025732422,1009.5517558900001,0.9607533626258373,2155.376658678055,0.0022949437,-0.0021271184
4.450866,157,14.120018,321536,321536,1226.1,150,0.04472656,1022.7572382999999,0.7551390826702118,2165.5682170391083,0.003897726,-0.00567804
4.4536834,158,25.715588,323584,323584,1199.9,107,0.038330078,997.8471172000001,0.8723151683807373,2179.211992263794,0.0033796031,-0.005397562
4.4563575,159,2.7973425,325632,325632,1197.89,202,0.041796874,996.2150527400001,0.9604133740067482,2198.2585690021515,0.00392772,-0.0041707763
4.4420557,160,2.465952,327680,327680,1208.32,175,0.037988283,1006.08421485,0.9619722664356232,2208.3496174812317,0.0037395046,-0.0041628443
4.427175,161,3.5692418,329728,329728,1213.26,171,0.040283203,1011.45353321,0.9583867192268372,2220.050424337387,0.0037453596,-0.0033563622
4.4089575,162,2.551724,331776,331776,1228.78,200,0.043603517,1024.8539629,0.9567561075091362,2231.9870495796204,0.00458527,-0.0056843283
4.3998585,163,7.7745376,333824,333824,1231.95,118,0.0340332,1028.02093555,0.9496782273054123,2242.227911233902,0.0050036605,-0.0056962464
4.4055953,164,3.3549771,335872,335872,1243.0,178,0.050390624,1039.90019532,0.9556903839111328,2259.5148334503174,0.005415382,-0.011493759
4.4076295,165,2.6963804,337920,337920,1249.28,200,0.042529296,1045.92230469,0.9586180709302425,2270.9583892822266,0.0040413802,-0.003837897
4.4017916,166,8.322494,339968,339968,1250.01,150,0.04086914,1048.3974707099999,0.9333776459097862,2281.198627471924,0.0040202,-0.0036679138
4.4049883,167,3.1800268,342016,342016,1266.92,180,0.031103516,1064.7919804700002,0.9623475782573223,2294.818321943283,0.003132388,-0.0050210175
4.3889556,168,2.4616573,344064,344064,1283.17,189,0.054394532,1080.6579179700002,0.9596225097775459,2306.1814732551575,0.0050031263,-0.0059113814
4.3789673,169,33.873356,346112,346112,1263.85,59,0.033496093,1062.52075586,0.7445912659168243,2316.9915130138397,0.0030452458,-0.0047946414
4.3811493,170,2.6384676,348160,348160,1266.79,166,0.029736329,1064.50856446,0.9601961113512516,2351.4488644599915,0.0028611538,-0.0029999777
4.3875628,171,8.962165,350208,350208,1260.82,174,0.06123047,1056.10322852,0.8722339868545532,2363.72185587883,0.006711242,-0.0036502746
4.3945646,172,1.2832553,352256,352256,1249.28,138,0.068554685,1042.91538672,0.9785940796136856,2375.4816176891327,0.00569393,-0.0060736276
4.3937407,173,2.8688354,354304,354304,1266.48,200,0.027001953,1059.8990859399998,0.964398130774498,2390.3027291297913,0.002772587,-0.005527988
4.41142,174,11.955355,356352,356352,1284.05,139,0.036328126,1076.60978711,0.921855665743351,2400.5386698246,0.0054974565,-0.007880705
4.422375,175,8.58398,358400,358400,1296.23,148,0.0453125,1089.75139648,0.94149424508214,2415.2040412425995,0.0042799027,-0.0031622755
4.4168434,176,2.466229,360448,360448,1310.98,198,0.046728514,1104.5550566400002,0.9573946632444859,2429.006203889847,0.004268584,-0.009432628
4.3976417,177,6.8018622,362496,362496,1331.2,197,0.044677734,1123.52682031,0.6865587830543518,2439.3214831352234,0.0037784383,-0.0026275134
4.412673,178,7.468068,364544,364544,1332.08,173,0.031201173,1118.25308398,0.9545637778937817,2449.674661397934,0.0028860413,-0.004228552
4.4318943,179,15.308853,366592,366592,1333.92,122,0.045947265,1120.45507421,0.6830095648765564,2461.461853504181,0.004228785,-0.0048180916
4.440009,180,4.2227545,368640,368640,1331.2,187,0.03769531,1112.95907226,0.8087001144886017,2478.247666120529,0.003302882,-0.0055078613
4.4338136,181,1.2822964,370688,370688,1346.46,155,0.057861328,1122.85100781,0.977883193641901,2489.1734631061554,0.005238033,-0.0038417163
4.4180555,182,4.4686255,372736,372736,1363.85,197,0.046679687,1140.2089550800004,0.9475947916507721,2502.308218240738,0.0047862185,-0.0076458855
4.4179773,183,9.827369,374784,374784,1374.79,127,0.05288086,1150.94133789,0.9302312657237053,2512.666270017624,0.009027398,0.0013740862
4.4238276,184,3.586967,376832,376832,1389.57,199,0.025390625,1165.76941601,0.9597744345664978,2528.693428516388,0.0025816893,-0.003281903
4.4024715,185,2.3991623,378880,378880,1407.05,172,0.06367187,1181.13306836,0.9592163302004337,2538.9461636543274,0.0058497502,-0.005891324
4.3574777,186,2.3837953,380928,380928,1413.12,166,0.03652344,1187.79192969,0.960072860121727,2550.8121910095215,0.0038672008,-0.004397149
4.3270254,187,2.493712,382976,382976,1430.68,197,0.05883789,1205.15219141,0.9568153545260429,2563.1317932605743,0.004906706,-0.006564041
