total_timesteps,policy_entropy,policy_loss,approxkl,n_updates,serial_timesteps,ep_reward_mean,ep_len_mean,time_elapsed,explained_variance,clipfrac,fps,value_loss
247808,2.6904159,-0.0007515645,0.006002748,121,247808,707.4840373999999,1103.57,508.5401155948639,0.7783991247415543,0.069042966,466,14.97702
249856,2.691281,-0.0032510578,0.003476624,122,249856,695.5682245900002,1086.1,512.9287905693054,0.8462035804986954,0.038623046,453,21.47298
251904,2.6885862,-0.004338066,0.0033859778,123,251904,689.4061176,1078.14,517.4483587741852,0.9261241480708122,0.03569336,482,4.6758647
253952,2.6909447,-0.00490966,0.0038603633,124,253952,690.32597118,1078.14,521.696809053421,0.8189687132835388,0.048828125,492,10.103019
256000,2.6941547,-0.0025108226,0.0039504706,125,256000,691.36946406,1079.71,525.852858543396,0.8199686408042908,0.045556642,465,10.078894
258048,2.6944957,-0.0039952993,0.003594384,126,258048,704.49303428,1097.6,530.2590036392212,0.774654284119606,0.037988283,495,13.6349745
260096,2.6995656,-0.003494136,0.0038114446,127,260096,717.35645059,1114.68,534.392664194107,0.800624743103981,0.04472656,473,13.860739
262144,2.7080545,-0.007990705,0.0071160914,128,262144,729.46471548,1131.33,538.7225799560547,0.768126517534256,0.08554687,474,20.050076
264192,2.717018,-0.0033997532,0.00903135,129,264192,716.95459047,1113.49,543.0354554653168,0.8557371497154236,0.08271484,485,20.454752
266240,2.7129464,-0.0031491953,0.005733317,130,266240,721.90553658,1121.62,547.2541613578796,0.7716999053955078,0.066552736,486,10.622669
268288,2.703466,-0.0041582133,0.003507879,131,268288,720.6506702800001,1121.62,551.4630026817322,0.8114554584026337,0.03828125,483,10.396827
270336,2.7017913,-0.0034614366,0.004584341,132,270336,732.78689917,1139.2,555.7001473903656,0.8292296379804611,0.05390625,480,16.175869
272384,2.699112,-0.0023152041,0.0044513415,133,272384,745.89618526,1156.77,559.962907075882,0.8473417162895203,0.05214844,485,12.379408
274432,2.7106245,-0.0068680854,0.0065921373,134,274432,745.8957811100001,1156.77,564.1777069568634,0.8648497611284256,0.08432617,497,10.054212
276480,2.7278106,-0.0044671325,0.0051507712,135,276480,759.1891338500002,1174.59,568.2967855930328,0.8585883677005768,0.061083984,493,10.239934
278528,2.7350135,-0.0033279085,0.0036688738,136,278528,758.0659429,1174.59,572.4443335533142,0.715330958366394,0.039990235,485,15.15227
280576,2.736833,-0.004107223,0.004214977,137,280576,758.5736482199999,1174.59,576.6607964038849,0.8212517648935318,0.04741211,463,11.428781
282624,2.7215319,-0.0050461725,0.0057662847,138,282624,765.2589697299998,1183.16,581.0810916423798,0.8177129179239273,0.06577148,436,11.319364
284672,2.712051,-0.0056708762,0.004285738,139,284672,756.8298713499998,1170.14,585.7689719200134,0.9426354616880417,0.05214844,476,3.917992
286720,2.7224872,-0.0063342666,0.005573992,140,286720,761.03366849,1176.05,590.064400434494,0.8019331097602844,0.063964844,473,16.706102
288768,2.7285078,-0.0022552835,0.0020759704,141,288768,755.5062123100001,1167.0,594.3882939815521,0.8250796645879745,0.018310547,476,18.692669
290816,2.7223864,-0.0029420634,0.0038163178,142,290816,743.1186805100001,1148.7,598.6863849163055,0.9461849592626095,0.04272461,483,6.481173
292864,2.7216277,-0.0037682112,0.004211923,143,292864,757.30423551,1167.4,602.9241242408752,0.8493301868438721,0.04506836,492,16.331272
294912,2.7343602,-0.0058956975,0.004006628,144,294912,756.9044297,1167.4,607.0854635238647,0.744374692440033,0.044433594,511,15.529409
296960,2.7387545,-0.0023639272,0.0035604425,145,296960,768.5328747399998,1182.6,611.0893514156342,0.8136621862649918,0.04082031,470,11.972501
299008,2.7290463,-0.0043935636,0.0060439515,146,299008,781.3317593899999,1200.39,615.4423308372498,0.8471270501613617,0.074121095,478,12.761637
301056,2.7317367,-0.0020155124,0.0039987704,147,301056,783.4419154299999,1200.39,619.7215495109558,0.8026663959026337,0.048339844,479,11.496167
303104,2.731561,-0.002379429,0.0054813474,148,303104,794.9993702400002,1217.09,623.9921927452087,0.6628527641296387,0.050830077,460,15.230566
305152,2.7265575,-0.0026898338,0.0040167207,149,305152,796.378921,1217.09,628.4359843730927,0.8293889164924622,0.043945312,488,10.167456
307200,2.717801,-0.0012208408,0.006054684,150,307200,809.77613738,1235.04,632.6295998096466,0.875398263335228,0.0730957,472,10.534708
309248,2.7202506,-0.003672277,0.0044062342,151,309248,813.44527803,1236.31,636.9638006687164,0.87991963326931,0.05024414,459,17.889217
311296,2.7254252,-0.0046581333,0.0051734624,152,311296,815.2350158199998,1238.29,641.4257228374481,0.8862354382872581,0.05913086,452,9.453605
313344,2.7249765,-0.0025557552,0.00446573,153,313344,817.8350789599999,1241.72,645.949111700058,0.8008726984262466,0.050976563,452,12.75766
315392,2.733344,-0.003232299,0.0061493735,154,315392,822.67264199,1248.03,650.4717118740082,0.8269816637039185,0.070898436,478,15.801619
317440,2.7499866,-0.0037257713,0.004637701,155,317440,835.9609083600002,1267.52,654.7485303878784,0.7236429750919342,0.051660158,458,20.329708
319488,2.7636642,3.280603e-05,0.0031448458,156,319488,848.79181461,1285.46,659.2146947383881,0.7862996011972427,0.03491211,459,13.91305
321536,2.7651343,-0.0021519787,0.005025451,157,321536,858.7517022899999,1299.09,663.671877861023,0.892458088696003,0.058251955,480,8.047724
323584,2.7652574,-0.0030879916,0.003766317,158,323584,862.7865266399999,1303.53,667.9350488185883,0.9451177455484867,0.04082031,481,4.2552843
325632,2.76033,-0.0024439283,0.0034948806,159,325632,869.7508892799998,1311.12,672.1890549659729,0.8354476243257523,0.039208986,490,25.79721
327680,2.761319,-0.0002886458,0.002958431,160,327680,871.4991971500001,1313.38,676.362879037857,0.7973912507295609,0.027392577,480,22.733221
329728,2.764968,-0.0035168026,0.0045808894,161,329728,875.3175910900002,1320.23,680.6261737346649,0.8089305609464645,0.052978516,466,16.026054
331776,2.7585747,-0.0029136392,0.005299535,162,331776,883.56945711,1331.55,685.0125691890717,0.9070617482066154,0.061279297,465,7.38768
333824,2.7535868,-0.0024342486,0.004223315,163,333824,895.27097782,1347.84,689.4089591503143,0.7260196805000305,0.045800783,499,13.534434
335872,2.7632253,-0.0064909994,0.0044776094,164,335872,897.4694217399999,1353.0,693.5112016201019,0.8214277923107147,0.05415039,477,15.292862
337920,2.776443,-0.0045507075,0.004621269,165,337920,904.5638880700001,1362.08,697.7967252731323,0.8480350822210312,0.057666015,471,9.726792
339968,2.7815306,-0.0033031001,0.0050161746,166,339968,885.5600480899998,1338.5,702.143728017807,0.8489056974649429,0.060839843,492,21.423822
342016,2.784386,-0.0028642933,0.0035007515,167,342016,874.44550062,1324.68,706.3008763790131,0.8156149089336395,0.039453126,483,18.957262
344064,2.786162,-0.0023820228,0.00323821,168,344064,873.1508994,1322.61,710.5361592769623,0.9195793569087982,0.036132812,486,8.466749
346112,2.7916107,-0.001320512,0.0041373586,169,346112,851.4337537299999,1294.1,714.7428560256958,0.9162392169237137,0.047509767,484,13.73366
