serial_timesteps,total_timesteps,time_elapsed,fps,value_loss,policy_entropy,policy_loss,clipfrac,n_updates,ep_reward_mean,explained_variance,approxkl,ep_len_mean
208896,208896,486.8096888065338,484,6.471508,2.9732912,-0.00097591634,0.029443359,102,364.1821343,0.9221222922205925,0.00288819,641.41
210944,210944,491.0400137901306,447,18.88496,2.9787707,-0.0075733447,0.06455078,103,361.90389604000006,0.8481415212154388,0.006834528,640.57
212992,212992,495.6210980415344,478,12.631979,2.989137,-0.0038454127,0.035986327,104,343.95030289999994,0.8830781728029251,0.0034959079,614.76
215040,215040,499.8976674079895,480,11.308203,2.9989614,-0.0007380809,0.037109375,105,354.6637371,0.8599564284086227,0.0035237863,629.4
217088,217088,504.1593084335327,299,19.678946,3.0085332,-0.0058261016,0.05859375,106,341.04813885000004,0.8941733241081238,0.0048755584,608.46
219136,219136,510.99255323410034,394,9.832525,3.0142996,-0.0022451833,0.029248048,107,343.16684662,0.9013957604765892,0.002801793,610.66
221184,221184,516.1884860992432,377,20.797504,3.0220222,-0.0054778224,0.023876954,108,336.63998753,0.7967041879892349,0.0022978925,605.98
223232,223232,521.6096007823944,470,8.427238,3.0197186,-0.0009709102,0.050341796,109,346.30485863,0.8306434750556946,0.0044717137,621.13
225280,225280,525.9626281261444,489,20.896269,3.0099547,-0.002867736,0.034082033,110,304.5195071400001,0.8334536105394363,0.0032705148,558.73
227328,227328,530.1431169509888,454,14.951075,3.01433,-0.0036356081,0.040771484,111,292.45183553,0.8080534338951111,0.0039754612,540.84
229376,229376,534.6531705856323,436,11.723618,3.0280786,-0.003396514,0.042285156,112,301.43266308,0.9052476212382317,0.0036697767,555.48
231424,231424,539.3479590415955,428,11.417059,3.0284498,-0.0025404878,0.03178711,113,283.38180643,0.9183854460716248,0.0030626045,532.73
233472,233472,544.1251327991486,476,14.187632,3.0153544,-0.0012338331,0.051171876,114,276.27283358000005,0.8520890772342682,0.0045221215,525.0
235520,235520,548.4205360412598,455,24.512789,3.0085788,-0.0037693684,0.057128906,115,283.24323367,0.7998067438602448,0.005555905,533.62
237568,237568,552.9199709892273,501,10.330987,3.005883,-0.0030065053,0.056591798,116,285.78022497,0.907055102288723,0.004818416,538.87
239616,239616,557.0083265304565,479,21.485764,3.0078788,-0.0040978086,0.027539063,117,301.46022370000003,0.8351658284664154,0.0025197985,560.38
241664,241664,561.2823996543884,461,8.3896475,3.005621,-0.0019516002,0.03173828,118,313.71042745,0.888326920568943,0.0030089072,576.36
243712,243712,565.7200026512146,476,32.45124,3.0073543,-0.0021645243,0.028857421,119,323.23480535000004,0.6314477026462555,0.0029549613,592.55
245760,245760,570.0230967998505,503,7.1470437,3.0114307,-0.00251408,0.070166014,120,325.45337213000005,0.866016298532486,0.0062133004,596.27
247808,247808,574.0879681110382,498,16.201408,3.0200982,-0.0025332647,0.03178711,121,328.15432266000005,0.7875567227602005,0.0030220477,596.65
249856,249856,578.1990547180176,517,15.343175,3.0224736,-0.0016810175,0.032177735,122,329.81647666,0.8157009035348892,0.0029614773,599.41
251904,251904,582.1535007953644,473,7.2457514,3.0257144,-0.0034880526,0.061279297,123,337.44674499,0.911372572183609,0.0054131383,608.85
253952,253952,586.4827654361725,494,12.6426,3.0413983,-0.0045873323,0.08476563,124,351.49599389,0.8319712579250336,0.007274018,630.22
256000,256000,590.6225850582123,478,7.8854036,3.04961,-0.0054685515,0.081689455,125,354.15186992,0.7298787832260132,0.0068459525,635.66
258048,258048,594.9043259620667,475,8.567118,3.049912,-0.001717362,0.036865234,126,360.16293056,0.842482790350914,0.003150244,645.6
260096,260096,599.2130892276764,490,23.046568,3.051506,-0.005589523,0.043261718,127,365.81243867999996,0.7547673881053925,0.0038620543,652.13
262144,262144,603.3896808624268,461,12.577592,3.052473,-0.0016391181,0.035888672,128,376.24883422000005,0.8784919902682304,0.003472009,665.6
264192,264192,607.8264579772949,403,22.624165,3.0510457,-0.006458492,0.04243164,129,380.03726394999995,0.8759269416332245,0.003883386,673.74
266240,266240,612.9006972312927,480,5.1382947,3.0553362,-0.0041393703,0.05493164,130,388.26683241,0.9163786768913269,0.0045821955,686.43
268288,268288,617.160920381546,502,23.032604,3.0531566,-0.00076494436,0.04033203,131,401.69771076999996,0.7438641488552094,0.0037825357,706.62
270336,270336,621.2341105937958,484,29.368795,3.0549407,-0.007533922,0.03642578,132,401.79503107000005,0.7454502880573273,0.0035453297,703.57
272384,272384,625.4584743976593,476,10.5925455,3.0667667,-0.003309314,0.10483398,133,415.28407770000007,0.8088714480400085,0.008833322,723.61
274432,274432,629.7537949085236,498,14.805429,3.0826094,-0.0050639133,0.045556642,134,412.23800227,0.8784713596105576,0.003978736,717.3
276480,276480,633.8664975166321,478,11.946156,3.0893679,-0.006455357,0.043603517,135,405.04431973,0.8563259840011597,0.0041615088,706.51
278528,278528,638.1459157466888,292,25.611176,3.0762854,-0.0021028076,0.054296874,136,415.04199394000005,0.9108564034104347,0.004803797,724.61
280576,280576,645.1529138088226,472,11.5105715,3.079142,-0.0032773733,0.036035158,137,422.47411911,0.8693826645612717,0.0030131764,734.62
282624,282624,649.4880549907684,506,16.850134,3.079708,-0.004438756,0.03125,138,417.37273559999994,0.8519965261220932,0.0028569568,724.98
284672,284672,653.5306332111359,397,33.299084,3.0835598,-0.0043926495,0.026953125,139,403.47930875,0.735897421836853,0.0024918742,706.3
286720,286720,658.6804456710815,493,12.94412,3.0899405,-0.002144904,0.033203125,140,399.53687073000003,0.7934136837720871,0.0031093475,703.99
288768,288768,662.8280735015869,491,7.9807396,3.0953176,-0.00013342322,0.03310547,141,407.69680644,0.9174982458353043,0.0031028222,716.5
290816,290816,666.9915060997009,493,33.2394,3.09603,-0.005326235,0.054541014,142,405.72441459999993,0.6638262867927551,0.004761246,711.37
292864,292864,671.1390371322632,512,10.051607,3.099592,-0.0032611198,0.0390625,143,406.39109608999985,0.87271748483181,0.0032302786,711.47
294912,294912,675.1324932575226,510,5.32034,3.106649,-0.0033842467,0.03334961,144,405.25604899999996,0.9317332580685616,0.0036673625,709.36
296960,296960,679.1439595222473,474,10.966002,3.1133926,-0.0035574522,0.040625,145,416.37251537,0.866175502538681,0.0037802972,725.13
299008,299008,683.4650309085846,498,18.114792,3.1079097,-0.0031087406,0.051757812,146,425.02000144,0.6169459819793701,0.004766915,740.62
301056,301056,687.5779747962952,486,9.286043,3.095162,-0.0025464331,0.0609375,147,435.99030614,0.9143143817782402,0.0052536847,758.65
303104,303104,691.7894089221954,517,5.372393,3.0970216,-0.0029641823,0.054785155,148,446.1341792799999,0.9213378205895424,0.004859023,773.06
305152,305152,695.750319480896,217,49.888252,3.1144917,-0.004557937,0.11347656,149,445.73884560000005,0.6141705214977264,0.008854051,771.68
