serial_timesteps,value_loss,ep_reward_mean,policy_loss,approxkl,ep_len_mean,total_timesteps,n_updates,time_elapsed,clipfrac,policy_entropy,fps,explained_variance
284672,11.073893,550.00008976,-0.0077016437,0.0065027988,1154.58,284672,139,475.1777265071869,0.07368164,1.5651311,594,0.7810794115066528
286720,11.425945,537.58081042,-0.008619746,0.006708046,1126.06,286720,140,478.62058568000793,0.084423825,1.5823878,598,0.6376593112945557
288768,17.088902,510.54210596999997,-0.004276495,0.004773946,1068.64,288768,141,482.04148030281067,0.057373047,1.6039299,597,0.5066475868225098
290816,11.125563,498.2508624599999,-0.0017891634,0.0044984734,1043.35,290816,142,485.46961784362793,0.05234375,1.6181427,584,0.693962812423706
292864,10.237932,482.91971761,-0.0011101434,0.004069246,1012.39,292864,143,488.9736268520355,0.046679687,1.6202236,591,0.6839902400970459
294912,14.652944,467.93386737999987,-0.003461381,0.0045579257,979.74,294912,144,492.4373869895935,0.046191406,1.5993268,609,0.68589648604393
296960,9.176394,460.93232792,-0.002327626,0.0061987625,963.43,296960,145,495.79823565483093,0.07314453,1.5804659,605,0.8239301592111588
299008,14.089322,444.80641497000005,-0.0016269466,0.0039882245,930.99,299008,146,499.1786644458771,0.043652344,1.5854377,604,0.6438796818256378
301056,10.086781,439.39400420000004,0.001394036,0.0045229373,918.2,301056,147,502.5656831264496,0.05024414,1.5906459,607,0.7876566350460052
303104,13.921079,438.12921680000005,-0.0015231093,0.0029872528,912.93,303104,148,505.93558955192566,0.031201173,1.5924714,601,0.6612040102481842
305152,5.527037,438.11859695999993,-0.0033760816,0.0043628416,910.05,305152,149,509.34193658828735,0.050341796,1.5903012,592,0.8729991316795349
307200,11.31132,436.87815266000007,-0.0029134243,0.0052138157,905.35,307200,150,512.8014242649078,0.06269531,1.5982158,594,0.6492200791835785
309248,9.132112,427.56980232,-0.0017698416,0.003476785,882.66,309248,151,516.2510724067688,0.035449218,1.6025207,595,0.7746295928955078
311296,14.462011,406.0337614,-0.0014113595,0.0024273903,835.13,311296,152,519.6912686824799,0.023144532,1.5930326,596,0.6770110130310059
313344,11.359092,384.32935760999993,0.0006181306,0.003876244,789.91,313344,153,523.1263108253479,0.043554686,1.5913532,601,0.677358478307724
315392,6.4961233,365.30776556000006,-0.004754913,0.0063532316,749.24,315392,154,526.5301973819733,0.07744141,1.5938051,615,0.8326743096113205
317440,14.642487,347.87953457,-0.0029893317,0.0049283192,711.93,317440,155,529.8577506542206,0.059570312,1.6069577,605,0.6439683735370636
319488,6.1880727,337.57331779,-0.004746746,0.007621155,689.94,319488,156,533.2401728630066,0.08598633,1.6234461,595,0.870289146900177
321536,7.788785,324.82975319,-0.003233115,0.0057032304,664.81,321536,157,536.6797771453857,0.066308595,1.6296492,591,0.8134546875953674
323584,9.095864,323.25314080000004,-0.0030928398,0.0053361305,660.46,323584,158,540.1429455280304,0.060839843,1.6288275,593,0.7392647564411163
325632,3.5450978,320.3042973600001,-0.0027989212,0.0052475636,653.3,325632,159,543.5964622497559,0.0574707,1.6253971,582,0.9150765761733055
327680,4.4926405,314.17470359000004,-0.003364348,0.0065895556,639.96,327680,160,547.1157608032227,0.0796875,1.6243305,584,0.8908435329794884
329728,1.6620474,315.93285462,-0.0025963688,0.0049087633,642.25,329728,161,550.6213405132294,0.05683594,1.622922,591,0.9614234939217567
331776,4.0435905,316.48550318,-0.0034738947,0.005739009,642.69,331776,162,554.0841915607452,0.06777344,1.6367455,600,0.8837837427854538
